"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Nick Madrigal","CHW","54","215","2","30","21","1","5.1%","7.9%",".120",".324",".305",".349",".425",".335",".289","113","1.2","4.7","1.3","1.3","20521"
"Ian Happ","CHC","148","535","25","63","66","9","11.6%","29.2%",".209",".281",".226",".323",".434",".328",".318","103","0.2","2.4","-6.8","1.3","17919"
"Brian Anderson","MIA","67","264","7","24","28","5","9.8%","24.6%",".129",".317",".249",".337",".378",".314",".299","99","0.4","0.2","3.7","1.3","18289"
"Wilmer Flores","SFG","139","436","18","57","53","1","9.4%","12.8%",".185",".264",".262",".335",".447",".337",".312","113","-4.0","3.4","-5.3","1.2","5827"
"Jesus Aguilar","MIA","131","510","22","49","93","0","9.0%","18.2%",".198",".279",".261",".329",".459",".334",".330","112","-3.4","4.5","-8.9","1.2","11342"
"Abraham Toro","- - -","95","375","11","45","46","6","8.3%","14.4%",".134",".254",".239",".315",".373",".303",".321","95","-0.1","-2.5","2.0","1.2","19844"
"Andrew McCutchen","PHI","144","574","27","78","80","6","14.1%","23.0%",".222",".242",".222",".334",".444",".335",".344","107","1.5","6.8","-13.6","1.2","9847"
"Tucker Barnhart","CIN","116","388","7","41","48","0","7.5%","25.8%",".121",".324",".247",".317",".368",".300",".264","81","-0.1","-9.4","8.6","1.2","10200"
"Christian Arroyo","BOS","57","181","6","22","25","1","4.4%","24.3%",".183",".325",".262",".324",".445",".332",".298","106","1.5","2.9","2.8","1.2","16434"
"Ben Gamel","- - -","122","400","8","43","26","3","12.8%","26.3%",".141",".329",".247",".347",".388",".322",".316","101","-0.5","0.2","-1.6","1.2","12160"
"Adam Engel","CHW","39","140","7","21","18","7","7.9%","22.1%",".244",".279",".252",".336",".496",".354",".343","127","1.0","5.5","1.5","1.2","15082"
"Nick Solak","TEX","127","511","11","57","49","7","6.7%","20.9%",".120",".292",".242",".314",".362",".299",".298","89","0.4","-6.3","0.1","1.1","19294"
"Donovan Solano","SFG","101","344","7","35","31","2","7.3%","16.9%",".124",".321",".280",".344",".404",".324",".335","105","-0.2","2.0","-2.3","1.1","8623"
"Garrett Cooper","MIA","71","250","9","30","33","1","12.0%","27.2%",".181",".374",".284",".380",".465",".367",".361","134","-4.0","6.7","-4.1","1.1","15279"
"David Peralta","ARI","150","538","8","57","63","2","8.6%","17.1%",".144",".303",".259",".325",".402",".314",".293","93","2.0","-2.5","-4.4","1.1","2136"
"Jason Castro","HOU","66","179","8","22","21","0","14.0%","30.2%",".208",".310",".235",".356",".443",".347",".375","123","-1.0","4.1","0.5","1.1","8722"
"Jake Meyers","HOU","49","163","6","22","28","3","6.1%","30.7%",".178",".352",".260",".323",".438",".328",".321","111","1.9","4.0","1.1","1.1","20308"
"Elvis Andrus","OAK","146","541","3","60","37","12","5.7%","15.0%",".076",".283",".243",".294",".320",".270",".307","72","4.5","-13.8","6.0","1.1","8709"
"Odubel Herrera","PHI","124","492","13","59","51","6","5.9%","15.7%",".156",".285",".260",".310",".416",".312",".300","93","0.3","-4.2","-1.5","1.1","11476"
"Seth Brown","OAK","111","307","20","43","48","4","7.5%","29.0%",".267",".230",".214",".274",".480",".315",".318","103","0.0","1.0","-0.9","1.1","18171"
"Jonah Heim","TEX","82","285","10","22","32","3","5.3%","20.4%",".162",".210",".196",".239",".358",".256",".284","60","-0.9","-14.7","15.6","1.1","16930"
"Bradley Zimmer","CLE","99","348","8","44","35","15","8.6%","35.1%",".117",".347",".227",".325",".344",".300",".316","89","2.0","-2.8","1.5","1.1","16221"
"Jose Iglesias","- - -","137","511","9","65","48","5","4.1%","14.7%",".120",".305",".271",".309",".391",".304",".296","91","-0.2","-6.1","-0.9","1.0","10231"
"Eric Haase","DET","98","381","22","48","61","2","6.8%","31.2%",".228",".278",".231",".286",".459",".316",".322","100","-0.7","-0.8","-1.8","1.0","14111"
"Andy Ibanez","TEX","76","272","7","31","25","0","5.5%","12.9%",".158",".297",".277",".321",".435",".325",".319","107","-0.8","1.4","-0.4","1.0","18819"
"Gavin Lux","LAD","102","381","7","49","46","4","10.8%","21.8%",".122",".300",".242",".328",".364",".303",".323","91","3.8","-0.6","-1.8","1.0","19955"
"Jake Rogers","DET","38","127","6","17","17","1","8.7%","36.2%",".257",".344",".239",".306",".496",".339",".299","115","1.0","3.3","2.4","1.0","19452"
"Brad Miller","PHI","140","377","20","53","49","3","11.9%","29.7%",".227",".276",".227",".321",".453",".331",".345","105","0.6","3.1","-5.5","1.0","12775"
"Yadier Molina","STL","121","473","11","45","66","3","5.1%","16.7%",".118",".283",".252",".297",".370",".290",".305","83","-5.3","-15.4","9.6","1.0","7007"
"Gio Urshela","NYY","116","442","14","42","49","1","4.5%","24.7%",".152",".329",".267",".301",".419",".309",".304","96","-6.0","-8.2","3.0","1.0","10681"
"Tom Murphy","SEA","97","325","11","35","34","0","12.3%","30.5%",".148",".265",".202",".304",".350",".291",".290","87","-0.3","-5.3","3.9","1.0","13499"
"Brandon Marsh","LAA","70","260","2","27","19","6","7.7%","35.0%",".102",".403",".254",".317",".356",".296",".324","86","3.5","-1.0","1.8","1.0","20202"
"Austin Nola","SDP","56","194","2","15","29","0","7.2%","9.8%",".104",".292",".272",".340",".376",".316",".299","100","0.2","0.2","3.0","1.0","15941"
"Tyler Wade","NYY","103","145","0","31","5","17","11.0%","25.5%",".055",".378",".268",".354",".323",".304",".248","92","2.8","1.5","2.8","0.9","15730"
"Aledmys Diaz","HOU","84","319","8","28","45","0","5.0%","19.4%",".146",".304",".259",".317",".405",".311",".318","99","-2.8","-3.3","1.5","0.9","15937"
"Ji-Man Choi","TBR","83","305","11","36","45","0","14.8%","28.5%",".182",".300",".229",".348",".411",".334",".340","117","-0.9","5.6","-6.9","0.9","5452"
"Eddie Rosario","- - -","111","412","14","42","62","11","6.3%","14.8%",".177",".273",".259",".305",".435",".316",".318","98","1.1","0.2","-5.1","0.9","12155"
"Tomas Nido","NYM","58","161","3","16","13","1","3.1%","27.3%",".105",".292",".222",".261",".327",".254",".289","63","-2.1","-9.8","13.2","0.9","13755"
"Jed Lowrie","OAK","139","512","14","55","69","0","9.6%","21.1%",".153",".289",".245",".318",".398",".311",".342","100","-1.6","-1.4","-7.5","0.9","4418"
"Jace Peterson","MIL","94","302","6","36","31","10","12.6%","22.5%",".120",".310",".247",".348",".367",".318",".321","97","4.3","3.0","-4.5","0.9","12325"
"Thairo Estrada","SFG","52","132","7","19","22","1","6.8%","17.4%",".207",".286",".273",".333",".479",".346",".312","119","1.3","4.5","-0.3","0.9","16426"
"Nico Hoerner","CHC","44","170","0","13","16","5","10.0%","14.7%",".067",".360",".302",".382",".369",".330",".320","104","-0.7","0.2","2.7","0.8","21479"
"Matt Beaty","LAD","120","234","7","35","40","2","8.5%","18.8%",".132",".314",".270",".363",".402",".339",".307","114","0.4","4.7","-4.3","0.8","17710"
"Michael Conforto","NYM","125","479","14","52","55","1","12.3%","21.7%",".153",".276",".232",".344",".384",".322",".350","106","-1.4","2.4","-10.1","0.8","16376"
"Bryan De La Cruz","MIA","58","219","5","17","19","1","8.2%","24.2%",".131",".380",".296",".356",".427",".339",".302","115","-1.3","3.0","-2.4","0.8","19600"
"Austin Barnes","LAD","77","225","6","28","23","1","8.9%","24.9%",".130",".268",".215",".299",".345",".285",".274","79","0.0","-6.0","6.3","0.8","12158"
"Andres Gimenez","CLE","68","210","5","23","16","11","5.2%","25.7%",".133",".273",".218",".282",".351",".277",".268","73","2.6","-4.2","4.7","0.8","19950"
"Corey Dickerson","- - -","109","365","6","43","29","6","6.8%","18.6%",".137",".323",".271",".326",".408",".317",".300","100","-1.3","-1.4","-3.2","0.8","10762"
"Kevin Pillar","NYM","124","347","15","40","47","4","3.2%","23.3%",".185",".261",".231",".277",".415",".297",".281","90","0.7","-3.6","-0.8","0.7","12434"
"Bobby Dalbec","BOS","133","453","25","50","78","2","6.2%","34.4%",".254",".316",".240",".298",".494",".334",".344","107","-0.4","3.7","-12.3","0.7","19966"
"Alejandro Kirk","TOR","60","189","8","19","24","0","10.1%","11.6%",".194",".234",".242",".328",".436",".330",".377","106","-1.7","-0.4","0.4","0.7","22581"
"Anthony Rendon","LAA","58","249","6","24","34","0","11.6%","16.5%",".143",".267",".240",".329",".382",".310",".304","95","-1.1","-2.5","0.6","0.7","12861"
"Anthony Santander","BAL","110","438","18","54","50","1","5.3%","23.1%",".192",".275",".241",".286",".433",".307",".328","92","1.2","-3.3","-5.0","0.6","14551"
"Trey Mancini","BAL","147","616","21","77","71","0","8.3%","23.2%",".176",".308",".255",".326",".432",".326",".340","105","-5.3","-1.8","-12.7","0.6","15149"
"Jorge Alfaro","MIA","92","311","4","22","30","8","3.5%","31.8%",".098",".354",".244",".283",".342",".274",".291","73","0.0","-10.6","6.7","0.6","12180"
"Rougned Odor","NYY","102","361","15","42","39","0","7.5%","27.7%",".177",".242",".202",".286",".379",".289",".288","83","1.6","-6.1","0.2","0.6","12282"
"Ryan Jeffers","MIN","85","293","14","28","35","0","7.5%","36.9%",".202",".269",".199",".270",".401",".289",".300","82","-2.3","-8.9","5.3","0.6","24618"
"Ronald Torreyes","PHI","112","344","7","30","41","2","5.5%","11.9%",".104",".258",".242",".286",".346",".274",".257","68","1.3","-12.7","7.7","0.6","11400"
"Jose Trevino","TEX","89","302","5","23","30","1","4.0%","18.9%",".102",".279",".239",".267",".340",".261",".285","64","-5.5","-18.9","15.0","0.6","16725"
"Tres Barrera","WSN","30","107","2","8","10","0","11.2%","20.6%",".121",".328",".264",".374",".385",".333",".311","106","0.1","0.9","1.8","0.6","19977"
"Jesus Sanchez","MIA","64","251","14","27","36","0","8.0%","31.1%",".238",".316",".251",".319",".489",".339",".337","116","-2.9","2.1","-4.2","0.6","19913"
"Adalberto Mondesi","KCR","35","136","6","19","17","15","4.4%","31.6%",".222",".299",".230",".271",".452",".306",".314","91","2.5","1.0","0.3","0.6","13769"
"Ha-seong Kim","SDP","117","298","8","27","34","6","7.4%","23.8%",".150",".241",".202",".270",".352",".270",".265","70","1.4","-9.9","6.0","0.6","27506"
"Travis d'Arnaud","ATL","60","229","7","21","26","0","7.4%","23.1%",".167",".260",".220",".284",".388",".291",".312","78","-1.1","-7.5","5.8","0.6","7739"
"Lars Nootbaar","STL","58","124","5","15","15","2","10.5%","22.6%",".183",".273",".239",".317",".422",".316",".285","101","1.4","1.5","0.3","0.6","21454"
"Kyle Higashioka","NYY","67","211","10","20","29","0","8.1%","28.0%",".207",".200",".181",".246",".389",".272",".340","71","-1.7","-9.2","7.9","0.6","5517"
"Jack Mayfield","- - -","87","290","10","30","39","5","5.9%","23.4%",".169",".254",".218",".272",".387",".284",".248","79","0.1","-7.5","3.4","0.6","15402"
"Hanser Alberto","KCR","103","255","2","25","24","3","1.6%","10.2%",".133",".293",".270",".291",".402",".296",".294","84","1.4","-3.4","0.4","0.6","11902"
"Charlie Culberson","TEX","91","271","5","23","22","7","6.3%","23.6%",".138",".307",".243",".296",".381",".292",".270","85","1.9","-3.2","-0.4","0.6","3298"
"Oscar Mercado","CLE","72","238","6","27","19","7","8.8%","17.6%",".145",".253",".224",".300",".369",".294",".278","85","2.7","-1.8","-0.7","0.6","16375"
"Joc Pederson","- - -","137","481","18","55","61","2","8.1%","24.3%",".184",".281",".238",".310",".422",".315",".333","94","-1.4","-4.8","-5.5","0.6","11899"
"Eugenio Suarez","CIN","145","574","31","71","79","0","9.8%","29.8%",".230",".224",".198",".286",".428",".306",".326","85","-4.1","-15.0","1.6","0.6","12552"
"Guillermo Heredia","ATL","120","347","5","46","26","0","9.2%","23.3%",".134",".282",".220",".311",".354",".292",".289","79","3.1","-6.3","0.3","0.5","18721"
"Nick Maton","PHI","52","131","2","16","14","2","7.6%","29.8%",".128",".364",".256",".323",".385",".309",".282","91","1.6","0.1","1.1","0.5","21635"
"Yonathan Daza","COL","107","331","2","26","30","2","6.3%","18.1%",".073",".346",".282",".332",".355",".304",".292","75","-0.3","-10.7","5.2","0.5","15794"
"Jordan Luplow","- - -","62","193","11","23","28","1","14.5%","29.5%",".252",".232",".202",".326",".454",".337",".316","116","-1.8","2.0","-3.1","0.5","16424"
"Harold Castro","DET","106","339","3","35","37","1","4.1%","21.2%",".076",".351",".283",".310",".359",".291",".315","83","-0.5","-7.8","1.7","0.5","14691"
"Lane Thomas","- - -","77","264","7","35","28","6","14.0%","23.9%",".177",".293",".235",".341",".412",".328",".321","103","-0.7","0.5","-3.8","0.5","16939"
"Chris Owings","COL","21","50","1","9","5","2","14.0%","30.0%",".302",".481",".326",".420",".628",".431",".319","158","0.5","4.2","-0.5","0.5","10030"
"Kevin Plawecki","BOS","64","173","3","15","15","0","6.9%","15.0%",".102",".328",".287",".349",".389",".325",".327","102","-0.9","-0.5","0.0","0.5","13807"
"Taylor Ward","LAA","65","237","8","33","33","1","8.4%","23.2%",".188",".301",".250",".332",".438",".333",".344","111","-0.4","2.8","-5.5","0.5","17548"
"Jeff McNeil","NYM","120","426","7","48","35","3","6.8%","13.6%",".109",".280",".251",".319",".360",".301",".313","93","-1.1","-5.1","-3.6","0.5","15362"
"Yonny Hernandez","TEX","43","166","0","15","6","11","10.2%","19.3%",".035",".277",".217",".315",".252",".265",".297","66","2.1","-4.8","4.4","0.5","19432"
"Sam Hilliard","COL","81","238","14","32","34","5","9.7%","36.6%",".248",".283",".215",".294",".463",".318",".310","85","2.5","-2.1","-0.5","0.5","17954"
"Dom Nunez","COL","81","263","10","31","33","0","12.9%","34.6%",".211",".258",".189",".293",".399",".294",".262","69","1.8","-8.4","4.9","0.5","15055"
"Matt Vierling","PHI","34","77","2","11","6","2","5.2%","26.0%",".155",".420",".324",".364",".479",".356",".319","121","0.6","2.7","-0.2","0.5","21558"
"Greg Allen","NYY","15","48","0","9","2","5","10.4%","27.1%",".162",".400",".270",".417",".432",".375",".317","140","1.7","4.1","-0.8","0.5","16623"
"Christian Vazquez","BOS","138","498","6","51","49","8","6.6%","16.9%",".094",".301",".258",".308",".352",".289",".275","77","-5.3","-19.2","7.2","0.5","9774"
"Trayce Thompson","CHC","15","35","4","6","9","2","20.0%","31.4%",".464",".231",".250",".400",".714",".453",".493","185","0.2","3.9","-0.2","0.5","9952"
"Jorge Mateo","- - -","89","209","4","19","14","10","4.3%","26.3%",".129",".324",".247",".293",".376",".291",".287","83","1.9","-2.8","0.6","0.5","17273"
"Garrett Hampson","COL","147","494","11","69","33","17","6.7%","23.9%",".146",".291",".234",".289",".380",".288",".290","65","4.2","-17.6","6.1","0.5","19262"
"Curt Casali","SFG","77","231","5","20","26","0","11.3%","28.6%",".140",".287",".210",".313",".350",".289",".280","82","-0.2","-5.4","2.5","0.5","12510"
"James McCann","NYM","121","412","10","29","46","1","7.8%","27.9%",".117",".304",".232",".294",".349",".281",".284","80","-3.4","-13.8","4.9","0.5","12859"
"Cam Gallagher","KCR","48","124","1","9","7","0","6.5%","16.1%",".080",".293",".250",".298",".330",".276",".273","71","0.0","-4.4","4.9","0.5","12981"
"Jake Fraley","SEA","78","265","9","27","36","10","17.4%","26.8%",".159",".265",".210",".352",".369",".322",".337","109","0.9","3.7","-8.0","0.5","19260"
"Dustin Garneau","DET","20","68","6","9","11","0","4.4%","26.5%",".371",".175",".210",".250",".581",".335",".303","113","-0.5","0.5","1.8","0.5","9433"
"Robinson Chirinos","CHC","45","112","5","13","15","0","8.0%","32.1%",".227",".304",".227",".324",".454",".336",".289","108","-1.2","0.0","0.9","0.5","3142"
"Wilmer Difo","PIT","116","240","4","25","24","1","8.3%","22.5%",".114",".340",".269",".329",".384",".312",".276","95","1.4","-0.3","-3.0","0.5","14320"
"Tommy La Stella","SFG","76","242","7","26","27","0","7.4%","10.7%",".155",".255",".250",".308",".405",".307",".339","94","-1.1","-3.0","-0.4","0.5","12371"
"Taylor Walls","TBR","54","176","1","15","15","4","13.1%","27.8%",".086",".304",".211",".314",".296",".279",".283","80","0.0","-4.3","2.9","0.5","22458"
"Luke Voit","NYY","68","241","11","26","35","0","8.7%","30.7%",".197",".313",".239",".328",".437",".332",".360","111","-2.9","0.4","-4.2","0.4","14811"
"Yu Chang","CLE","89","251","9","32","39","1","4.4%","27.5%",".198",".281",".228",".267",".426",".294",".281","85","1.5","-3.2","-0.9","0.4","14773"
"Miguel Sano","MIN","135","532","30","68","75","2","11.1%","34.4%",".243",".291",".223",".312",".466",".332",".322","110","-2.2","4.4","-18.1","0.4","12164"
"Randal Grichuk","TOR","149","545","22","59","81","0","5.0%","20.9%",".182",".266",".241",".281",".423",".300",".294","85","-4.9","-14.7","0.6","0.4","10243"
"Raimel Tapia","COL","133","533","6","69","50","20","7.5%","13.1%",".099",".306",".273",".327",".372",".305",".279","76","3.7","-12.5","-0.9","0.4","14350"
"Gavin Sheets","CHW","54","179","11","23","34","0","8.9%","22.3%",".256",".264",".250",".324",".506",".352",".337","125","-1.9","3.5","-5.4","0.4","19901"
"Luis Guillorme","NYM","69","156","1","13","5","0","14.7%","14.7%",".045",".315",".265",".374",".311",".311",".303","99","-0.7","-0.9","-0.2","0.4","16451"
"Starlin Castro","WSN","87","346","3","25","38","0","7.5%","17.9%",".092",".339",".283",".333",".375",".309",".323","90","-2.1","-6.5","-0.9","0.4","4579"
"Chad Pinder","OAK","75","233","6","30","27","1","6.9%","26.6%",".168",".313",".243",".300",".411",".307",".354","97","-0.6","-1.3","-2.6","0.4","15191"
"Pablo Reyes","MIL","53","87","1","12","3","4","10.3%","17.2%",".103",".306",".256",".333",".359",".303",".277","87","1.0","-0.4","1.5","0.4","16357"
"D.J. Stewart","BAL","100","318","12","39","33","0","13.8%","28.0%",".170",".254",".204",".324",".374",".310",".315","94","1.7","-0.7","-6.1","0.4","17766"
"Ryan Zimmerman","WSN","110","273","14","27","46","0","5.9%","28.2%",".227",".289",".243",".286",".471",".319",".299","97","-1.8","-2.8","-2.4","0.4","4220"
"Kyle Isbel","KCR","28","83","1","16","7","2","8.4%","27.7%",".158",".385",".276",".337",".434",".333",".252","109","1.0","2.0","-1.1","0.4","21614"
"Travis Jankowski","PHI","76","157","1","24","10","5","14.0%","18.5%",".099",".317",".252",".364",".351",".312",".281","93","0.7","-0.8","-0.9","0.4","13768"
"Justin Upton","LAA","89","362","17","47","41","4","10.8%","29.6%",".198",".254",".211",".296",".409",".305",".319","92","0.9","-2.7","-6.2","0.3","5222"
"Nick Fortes","MIA","14","34","4","6","7","1","8.8%","23.5%",".387",".263",".290",".353",".677",".426",".369","172","0.1","3.2","-0.9","0.3","21538"
"Keibert Ruiz","- - -","29","96","3","10","15","0","6.3%","9.4%",".136",".276",".273",".333",".409",".325",".311","101","-1.4","-1.3","1.5","0.3","19610"
"David Fletcher","LAA","157","665","2","74","47","15","4.7%","9.0%",".062",".287",".262",".297",".324",".273",".280","70","3.3","-20.8","1.6","0.3","17992"
"Kevin Newman","PIT","148","554","5","50","39","6","4.9%","7.4%",".083",".236",".226",".265",".309",".249",".275","54","5.1","-27.4","12.4","0.3","17696"
"Kyle Lewis","SEA","36","147","5","15","11","2","10.9%","25.2%",".146",".307",".246",".333",".392",".320",".350","107","-0.4","0.8","-2.5","0.3","19508"
"Estevan Florial","NYY","11","25","1","3","2","1","20.0%","24.0%",".250",".385",".300",".440",".550",".423",".325","173","0.0","2.2","0.1","0.3","19151"
"Bobby Bradley","CLE","74","279","16","36","41","0","9.0%","35.5%",".237",".263",".208",".294",".445",".314",".332","99","-2.0","-2.5","-3.8","0.3","17278"
"Billy Hamilton","CHW","71","135","2","23","11","9","3.0%","34.8%",".157",".329",".220",".242",".378",".262",".215","64","2.9","-3.0","1.6","0.3","10199"
"Ernie Clement","CLE","40","133","3","16","9","0","5.3%","14.3%",".107",".253",".231",".285",".339",".275",".289","72","0.7","-3.9","2.5","0.3","20352"
"Billy McKinney","- - -","116","300","9","32","27","2","10.7%","26.3%",".166",".235",".192",".280",".358",".277",".292","73","0.2","-9.9","3.1","0.3","15654"
"Pavin Smith","ARI","145","545","11","68","49","1","7.7%","19.4%",".137",".319",".267",".328",".404",".318",".316","96","-2.4","-5.2","-9.7","0.3","19892"
"Jake Burger","CHW","15","42","1","5","3","0","9.5%","35.7%",".211",".409",".263",".333",".474",".344",".349","120","-0.5","0.5","1.2","0.3","22275"
"Andrew Vaughn","CHW","127","469","15","56","48","1","8.7%","21.5%",".161",".271",".235",".309",".396",".306",".330","94","-3.6","-7.0","-5.9","0.3","26197"
"Brandon Drury","NYM","51","88","4","7","14","0","3.4%","25.0%",".202",".328",".274",".307",".476",".333",".254","114","-1.0","0.6","-0.5","0.3","11615"
"Christian Walker","ARI","115","445","10","55","46","0","8.5%","23.8%",".137",".307",".244",".315",".382",".304",".311","87","1.1","-6.4","-5.2","0.3","13419"
"John Hicks","TEX","10","31","4","6","7","0","0.0%","25.8%",".419",".211",".258",".258",".677",".384",".361","147","0.2","2.0","0.0","0.3","12547"
"Jose Siri","HOU","21","49","4","10","9","3","2.0%","34.7%",".304",".400",".304",".347",".609",".401",".377","160","0.1","3.7","-2.4","0.3","17452"
"Sergio Alcantara","CHC","89","255","5","30","17","3","11.8%","29.0%",".123",".280",".205",".303",".327",".279",".276","71","0.7","-8.7","3.2","0.3","16417"
"Geraldo Perdomo","ARI","11","37","0","5","1","0","16.2%","16.2%",".161",".320",".258",".378",".419",".331",".284","104","0.6","0.8","0.9","0.3","22799"
"Breyvic Valera","TOR","39","97","1","10","15","1","8.2%","12.4%",".103",".280",".253",".313",".356",".293",".285","81","-0.2","-2.4","2.1","0.3","12758"
"Derek Hill","DET","49","150","3","19","14","6","6.7%","28.0%",".129",".351",".259",".313",".388",".305",".287","92","0.3","-1.1","-1.2","0.3","16947"
"Delino DeShields","CIN","25","58","1","4","6","2","15.5%","19.0%",".170",".314",".255",".375",".426",".352",".330","115","0.5","1.6","-0.7","0.3","11379"
"Luke Maile","MIL","15","34","0","6","3","0","8.8%","20.6%",".133",".391",".300",".382",".433",".358",".283","122","0.2","1.1","0.5","0.3","13355"
"Luis Gonzalez","CHW","6","11","0","2","0","0","27.3%","18.2%",".250",".333",".250",".455",".500",".414",".340","167","-0.4","0.5","1.9","0.3","20332"
"Jason Heyward","CHC","104","353","8","35","30","5","7.6%","19.3%",".133",".247",".214",".280",".347",".275",".292","68","1.8","-12.4","3.4","0.3","4940"
"Luis Torrens","SEA","108","378","15","39","47","0","7.4%","26.2%",".188",".294",".243",".299",".431",".311",".317","101","-1.2","-0.6","-9.5","0.3","15905"
"Jose Rondon","STL","63","90","3","13","9","2","8.9%","18.9%",".150",".290",".263",".322",".413",".316",".298","101","0.8","0.9","-1.2","0.3","14140"
"Victor Reyes","DET","76","220","5","26","22","5","3.6%","25.0%",".158",".327",".258",".284",".416",".298",".297","88","1.7","-1.6","-3.2","0.3","15487"
"Jake McCarthy","ARI","24","70","2","11","4","3","11.4%","32.9%",".153",".324",".220",".333",".373",".315",".251","94","0.9","0.4","-0.1","0.3","21622"
"DJ Peters","- - -","70","240","13","29","38","2","5.0%","34.2%",".224",".237",".197",".242",".422",".272",".270","71","0.5","-7.9","2.4","0.3","19348"
"Alex Kirilloff","MIN","59","231","8","23","34","1","6.1%","22.5%",".172",".295",".251",".299",".423",".307",".365","93","-0.2","-2.1","-3.2","0.3","20325"
"Jon Berti","MIA","85","271","4","35","19","8","11.8%","22.5%",".103",".265",".210",".311",".313",".282",".303","79","2.8","-4.6","-1.9","0.2","12037"
"Ehire Adrianza","ATL","109","209","5","32","28","0","10.0%","20.1%",".154",".290",".247",".327",".401",".316",".313","94","0.2","-1.3","-3.2","0.2","8418"
"Eloy Jimenez","CHW","55","231","10","23","37","0","6.9%","24.7%",".188",".293",".249",".303",".437",".317",".323","101","-1.6","-1.2","-4.2","0.2","17484"
"Kyle Garlick","MIN","36","107","5","17","10","1","5.6%","29.9%",".232",".286",".232",".280",".465",".314",".345","99","-0.3","-0.5","-0.8","0.2","18063"
"Connor Wong","BOS","6","14","0","3","1","0","7.1%","50.0%",".231",".667",".308",".357",".538",".376",".323","136","0.2","0.8","1.0","0.2","19896"
"Jose Peraza","NYM","64","154","6","21","20","1","5.8%","16.9%",".176",".209",".204",".266",".380",".280",".268","80","-0.1","-4.1","1.3","0.2","13593"
"Grayson Greiner","DET","31","82","1","7","7","0","11.0%","37.8%",".097",".400",".236",".321",".333",".293",".241","84","0.9","-0.7","-0.1","0.2","17062"
"Dylan Moore","SEA","126","377","12","42","43","21","10.6%","29.4%",".154",".229",".181",".276",".334",".271",".289","74","1.6","-10.4","-0.4","0.2","18042"
"Martin Maldonado","HOU","125","426","12","40","36","0","11.0%","29.8%",".129",".221",".172",".272",".300",".258",".268","63","-5.0","-24.4","11.9","0.2","6887"
"Yadiel Hernandez","WSN","112","289","9","33","32","3","7.6%","20.4%",".140",".318",".273",".329",".413",".320",".305","98","-1.7","-2.5","-5.1","0.2","19334"
"Trevor Larnach","MIN","79","301","7","29","28","1","10.3%","34.6%",".127",".338",".223",".322",".350",".300",".304","89","-1.4","-5.3","-3.0","0.2","21501"
"Alex Avila","WSN","34","111","1","5","9","0","17.1%","33.3%",".157",".314",".191",".345",".348",".311",".298","92","-1.3","-2.5","0.6","0.2","7476"
"Danny Mendick","CHW","71","186","2","14","20","0","9.7%","22.6%",".067",".281",".220",".303",".287",".268",".258","68","0.9","-6.3","1.8","0.2","18889"
"Roman Quinn","PHI","28","62","0","8","2","4","9.7%","30.6%",".115",".273",".173",".306",".288",".275",".285","69","0.1","-2.4","2.1","0.2","13546"
"Alfonso Rivas III","CHC","18","49","1","7","3","0","8.2%","32.7%",".091",".481",".318",".388",".409",".353",".285","119","-0.2","1.0","-1.0","0.2","21560"
"Alex Dickerson","SFG","111","312","13","37","38","1","7.4%","24.4%",".187",".273",".233",".304",".420",".313",".335","97","-0.5","-1.6","-7.1","0.2","12649"
"Michael Hermosillo","CHC","16","38","3","5","7","0","2.6%","31.6%",".306",".190",".194",".237",".500",".307",".323","90","-0.2","-0.7","1.1","0.2","16285"
"Seth Beer","ARI","5","10","1","4","3","0","10.0%","30.0%",".444",".600",".444",".500",".889",".570",".472","259","-0.1","1.9","-0.6","0.2","20493"
"Brian Goodwin","CHW","72","271","8","33","29","1","12.2%","21.4%",".153",".259",".221",".319",".374",".306",".327","94","0.2","-1.9","-5.7","0.2","12858"
"Yoshi Tsutsugo","- - -","81","262","8","27","32","0","11.1%","27.5%",".165",".278",".217",".307",".383",".302",".280","90","-0.6","-3.7","-3.4","0.2","27459"
"Ben Rortvedt","MIN","39","98","3","8","7","0","6.1%","29.6%",".112",".211",".169",".229",".281",".227",".271","40","0.0","-7.2","5.5","0.2","20287"
"Max Schrock","CIN","53","134","3","19","14","1","6.0%","17.9%",".160",".333",".288",".328",".448",".329",".294","100","-0.3","-0.3","-2.5","0.2","17750"
"Tyler Nevin","BAL","6","18","1","3","3","0","22.2%","27.8%",".357",".375",".286",".444",".643",".452",".332","190","0.2","2.2","-1.2","0.2","17893"
"Austin Dean","STL","22","38","1","5","7","0","15.8%","28.9%",".167",".300",".233",".342",".400",".320",".291","103","0.9","1.0","-0.9","0.1","18288"
"Anthony Alford","PIT","49","148","5","14","11","5","8.1%","39.2%",".173",".371",".233",".311",".406",".310",".288","93","-1.1","-2.4","-1.1","0.1","14329"
"Daniel Johnson","CLE","30","81","4","9","5","1","4.9%","33.3%",".156",".283",".221",".259",".377",".274",".270","71","0.2","-2.6","1.1","0.1","19643"
"Stephen Vogt","- - -","78","238","7","24","25","0","10.9%","23.5%",".138",".230",".195",".283",".333",".270",".289","64","0.3","-10.5","3.8","0.1","5000"
