Rank,Top 100,Trend,Name,Pos,Age,Ht,Wt,B,T,School,College Commit,FV,Risk,Report,Video,playerId
"11",,,"Nick Gonzales","2B","21.025","5' 10""","190","R","R","New Mexico State",,"45",,,,
"12",,,"J.T. Ginn","RHP","21.0444444","6' 2""","200","R","R","Mississippi State",,"45",,,"cqH8dHsLdMQ",
"13",,,"Jordan Walker","3B","18.0388888","6' 5""","212","R","R","Decatur HS GA","Duke","45",,,,
"14",,,"Ed Howard","SS","18.3555555","6' 2""","185","R","R","Mount Carmel HS IL","Oklahoma","45",,,,
"15",,,"Cade Cavalli","RHP","21.8111111","6' 4""","224","R","R","Oklahoma",,"45",,,,
"16",,,"Asa Lacy","LHP","21.0111111","6' 4""","180","L","L","Texas A&M",,"45",,,"fKeDYi5Wzzo",
"17",,,"Garrett Crochet","LHP","20.9583333","6' 5""","210","L","L","Tennessee",,"45",,,"B6TbAPJuzyA",
"18",,,"Patrick Bailey","C","21.0194444","6' 2""","192","S","R","North Carolina State",,"45",,"Bailey had a loud freshman year for the Wolfpack in 2018, with a 1.023 OPS and 13 homers. He's also a solid athlete and catcher, with a plus arm and solid receiving. The tools are solid average, excepting his arm, but if he keeps performing he'll eventually be a 50 FV along the lines of another Wolfpack catcher and current Cardinals backstop, Andrew Knizer.",,
"19",,,"Dylan Crews","RF","18.2777777","6' 0""","175","R","R","Lake Mary HS FL","LSU","45",,,"yuOejbqs8OA",
"20",,,"Garrett Mitchell","CF","21.7555555","6' 3""","200","L","R","UCLA",,"45",,"Scouts began discussing Mitchell as a possible first rounder when he was a high school sophomore because he had huge physical tools; power and speed. ",,
"21",,,"Heston Kjerstad","RF","21.3166666","6' 3""","180","S","R","Arkansas",,"45",,,"m8q8iZiuC60",
"22",,,"Tanner Burns","RHP","21.4388888","6' 0""","215","R","R","Auburn",,"45",,,"xMsuCeUZ6NE",
"23",,,"Jared Jones","RHP","18.8333333","6' 2""","175","R","R","La Mirada HS CA","Texas","45",,"Jones is now being lited at 6-foot-2 but he's probably not that tall. His size is really the only thing some teams are concerned about, and it's not even clear if that really matters for pitchers as it relates to health. While short, Jones is an explosive on-mound athlete who generates mid-90s velocity. He'll reach the upper-90s and his fastball has big time life, competing in the zone for whiffs. He also has apower, mid-80s curveball, which projects to plus and you can project heavily on things like command and the growth of his repertoire because of the athleticism. Jones would also be a prospect as an infielder and he has shocking pop for his size because of his ability to rotate.",,
"24",,,"Casey Martin","SS","21.1638888","5' 11""","180","R","R","Arkansas",,"45",,,,
"25",,,"Freddy Zamora","SS","21.5972222","6' 1""","190","R","R","Miami",,"45",,,,
"26",,,"Dax Fulton","LHP","18.6388888","6' 6""","220","L","L","Mustang HS OK","Vanderbilt","45",,,,
"27",,,"C.J. Van Eyk","RHP","21.725","6' 1""","185","R","R","Florida State",,"45",,,,
"28",,,"Tommy Mace","RHP","21.5694444","6' 6""","200","R","R","Florida",,"45",,,"k_zjkZW86Do",
"29",,,"Blaze Jordan","1B","17.4638888","6' 1""","215","R","R","DeSoto Central HS MS","Mississippi State","45",,"R/R first base type with huge raw power is virally famous for his precocious performance and power. He recently reclassified from the 2021 class, so he's now draft model-friendly as the youngest player in the 2020 class. It makes perfect sense for him, as he's about as fully realized a prospect (maxed-out frame, roasts pitching peers, present easy plus raw power) as you'll see at age 16.","XXHtegB3BCA",
"30",,,"Reid Detmers","LHP","20.9111111","6' 2""","205","L","L","Louisville",,"45",,,"mk06YYkpDQk",
"31",,,"Hugh Fisher","LHP","21.3194444","6' 5""","185","R","L","Vanderbilt",,"45",,,,
"32",,,"Drew Romo","C","18.7694444","6' 1""","205","L","R","The Woodlands HS TX","LSU","40+",,,,
"33",,,"Cade Horton","RHP/SS","18.7944444","6' 2""","190","R","R","Norman HS OK","Oklahoma","40+",,,,
"34",,,"Chris McMahon","RHP","21.3388888","6' 2""","205","R","R","Miami",,"40+",,,,
"35",,,"Parker Chavers","CF","21.8638888","5' 11""","185","L","R","Coastal Carolina",,"40+",,,,
"36",,,"Cayden Wallace","3B","18.8305555","6' 1""","205","R","R","Greenbrier HS AR","Arkansas","40+",,,,
"37",,,"Cole Henry","RHP","20.8916666","6' 4""","215","R","R","LSU",,"40+",,,,
"38",,,"Cam Brown","RHP","18.6416666","6' 3""","210","R","R","Flower Mound HS TX","TCU","40+",,,,
"39",,,"Tyler Soderstrom","C","18.5333333","6' 2""","190","L","R","Turlock HS CA","UCLA","40+",,,,
"40",,,"Carmen Mlodzinski","RHP","21.2972222","6' 2""","216","R","R","South Carolina",,"40+",,,,
"41",,,"Justin Foscue","2B","21.2611111","6' 0""","201","R","R","Mississippi State",,"40+",,,,
"42",,,"Austin Wells","C","20.9","6' 1""","200","L","R","Arizona",,"40",,,,
"43",,,"Jordan Westburg","SS","21.3","6' 3""","191","R","R","Mississippi State",,"40",,,,
"44",,,"Masyn Winn","RHP/SS","18.2083333","5' 10""","175","R","R","Kingwood HS TX","Arkansas","40",,,,
"45",,,"Andrew Abbott","LHP","21.0138888","6' 0""","175","L","L","Virginia",,"40",,,,
"46",,,"Robby Ashford","CF","17.6805555","6' 4""","210","R","R","Hoover HS AL","Oregon","40",,,,
"47",,,"Max Meyer","RHP","21.2333333","6' 0""","165","R","R","Minnesota",,"40",,,,
"48",,,"Jace Bohrofen","RF","18.6305555","6' 2""","195","L","R","Westmoore HS OK","Oklahoma","40",,,,
"49",,,"Petey Halpin","CF","18.0277777","6' 0""","180","L","R","St. Francis HS CA","Texas","40",,,,
"50",,,"Slade Cecconi","RHP","20.95","6' 4""","193","R","R","Miami",,"40",,,,
"51",,,"Zach DeLoach","CF","21.8","6' 2""","200","L","R","Texas A&M",,"40",,,,
"52",,,"Nate Wohlgemuth","RHP","19.0166666","5' 11""","195","R","R","Owasso HS OK","Arkansas","40",,,,
"53",,,"Alejandro Rosario","RHP","18.4166666","6' 1""","165","R","R","Miami Christian HS FL","Miami","40",,,"S0G4mIFH5YE",
"54",,,"Daniel Cabrera","LF","21.7527777","6' 1""","185","L","L","LSU",,"40",,,,
"55",,,"Alerick Soularie","LF","20.9194444","5' 11""","185","R","R","Tennessee",,"40",,,,
"56",,,"Chase Davis","RF","18.5027777","6' 1""","210","L","L","Franklin HS CA","Arizona","40",,,,
"57",,,"Carson Montgomery","RHP","17.8138888","6' 2""","190","R","R","West Orange HS FL","Florida State","40",,,"8ApUq-asA-Y",
"58",,,"Hayden Cantrelle","2B","21.5305555","5' 11""","175","S","R","Louisiana Lafayette",,"40",,,,
"59",,,"Alika Williams","SS","21.2333333","6' 2""","180","R","R","Arizona State",,"40",,"Alika had a mini breakout sophomore year. After a punchless freshman season, he suddenly had doubles power and walked more than he struck out. He's twitchy and has a great first step on defense but just average hands and actions. He's a fit at short and has above-average bat speed. ",,
"60",,,"Joey Wiemer","RF","21.3194444","6' 5""","215","R","R","Cincinnati",,"40",,,,
"61",,,"Samuel Infante","3B","18.9555555","6' 1""","175","R","R","Monsignor Pace HS FL","Miami","40",,,,
"62",,,"Joe Boyle","RHP","20.8111111","6' 7""","220","R","R","Notre Dame",,"40",,,,
"63",,,"Travis Sthele","RHP","18.7083333","6' 0""","195","R","R","Reagan HS TX","Texas","40",,,,
"64",,,"Ryan Hagenow","RHP","17.9861111","6' 5""","195","R","R","Farragut HS TN","Kentucky","40",,,,
"65",,,"Carson Tucker","SS","18.3666666","6' 1""","175","R","R","Mountain Pointe HS AZ","Texas","40",,"Tucker has already been seen quite a bit as he's teammates with fellow 2020 prospect Ethan Long and also 2018 RHP prospect Nick Wallerstedt, whou's headed to ASU. Tucker can run, he's a good athlete, and he has the athletic talent to stay at shortstop with technical refinement. He also has explosive hands in the batter's box but his stride is awkward, and probably too short. He swings over top of breaking stuff because he' so upright in the box. There's everyday shortstop talent here, you just need to project on the swing an defense to see it.",,
"66",,,"Tyler Keenan","3B","21.275","6' 3""","240","L","R","Ole Miss",,"40",,,,
"67",,,"Alex Freeland","SS","18.7833333","6' 2""","180","S","R","Mariner HS FL","UCF","40",,,,
"68",,,"Jake Eder","LHP","21.825","6' 4""","210","L","L","Vanderbilt",,"40",,,,
"69",,,"Enrique Bradfield Jr.","CF","18.5111111","6' 1""","155","L","L","American Heritage HS FL","Vanderbilt","40",,,,
"70",,,"Kyle Harrison","LHP","18.8166666","6' 2""","200","R","L","De La Salle HS CA","UCLA","40",,,,
"71",,,"Ian Bedell","RHP","20.7527777","6' 2""","198","R","R","Missouri",,"40",,,,
"72",,,"Logan Allen","LHP","21.7527777","6' 0""","180","R","L","Florida International",,"40",,,,
"73",,,"Cole Kmet","LHP","21.2388888","6' 5""","256","R","L","Notre Dame",,"40",,,,
"74",,,"Zach McCambley","RHP","21.1194444","6' 1""","205","L","R","Coastal Carolina",,"40",,,,
"75",,,"Colby Halter","SS","18.7833333","6' 1""","200","L","R","Bishop Kenny HS FL","Florida","40",,,,
"76",,,"Alex Santos","RHP","18.3222222","6' 3""","187","R","R","Mount St. Michael HS NY","Maryland","40",,,,
"77",,,"Jack Leftwich","RHP","21.6944444","6' 2""","210","R","R","Florida",,"40",,,"s7GsZFp7gHk",
"78",,,"Mario Zabala","CF","18.0777777","6' 2""","195","R","R","Int'l Baseball Academy HS PR","Florida International","40",,,,
"79",,,"Tanner Witt","3B/RHP","17.9027777","6' 5""","195","R","R","Episcopal HS TX","Texas","40",,,,
"80",,,"Yohandy Morales","3B","18.6583333","6' 4""","180","R","R","Braddock HS FL","Miami","40",,,"5MnLngWmO9A",
"81",,,"Coby Mayo","3B","18.4888888","6' 4""","205","R","R","Stoneman Douglas HS FL","Florida","40",,,,
"82",,,"Ryan Bruno","LHP","18.4222222","6' 2""","175","L","L","American Heritage HS FL","Stanford","40",,,,
"83",,,"Kyle Nicolas","RHP","21.2888888","6' 3""","205","R","R","Ball State",,"40",,,,
"84",,,"Burl Carraway","LHP","21.025","6' 0""","173","L","L","Dallas Baptist",,"40",,,,
"85",,,"Kevin Parada","C","18.8416666","6' 0""","200","R","R","Loyola HS CA","Georgia Tech","40",,,,
"86",,,"Kyle Teel","C","18.3083333","6' 0""","180","L","R","Mahwah HS NJ","Virginia","40",,,,
"87",,,"Casey Schmitt","3B/RHP","21.2638888","6' 2""","200","R","R","San Diego State",,"40",,,,
"88",,,"Trenton Denholm","RHP","20.5333333","5' 11""","190","R","R","UC Irvine",,"40",,,,
"89",,,"T.J. McCants","SS","19","6' 3""","180","L","R","Pensacola Catholic HS FL","Ole Miss","40",,,,
"90",,,"Nick Frasso","RHP","21.6333333","6' 5""","190","R","R","Loyola Marymount",,"40",,,,
"91",,,"Charez Butcher","RHP","18.5861111","6' 3""","205","R","R","IMG Academy HS FL","Tennessee","40",,,,
"92",,,"Nick Loftin","SS","21.6972222","6' 1""","180","R","R","Baylor",,"40",,,,
"93",,,"Jackson Miller","C","18.425","6' 0""","195","L","R","Mitchell HS FL","Wake Forest","40",,,,
"94",,,"Dylan Campbell","SS","17.9277777","5' 10""","190","R","R","Strake Jesuit HS TX","Texas","40",,,,
"95",,,"Caden Grice","LHP/1B","17.975","6' 5""","220","L","L","Riverside HS SC","Clemson","40",,,,
"96",,,"Timmy Manning","LHP","18.7388888","6' 2""","177","L","L","Cardinal Gibbons HS FL","Florida","40",,,,
"97",,,"Connor Phillips","RHP","19.0888888","6' 2""","185","R","R","McLennan JC TX","None","40",,,,
"98",,,"Corey Collins","C","18.6555555","6' 3""","205","R","R","North Gwinnett HS GA","Georgia","40",,,,
"99",,,"Michael Kirian","LHP","21.3472222","6' 6""","235","R","L","Louisville",,"40",,,,
"100",,,"Werner Blakely","SS","18.2916666","6' 3""","180","L","R","Southfield HS MI","Auburn","40",,,,
"101",,,"Hudson Haskin","CF","21.4333333","6' 2""","195","R","R","Tulane",,"40",,,,
"102",,,"D'Andre Smith","2B","19.0722222","5' 8""","170","R","R","Sam Dimas HS CA","USC","40",,,,
"103",,,"Alec Burleson","RF/LHP","21.5305555","6' 2""","214","L","L","East Carolina",,"40",,,,
"104",,,"Kevin Abel","RHP","21.2972222","6' 2""","195","R","R","Oregon State",,"40",,,,
"105",,,"Dillon Dingler","C","21.7194444","6' 3""","210","R","R","Ohio State",,"40",,,,
"106",,,"Jeff Criswell","RHP","21.2388888","6' 3""","210","R","R","Michigan",,"40",,,,
"107",,,"Jeremy Wu-Yelland","LHP","20.95","6' 2""","205","L","L","Hawaii",,"40",,,,
"108",,,"Victor Mederos","RHP","18.9944444","6' 3""","210","R","R","Monsignor Pace HS FL","Miami","40",,,,
"109",,,"Liam Norris","LHP","18.8138888","6' 4""","205","L","L","Green Hope HS NC","North Carolina","40",,,,
"110",,,"Max Carlson","RHP","18.7305555","6' 1""","175","R","R","Burnsville HS MN","North Carolina","40",,,,
"111",,,"Gavin Williams","RHP","20.8611111","6' 6""","227","L","R","East Carolina",,"40",,,,
"112",,,"Casey Opitz","C","21.85","5' 11""","175","S","R","Arkansas",,"40",,,,
"113",,,"Nick Griffin","LHP/RF","17.9888888","6' 4""","175","L","L","Monticello HS AR","Arkansas","40",,,,
"114",,,"Mac Horvath","SS/RHP","18.8722222","6' 1""","175","R","R","IMG Academy HS FL","North Carolina","40",,,,
"115",,,"Isaiah Greene","CF","18.7694444","6' 1""","180","L","L","Corona HS CA","Missouri","40",,,,
"116",,,"Jason Savacool","RHP","18.0416666","6' 1""","200","R","R","Baker HS NY","Maryland","40",,,,
"117",,,"Slade Wilks","RF","19.05","6' 2""","215","L","R","Columbia Academy HS MS","Southern Mississippi","40",,,,
"118",,,"T.J. Nichols","RHP","17.95","6' 3""","170","R","R","Oakmont HS CA","Arizona","40",,,,
"119",,,"Gabe Shepard","RHP","21.1944444","5' 10""","180","R","R","Southern Mississippi",,"40",,,,
"120",,,"Tommy Troy","SS","18.3861111","5' 10""","185","R","R","Los Gatos HS CA","Stanford","40",,,,
"121",,,"Johnny Castagnozzi","3B","18.2972222","6' 1""","185","R","R","Massapequa HS NY","North Carolina","35+",,,,
"122",,,"Drew Bowser","3B","18.6777777","6' 3""","190","R","R","Harvard Westlake HS CA","Stanford","35+",,,,
"123",,,"Trevor Hauver","LF","21.5444444","6' 0""","205","L","R","Arizona State",,"35+",,,,
"124",,,"Nolan McLean","RHP/3B","18.8666666","6' 3""","220","R","R","Garner HS NC","Oklahoma State","35+",,,,
"125",,,"Ben Hernandez","RHP","18.9305555","6' 2""","205","R","R","De La Salle HS IL","Illinois-Chicago","35+",,,,
"126",,,"Albert Jennings","CF","18","6' 3""","200","L","R","Tahoma HS WA","Washington State","35+",,,,
"127",,,"Luke Waddell","2B","21.8972222","5' 9""","176","L","R","Georgia Tech",,"35+",,,,
"128",,,"Stephen Emanuels","RHP","21.35","6' 5""","215","R","R","Washington",,"35+",,,,
"129",,,"Brady Smith","C","21.55","5' 11""","195","R","R","Florida",,"35+",,,,
"130",,,"Gage Workman","3B","20.6166666","6' 4""","200","S","R","Arizona State",,"35+",,,,
"131",,,"Jimmy Glowenke","SS","21.0027777","5' 10""","175","R","R","Dallas Baptist",,"35+",,,,
"132",,,"Devin Fontenot","RHP","21.675","6' 1""","172","R","R","LSU",,"35+",,,,
"133",,,"Harold Coll","SS","18.85","5' 11""","170","R","R","George Premier Academy HS GA","North Carolina","35+",,,,
"134",,,"R.J. Dabovich","RHP","21.4027777","6' 3""","215","R","R","Arizona State",,"35+",,,,
"135",,,"Koen Moreno","RHP","18.8472222","6' 2""","165","R","R","Panther Creek HS NC","East Carolina","35+",,,,
"136",,,"Hunter Haas","SS","18.1638888","6' 0""","170","R","R","Corona Del Sol HS AZ","Arizona State","35+",,,,
"137",,,"Jackson Wolf","LHP","21.1222222","6' 7""","205","L","L","West Virginia",,"35+",,,,
"138",,,"Levi Wells","RHP","18.7083333","6' 2""","195","R","R","La Porte HS TX","Texas Tech","35+",,,,
"139",,,"Cooper Davis","CF","21.0805555","5' 10""","185","L","R","Vanderbilt",,"35+",,,,
"140",,,"Dominic Johnson","CF","19.2472222","5' 10""","170","R","R","Santa Fe HS OK","Oklahoma State","35+",,,,
"141",,,"Jacob Young","2B","20.8583333","6' 0""","175","R","R","Florida",,"35+",,,,
"142",,,"Alex Toral","1B","21.3611111","6' 1""","220","L","L","Miami",,"35+",,,,
"143",,,"Jackson Fristoe","RHP","19.25","6' 4""","180","R","R","Paducah Tilghman HS KY","Mississippi State","35+",,,,
"144",,,"Brant Hurter","LHP","21.75","6' 6""","240","L","L","Georgia Tech",,"35+",,,,
"145",,,"Brendan Beck","RHP","21.6666666","6' 2""","200","R","R","Stanford",,"35+",,,,
"146",,,"Cooper Ingle","C","18.2861111","5' 10""","170","L","R","A.C. Reynolds HS NC","Clemson","35+",,,,
"147",,,"Colt Keith","SS/RHP","18.8111111","6' 3""","200","L","R","Biloxi HS MS","Arizona State","35+",,,,
"148",,,"Lukas Cook","3B","19.0444444","6' 3""","205","R","R","Hardin Valley HS TN","South Carolina","35+",,,,
"149",,,"Andre Tarver","LF","19.9305555","6' 2""","210","L","L","Chipola JC FL","None","35+",,,,
"150",,,"Ty Floyd","RHP","18.7722222","6' 2""","180","R","R","Rockmart HS GA","LSU","35+",,,,
"151",,,"Patrick Reilly","RHP","18.6638888","6' 4""","200","R","R","Christian Brothers Academy HS NJ","Vanderbilt","35+",,,,
"152",,,"Ross Dunn","LHP","18.2944444","6' 3""","220","R","L","Cottonwood HS UT","Florida State","35+",,,,
"153",,,"Chad Born","CF","18.7388888","6' 1""","175","R","R","Orange Lutheran HS CA","Miami","35+",,,,
"154",,,"Jake Deleo","CF","19.0166666","6' 2""","190","R","R","Avon Old Farms HS MA","Georgia Tech","35+",,,,
"155",,,"Jesse Franklin","CF","21.5138888","6' 1""","215","L","L","Michigan",,"35+",,,,
"156",,,"Will Klein","RHP","20.5194444","6' 5""","225","R","R","Eastern Illinois",,"35+",,,,
"157",,,"Jack Moss","1B","18.6","6' 5""","200","L","R","Cherry Creek HS CO","Arizona State","35+",,,,
"158",,,"Dalton Pearson","CF","18.6694444","5' 11""","190","R","R","John's Creek HS GA","Georgia State","35+",,,,
"159",,,"Cody Greenhill","RHP","21.7083333","6' 4""","216","R","R","Auburn",,"35+",,,,
"160",,,"Grayson Moore","CF/RHP","18.9083333","6' 2""","180","S","R","Lake Mary HS FL","Vanderbilt","35+",,,,
"161",,,"Jacob Palisch","LHP","21.7972222","6' 5""","205","L","L","Stanford",,"35+",,,,
"162",,,"Shane Drohan","LHP","21.4138888","6' 3""","194","R","L","Florida State",,"35+",,,,
"163",,,"Raymond Gil","3B","21.3972222","6' 0""","210","R","R","Miami",,"35+",,,,
"164",,,"Bryce Jarvis","RHP","22.4444444","6' 2""","185","L","R","Duke",,"35+",,,,
"165",,,"Michael Rothenberg","C","21.6694444","6' 3""","210","S","R","Duke",,"35+",,,,
"166",,,"Bryce Bonnin","RHP","21.6527777","6' 1""","190","R","R","Texas Tech",,"35+",,,,
"167",,,"Kevin Sim","3B","18.3305555","6' 2""","205","R","R","Torrey Pines HS CA","San Diego","35+",,,,
"168",,,"Alex Boychuk","C","18.3527777","6' 0""","205","R","R","Mill Creek HS GA","South Carolina","35+",,,,
"169",,,"Tank Espalin","3B","19.0583333","6' 0""","180","L","R","Orange Lutheran HS CA","USC","35+",,,,
"170",,,"Eddie Eisert","3B","18.8694444","6' 2""","185","S","R","Bishop O'Connell HS VA","North Carolina State","35+",,,,
"171",,,"Tim Tawa","CF","21.1638888","6' 0""","180","R","R","Stanford",,"35+",,,,
"172",,,"Theo Millas","RHP","18.4027777","6' 4""","200","R","R","Ecole Alpha HS CAN","LSU","35+",,,,
"173",,,"Trippe Moore","RF","18.7694444","5' 11""","175","R","R","Mary Persons HS GA","Georgia","35+",,,,
"174",,,"Nolan Schanuel","RF","18.3111111","6' 2""","200","L","R","Park Vista HS FL","Florida Atlantic","35+",,,,
"175",,,"Shane McGuire","C","21.15","6' 0""","195","L","R","San Diego",,"35+",,,,
"176",,,"Aaron Sabato","1B","21.0055555","6' 2""","230","S","R","North Carolina",,"35+",,,,
"177",,,"Zavier Warren","3B","21.4111111","6' 0""","190","S","R","Central Michigan",,"35+",,,,
"178",,,"Jordan Nwogu","LF","21.2388888","6' 3""","235","R","R","Michigan",,"35+",,,,
"179",,,"Luke Little","LHP","19.7666666","6' 8""","225","L","L","San Jacinto JC TX","South Carolina","35+",,,,
"180",,,"Chandler Champlain","RHP","20.8694444","6' 5""","215","R","R","USC",,"35+",,,,
"181",,,"Christian Scott","RHP","20.975","6' 4""","195","R","R","Florida",,"35+",,,,
"182",,,"Trei Cruz","SS","21.9194444","6' 2""","200","S","R","Rice",,"35+",,,,
"183",,,"Milan Tolentino","SS","18.5527777","6' 1""","180","L","R","Santa Margarita Catholic HS CA","UCLA","35+",,,,
"184",,,"Blake Shapen","CF","19.3722222","6' 0""","170","R","R","Evangel Christian HS LA","None","35+",,,,
"185",,,"Jordan Thompson","SS/RHP","18.4083333","6' 0""","165","R","R","Helix HS CA","LSU","35+",,,,
"186",,,"Ronan Kopp","LHP","17.8555555","6' 5""","200","L","L","Scottsdale Christian HS AZ","Arizona State","35+",,,,
"187",,,"Luke Pectol","3B","18.95","6' 3""","198","L","R","Robinson HS AR","Kentucky","35+",,,,
"188",,,"Adam Kerner","C","21.85","5' 10""","185","R","R","San Diego",,"35+",,,,
"189",,,"Justin Collins","C","21.4222222","6' 2""","200","R","R","Rice",,"35+",,,,
"190",,,"Jack Neely","RHP","20.0027777","6' 9""","230","R","R","San Jacinto JC TX","Ohio State","35+",,,,
"191",,,"Jermaine Vanheyningen","RHP","21.5444444","6' 6""","236","R","R","Florence Darlington Tech JC SC","None","35+",,,,
"192",,,"Sam Weatherly","LHP","21.0222222","6' 3""","205","L","L","Clemson",,"35+",,,,
"193",,,"C.J. Smith","LHP","21.7777777","6' 1""","191","L","L","Georgia",,"35+",,,,
"194",,,"Drew Dowd","LHP","18.425","6' 1""","190","L","L","Junipero Serra HS CA","Stanford","35+",,,,
"195",,,"Steven Ondina","SS","18.0166666","5' 8""","156","R","R","Int'l BB Academy HS PR","Florida International","35+",,,,
"196",,,"Kyle Booker","RF","18.3694444","5' 10""","170","L","R","DeSoto Central HS MS","Tennessee","35+",,,,
"197",,,"Eddie Park","LF","18.7888888","6' 1""","185","L","L","Valley Christian HS CA","Stanford","35+",,,,
"198",,,"Justin Lange","RHP","18.7361111","6' 4""","185","R","R","Llano HS TX","Dallas Baptist","35+",,,,
"199",,,"Bo Hofstra","RHP","21.8527777","6' 5""","235","R","R","Purdue",,"35+",,,,
"200",,,"Tyler Brown","RHP","21.6777777","6' 4""","242","R","R","Vanderbilt",,"35+",,,,
"201",,,"Baron Radcliff","1B","21.325","6' 4""","220","L","R","Georgia Tech",,"35+",,,,
"202",,,"Wyatt Hudepohl","RHP","18.6972222","6' 3""","210","R","R","St. Xavier HS OH","Kentucky","35+",,,,
"203",,,"Will Sanders","RHP","18.1833333","6' 6""","195","R","R","Woodward Academy HS GA","South Carolina","35+",,,,
"204",,,"Nate Clow","CF","18.7277777","6' 0""","180","L","R","Beamer HS WA","USC","35+",,,,
"205",,,"Blake Dunn","CF","21.7527777","6' 0""","205","R","R","Western Michigan",,"35+",,,,
"206",,,"Matheu Nelson","C","21.4305555","5' 11""","195","R","R","Florida State",,"35+",,,,
"207",,,"Case Williams","RHP","18.3055555","6' 3""","210","R","R","Douglas County HS CO","Santa Clara","35+",,,,
