Rk,Name,Pos,Age,Country,Agent/Trainer,Proj Team,Proj Bonus,Ht,Wt,Bats,Thr,Athl,Frame,FV,Risk,Report,Video
"11","Alvin Guzman","CF","16.7","Dominican","Alfredo Arias","ARZ",2000000,"6' 1""","165","R","R",2,1,"40","High","Guzman has a loose, whippy swing that he doesn't always control, some room to fill out, and among the best straightline speed in the class. He's a rangy outfield defender and likely to stay in center field. His hands have enough life in the box that he might do offensive damage, too.","TJIq3ct8HFM"
"12","Misael Urbina","CF","16.2","Venezuela","Yasser Mendez","MIN",1550000,"6' 0""","175","R","R",0,-1,"40","Med","Urbina is one of the more advanced bats in the class, both from a bat control and physical development perspective. He's also one of the youngest. There's a good chance he ends up in left field due to a lack of top-end speed, and Urbina's power projection is limited by his size. He'll have to hit his way to the big leagues, but that's his best skill.","rflqhRGiZ0I"
"13","Orelvis Martinez","SS","16.6","Dominican","Ruddy Santin","TOR",3250000,"6' 1""","190","R","R",0,0,"40","High","Martinez has a loose, whippy swing with natural lift and present 45 raw power that should grow as he does. He has a good chance to get to most of that power in games because of the swing, but there's disagreement about much of the rest of his future. Martinez has plenty of arm for shortstop but his range and feet may not fit there. There are also conflicting opinions about how much he's going to hit, in part due to swing length. In short, Orevlis is one of the more volatile prospects in this class. He might be a shortstop who hits for power, or a corner guy with contact issues.","yHLBXVb004Y"
"14","Alexander Vargas","SS","16.7","Cuba","Ruddy Santin","CIN",3000000,"6' 0""","150","S","R",1,1,"40","High","Though he's eligible to sign this year, Vargas hit the market late, when much of the finite aggregate pool money was already unspokenly spoken for by other players in the class, so it's possible Vargas waits until 2019 to sign in order to get a better deal. We consider the Reds the favorites to employ him. Vargas has a well-proportioned 6-foot frame with some room for mass. His right-handed swing is much more competent than his left-handed one at present but they're each viable pro swings with lift to Vargas' pull side. Defensively, Vargas' footwork is excellent, his hands/actions are fine and he should grow into enough arm strength to play the left side of the infield, but if he doesn't then he's a better fit at second base. There's interesting raw material here, nothing explosive","1-63oQOd8s0"
"15","Antonio Gomez","C","16.6","Venezuela","Felix Luzon","NYY",850000,"6' 2""","205","R","R",0,-1,"40","High","Gomez is a mature-bodied catcher with a true 80 arm and polished contact skills. He offers little in terms of speed, but is baseball athletic with twitch in his game, including regular 1.85 or lower in-game pop times to second base (65-grade times), as low at 1.70 in showcase settings (80-grade times) and radar reading into the mid-80's in terms of velocity on his throws. His profile depends upon him staying behind the plate since he would be first base-only otherwise, but it looks like he should be fine back there at this point.","UIUzPZR_djw"
"16","Eduardo Garcia","SS","16.0","Venezuela","Jose Montero","MIL",1100000,"6' 2""","160","R","R",1,1,"40","High","Garcia is a well-rounded prospect who has a chance to play everyday so long as he stays at shortstop as his bat, though competent, looks as though it will offer little impact. ","Oo8SzAr5cp4"
"17","Alejandro Pie","SS","16.4","Dominican","Astin Jacobo","TBR",2000000,"6' 4""","175","R","R",1,2,"40","High","Pie is polarizing and very raw on both sides of the ball. One subset of scouts think he just hasn't grown into his body, the other just thinks he's not especially athletic (we fall into the former category). He makes many defensive plays much harder than they need to be and may ultimately need to move to the outfield if things don't get ironed out. He'll also needs a lot of swing work and has already abandoned switch-hitting. Pie checks the frame/twitch/makeup boxes but might need a few years of rookie ball before he really gets moving. ","pROw9MwMoSw"
"18","Starlyn Castillo","RHP","16.4","Dominican","Luis Pereira","PHI",1500000,"6' 0""","210","R","R",0,-2,"40","High","The Phillies haven't shied away from paying physically mature prospects big bucks on the IFA market. Castillo is a thick-torsoed righty with premium arm strength and a workable delivery. His breaking stuff is inconsistent and needs to be tightened. This is an arm strength/arm action/athlete buy without present feel for spin or physical projection, but Philly has had recent success with arms like this.","gJs16OYmZlc"
"19","Adinso Reyes","3B","16.7","Dominican","Angel Gonzalez","DET",1300000,"6' 1""","195","R","R",0,0,"40","High","The first surefire corner guy on the list, Reyes has a chance to develop 50-55 hit and power tools and profile everyday at third base.","Oo8SzAr5cp4"
"20","Sandy Gaston","RHP","16.5","Cuba","Yuan Pino","MIA",2600000,"6' 0""","190","R","R",0,-2,"40","High","Gaston has some of the best stuff in the class but his frame is maxed out and his arm action is very long. He's got a lot of relief risk and it's hazy as to whether or not his stuff is going to get better.","PB7HrCsfEUU"
"21","Alexander Ramirez","RF","15.8","Dominican","Amaurys Nina","LAA",850000,"6' 2""","180","R","R",0,1,"35+","High","",""
"22","Jerming Rosario","RHP","16.2","Dominican","Ferreras","LAD",850000,"6' 1""","175","R","R",1,-1,"35+","High","","SUik4eAyV0E"
"23","Eduarqui Fernandez","CF","16.6","Dominican","Jaime Ramos","MIL",1100000,"6' 2""","180","R","R",1,1,"35+","Med","","oBEgUc9B7xM"
"24","Jose Rodriguez","C","16.7","Venezuela","Jose Agudelo","TEX",2000000,"6' 0""","185","R","R",0,0,"35+","Med","",""
"25","Jose De La Cruz","RF","16.5","Dominican","Cristian Batista","DET",2000000,"6' 1""","195","R","R",0,0,"35","Med","","dtb0_blGFg4"
"26","Eduardo Lopez","RF","16.2","Dominican","Aldo Marrero","BOS",1500000,"6' 0""","170","S","R",0,0,"35","Med","","yqlFaXHReE4"
"27","Jose Lopez","CF","16.5","Dominican","Fausto Garcia","CHC",1500000,"5' 10""","165","L","R",1,-1,"35","High","","lk3odpJcNJg"
"28","Freddy Valdez","RF","16.6","Dominican","Luis Pereira","NYM",1400000,"6' 3""","210","R","R",0,1,"35","Med","","3C2lSXFUpss"
"29","Diomedes Sierra","LHP","16.8","Dominican","Fausto Mejia","ARZ",550000,"6' 1""","160","L","L",1,1,"35","High","",""
"30","Branlyn Jaraba","3B","16.3","Colombia","Orlando Cabrera","MIL",1150000,"6' 2""","200","R","R",0,0,"35","Med","","cOUB2jEQYqQ"
"31","Jairo Pomares","CF","17.9","Cuba","","SFG",900000,"6' 1""","185","L","R",0,0,"35","High","",""
"32","Abraham Calzadilla","RHP","16.6","Venezuela","Perez","ARZ",800000,"6' 1""","165","R","R",0,0,"35","High","","NE3GV2qEAIU"
"33","Fernando Ortega","RHP","16.7","Dominican","Chapita","PHI",575000,"6' 4""","180","R","R",0,1,"35","High","","PpIyI_tSduI"
"34","Denny Larrondo","RHP","16.1","Cuba","Fausto Mejia","NYY",450000,"6' 2""","180","R","R",1,1,"35","High","","_wV7HzTUWdw"
"35","Joel Machado","LHP","16.4","Venezuela","Vahlis","CHC",400000,"6' 0""","160","L","L",1,-1,"35","High","",""
