last_name,first_name,age,raat,pos,level,rp?,st,ip,pa,birthdate,id,raar,raal,target
Sanchez,Adrian,28,2.20,IF-OF,B,,,,59,1990-08-16,11338,-1.40,3.60,
Kaczmarski,Kevin,26,2.20,OF,B,,,,5,1991-12-31,18146,1.00,1.10,
Moya,Gabriel,23,1.70,P,B,x,6,36.1,,1995-01-09,16348,0.80,0.90,
Bashlor,Tyler,25,1.40,P,B,x,,32.0,,1993-04-16,15203,0.50,0.90,
Lawrence,Casey,31,-4.20,P,B,x,,23.1,,1987-10-28,11121,-5.10,0.90,
Alcantara,Victor,25,2.40,P,B,x,,30.0,,1993-04-03,15028,1.60,0.80,
Kinley,Tyler,27,1.90,P,B,x,,11.0,,1991-01-31,18297,1.10,0.80,
Gosselin,Phil,30,2.10,IF,A,,,,28,1988-10-03,10953,-1.40,3.50,
Gore,Terrance,27,2.10,IF-OF,B,,,,5,1991-06-08,13658,1.10,1.00,
Vielma,Engelb,24,2.10,IF-OF,B,,,,8,1994-06-22,15481,1.00,1.10,
Loup,Aaron,30,1.70,P,B,x,,39.2,,1987-12-19,10343,0.90,0.80,
Dull,Ryan,29,1.60,P,B,x,,25.1,,1989-10-02,13974,0.80,0.80,
Guerrieri,Taylor,26,1.00,P,B,x,,9.2,,1992-12-01,13616,0.20,0.80,
Rosales,Adam,35,2.00,IF-OF,A,,,,21,1983-05-20,9682,0.70,1.30,
Avelino,Abiatal,23,2.00,IF-OF,B,,,,11,1995-02-14,15496,1.40,0.70,
Hermosillo,Michael,23,2.00,OF,B,,,,62,1995-01-17,16285,-1.30,3.30,
Mullins,Cedric,24,2.00,OF,B,,,,191,1994-10-01,17929,3.30,-1.30,
Okert,Steven,27,0.70,P,A,x,,7.1,,1991-07-09,13580,-0.10,0.80,
Houser,Adrian,25,-1.60,P,B,x,,13.2,,1993-02-02,12718,-2.40,0.80,
Gomez,Miguel,25,1.90,IF,B,,,,15,1992-12-17,17075,0.20,1.70,
Vargas,Ildemaro,27,1.90,IF-OF,B,,,,20,1991-07-16,13324,1.20,0.70,
Joyce,Matt,34,1.90,OF,V,,,,246,1984-08-03,3353,0.60,1.30,
Schultz,Jaime,27,-2.70,P,B,x,1,30.1,,1991-06-20,15066,-3.50,0.80,
Barria,Jaime,22,1.90,P,B,,26,,,1996-07-18,18356,-5.30,7.20,
Suarez,Ranger,23,-5.30,P,B,x,3,15.0,,1995-08-26,17277,-6.10,0.80,
Wright,Steven,34,7.80,P,B,x,4,53.2,,1984-08-30,8185,7.10,0.70,
Armstrong,Shawn,28,4.80,P,B,x,,14.2,,1990-09-11,12857,4.10,0.70,
Curtiss,John,25,3.80,P,B,x,,6.1,,1993-04-05,16128,3.10,0.70,
Urshela,Giovanny,27,1.80,IF,A,,,,46,1991-10-11,10681,-0.40,2.20,
Osuna,Jose,26,1.80,IF-OF,A,,,,111,1992-12-12,12937,-2.90,4.70,
Butler,Dan,32,1.70,C,B,,,,7,1986-10-17,9968,0.60,1.10,
Saltalamacchia,Jarrod,33,1.70,C,V,,,,8,1985-05-02,5557,0.90,0.80,
Peterson,Jace,28,1.70,IF,A,,,,246,1990-05-09,12325,1.10,0.60,
Johnson,Sherman,28,1.70,IF,B,,,,11,1990-07-15,13906,0.70,0.90,
Walding,Mitch,26,1.70,IF,B,,,,19,1992-09-10,13006,0.70,1.00,
Moroff,Max,25,1.70,IF-OF,B,,,,67,1993-05-13,14556,-0.40,2.20,
Trahan,Blake,25,1.70,IF-OF,B,,,,14,1993-09-05,17588,0.80,0.90,
Davis,Jonathan,26,1.70,OF,B,,,,27,1992-05-12,15104,0.40,1.30,
McGowin,Kyle,27,2.40,P,B,x,1,7.2,,1991-11-27,15071,1.70,0.70,
Frare,Caleb,25,1.00,P,B,x,,7.0,,1993-07-08,14353,0.30,0.70,
Baron,Steven,28,1.60,C,B,,,,5,1990-12-07,9787,0.30,1.30,
Kieboom,Spencer,27,1.60,C,B,,,,143,1991-03-16,13300,-0.10,1.80,
Davis,Taylor,29,1.60,IF-OF,B,,,,6,1989-11-28,12782,0.30,1.30,
Rickard,Joey,27,1.60,OF,A,,,,230,1991-05-21,13277,-1.90,3.50,
Dean,Austin,25,1.60,OF,B,,,,122,1993-10-14,18288,1.10,0.50,
Guerrero,Gabriel,25,1.60,OF,B,,,,18,1993-12-11,14528,0.70,0.90,
Tarpley,Stephen,25,0.80,P,B,x,,9.0,,1993-02-17,15859,0.10,0.70,
Webb,Tyler,28,-1.00,P,B,x,,20.1,,1990-07-20,14974,-1.70,0.70,
Vasto,Jerry,26,-2.30,P,B,x,,4.1,,1992-02-12,17126,-3.00,0.70,
Johnson,D.J.,29,1.60,P,B,,,,,1989-08-30,12578,1.60,0.00,
Federowicz,Tim,31,1.50,C,A,,,,42,1987-08-05,8609,0.20,1.30,
Stewart,Chris,36,1.50,C,A,,,,17,1982-02-19,3878,0.50,1.00,
Gonzalez,Alfredo,26,1.50,C,B,,,,9,1992-07-13,14267,0.30,1.10,
Valera,Breyvic,26,1.50,IF,B,,,,75,1992-01-08,12758,-1.70,3.10,
Kang,Jung,31,1.50,IF-OF,A,,,,6,1987-04-05,17182,0.20,1.30,
Navarro,Efren,32,1.50,IF-OF,A,,,,6,1986-05-14,9854,0.20,1.30,
Bautista,Rafael,25,1.50,OF,B,,,,6,1993-03-08,15769,0.30,1.20,
Straw,Myles,24,1.50,OF,B,,,,10,1994-10-17,17620,0.20,1.30,
Boyer,Blaine,37,-11.20,P,B,x,,21.2,,1981-07-11,2237,-11.90,0.70,
Bourjos,Peter,31,1.40,OF,A,,,,47,1987-03-31,2578,0.70,0.70,
VerHagen,Drew,28,11.30,P,B,x,1,56.1,,1990-10-22,13424,10.70,0.60,
Alberto,Hanser,26,1.30,IF,B,,,,30,1992-10-17,11902,-0.50,1.80,
Kelly,Ty,30,1.30,IF-OF,B,,,,12,1988-07-20,7740,-0.20,1.50,
Reynolds,Matt,28,1.30,IF-OF,B,,,,14,1990-12-03,13788,0.20,1.10,
Telis,Tomas,27,1.30,IF-OF,B,,,,31,1991-06-18,10067,0.90,0.40,
Blevins,Jerry,35,2.10,P,B,x,1,42.2,,1983-09-06,7841,1.50,0.60,
Whalen,Rob,24,1.30,P,B,,,,,1994-01-31,14165,0.60,0.70,
Marjama,Mike,29,1.20,C,B,,,,29,1989-07-20,12594,-0.70,1.90,
Negron,Kristopher,32,1.20,IF-OF,A,,,,33,1986-02-01,5306,-0.70,1.90,
Mills,Alec,27,2.00,P,B,x,2,18.0,,1991-11-30,13834,1.40,0.60,
Wood,Hunter,25,1.10,P,B,x,8,41.0,,1993-08-12,15091,0.50,0.60,
Ramirez,Carlos,27,1.20,P,B,,,,,1991-04-24,11743,0.90,0.30,
Reyes,Jesus,25,1.20,P,B,,,,,1993-02-21,19277,1.90,-0.70,
Mesoraco,Devin,30,1.10,C,A,,,,274,1988-06-19,5666,-0.40,1.50,
Arcia,Francisco,29,1.10,C,B,,,,106,1989-09-14,10286,-1.30,2.40,
Refsnyder,Rob,27,1.10,IF-OF,A,,,,103,1991-03-26,13770,-0.40,1.50,
Wieck,Brad,27,0.80,P,B,x,,7.0,,1991-10-24,16390,0.20,0.60,
Walden,Marcus,30,0.60,P,B,x,,14.2,,1988-09-13,8004,0.00,0.60,
Stock,Robert,29,5.80,P,B,x,,39.2,,1989-11-21,6576,5.30,0.50,
Adduci,Jim,33,1.00,IF-OF,A,,,,185,1985-05-15,6448,2.50,-1.50,
Castro,Harold,25,1.00,IF-OF,B,,,,10,1993-11-30,14691,-0.30,1.30,
Farquhar,Danny,31,3.90,P,V,x,,8.0,,1987-02-17,8501,3.40,0.50,
Wood,Blake,33,2.20,P,B,x,,11.2,,1985-08-08,1345,1.70,0.50,
Cook,Ryan,31,1.90,P,B,x,,17.0,,1987-06-30,8855,1.40,0.50,
Gregerson,Luke,34,1.60,P,B,x,,12.2,,1984-05-14,4090,1.10,0.50,
Haase,Eric,25,0.90,C,B,,,,17,1992-12-18,14111,0.20,0.60,
Pennington,Cliff,34,0.90,IF-OF,V,,,,34,1984-06-15,3395,-0.70,1.60,
Young,Chris,35,0.90,OF,V,,,,128,1983-09-05,3882,0.50,0.40,
Barlow,Scott,25,0.40,P,B,x,,15.0,,1992-12-18,14993,-0.10,0.50,
Mann,Brandon,34,-0.40,P,B,x,,8.1,,1984-05-16,5172,-0.90,0.50,
Ruiz,Jose,24,0.90,P,B,,,,,1994-10-21,14552,0.60,0.30,
Jepsen,Kevin,34,-0.90,P,B,x,,16.2,,1984-07-26,6475,-1.40,0.50,
Reinheimer,Jack,26,0.80,IF-OF,B,,,,35,1992-07-19,14938,-0.60,1.40,
Lee,Braxton,25,0.80,OF,B,,,,18,1993-08-23,16839,-0.30,1.20,
Law,Derek,28,-2.00,P,B,x,,13.1,,1990-09-14,13133,-2.50,0.50,
Sampson,Adrian,27,-2.20,P,B,x,4,23.0,,1991-10-07,13339,-2.70,0.50,
Moylan,Peter,40,-2.50,P,B,x,,28.1,,1978-12-02,4891,-3.00,0.50,
Smith,Drew,25,-2.50,P,B,x,,28.0,,1993-09-24,17755,-3.00,0.50,
Williams,Austen,25,-5.00,P,B,x,,9.2,,1992-12-19,16309,-5.50,0.50,
Steckenrider,Drew,27,10.50,P,B,x,,64.2,,1991-01-10,18806,10.10,0.40,
Lobaton,Jose,34,0.70,C,A,,,,57,1984-10-21,4243,2.00,-1.30,
Wallach,Chad,27,0.70,C,B,,,,52,1991-11-04,17161,-0.90,1.60,
Wynns,Austin,28,0.70,C,B,,,,118,1990-12-10,15271,3.90,-3.30,
Bracho,Silvino,26,6.00,P,B,x,,31.0,,1992-07-17,15051,5.60,0.40,
Miller,Justin,31,5.90,P,B,x,,52.1,,1987-06-13,8580,5.50,0.40,
Turnbull,Spencer,26,1.30,P,B,x,3,16.1,,1992-09-18,16207,0.90,0.40,
Loaisiga,Jonathan,24,1.00,P,B,x,4,24.2,,1994-11-02,19753,0.60,0.40,
Hancock,Justin,28,0.70,P,B,x,,12.1,,1990-10-28,12316,0.30,0.40,
Corcino,Daniel,28,0.60,P,B,x,,4.0,,1990-08-26,9266,0.20,0.40,
Stallings,Jacob,28,0.60,C,B,,,,41,1989-12-22,13723,0.50,0.10,
Asher,Alec,27,0.10,P,A,x,,3.0,,1991-10-04,13560,-0.30,0.40,
Voth,Austin,26,-0.40,P,B,x,2,12.1,,1992-06-26,15047,-0.80,0.40,
Marshall,Evan,28,-1.40,P,A,x,,7.0,,1990-04-18,12297,-1.80,0.40,
Sherriff,Ryan,28,-1.80,P,B,x,,5.2,,1990-05-25,12249,-2.20,0.40,
Scott,Robby,29,-2.00,P,A,x,,6.2,,1989-08-29,13042,-2.40,0.40,
Sparkman,Glenn,26,-2.00,P,B,x,3,38.1,,1992-05-11,15200,-2.40,0.40,
Rumbelow,Nick,27,-3.50,P,B,x,,17.2,,1991-09-06,14867,-3.90,0.40,
Motter,Taylor,29,0.40,IF-OF,A,,,,38,1989-09-18,12399,0.10,0.20,
Martin,Chris,32,1.20,P,B,x,,41.2,,1986-06-02,11847,0.90,0.30,
Middleton,Keynan,25,0.80,P,B,x,,17.2,,1993-09-12,15264,0.50,0.30,
Parsons,Wes,26,0.70,P,B,x,,5.0,,1992-09-06,14764,0.40,0.30,
Collins,Tim,29,-2.00,P,B,x,,22.2,,1989-08-21,3164,-2.30,0.30,
Castro,Daniel,26,0.30,IF-OF,B,,,,47,1992-11-14,15450,-3.70,4.00,
Ngoepe,Gift,28,0.30,IF-OF,B,,,,19,1990-01-18,10340,-0.80,1.20,
Skoglund,Eric,26,-2.30,P,B,x,13,70.0,,1992-10-26,16155,-2.60,0.30,
Slegers,Aaron,26,-3.20,P,B,x,2,13.2,,1992-09-04,15231,-3.50,0.30,
Colon,Bartolo,45,-28.10,P,V,x,24,219.1,,1973-05-24,375,-28.40,0.30,
Evans,Phillip,26,0.10,IF-OF,B,,,,23,1992-09-10,12950,-0.60,0.70,
Joseph,Corban,30,0.10,IF-OF,B,,,,19,1988-10-28,5503,-1.20,1.30,
Torres,Ramon,25,0.10,IF-OF,B,,,,29,1993-01-22,14113,-0.90,1.00,
Morin,Mike,27,0.80,P,A,x,,4.0,,1991-05-03,13442,0.60,0.20,
Fernandez,Jose,25,0.30,P,B,x,,10.1,,1993-02-13,14733,0.10,0.20,
Lopez,Yoan,25,0.10,P,B,,,,,1993-01-02,17181,1.00,-0.90,
Zastryzny,Rob,26,-0.70,P,B,x,,5.2,,1992-03-26,15094,-0.90,0.20,
Lavarnway,Ryan,31,0.00,C,A,,,,6,1987-08-07,8879,0.00,0.00,
Gale,Rocky,30,0.00,C,B,,,,2,1988-02-22,10533,0.00,0.00,
Gallagher,Cam,26,0.00,C,B,,,,69,1992-12-06,12981,0.00,-0.10,
Garneau,Dustin,31,0.00,C,B,,,,3,1987-08-13,9433,0.00,0.00,
d'Arnaud,Chase,31,0.00,IF-OF,A,,,,100,1987-01-21,6652,-1.50,1.40,
Bostick,Christopher,25,0.00,IF-OF,B,,,,18,1993-03-24,13718,0.00,0.00,
Freeman,Mike,31,0.00,IF-OF,B,,,,1,1987-08-04,11241,0.00,0.00,
Renda,Tony,27,0.00,IF-OF,B,,,,0,1991-01-24,13443,0.00,0.00,
Sweeney,Darnell,27,0.00,IF-OF,B,,,,4,1991-02-01,13284,0.00,0.00,
Dekker,Matt,31,0.00,OF,A,,,,21,1987-08-10,11385,0.00,0.00,
Peterson,Dustin,24,0.00,OF,B,,,,2,1994-09-10,15189,0.00,0.00,
Smith,Dwight,26,0.00,OF,B,,,,75,1992-10-26,13473,0.00,0.00,
Gomber,Austin,25,-1.30,P,B,x,11,75.0,,1993-11-23,16561,-1.50,0.20,
Gardewine,Nick,25,-1.70,P,B,x,,5.0,,1993-08-15,16513,-1.90,0.20,
Ramirez,JC,30,0.00,P,A,,2,,,1988-08-16,8302,0.00,0.00,
Bergman,Christian,30,-2.90,P,B,x,2,14.0,,1988-05-04,10925,-3.10,0.20,
Crockett,Kyle,27,0.90,P,A,x,,9.1,,1991-12-15,15033,0.80,0.10,
Curtis,Zac,26,0.90,P,B,x,,16.1,,1992-07-04,16684,0.80,0.10,
Adams,Austin,27,0.00,P,B,,,,,1991-05-05,13801,0.00,0.00,
Kontos,George,33,0.90,P,V,x,,26.2,,1985-06-12,9486,0.80,0.10,
Rosscup,Zac,30,0.50,P,B,x,,11.1,,1988-06-09,9419,0.40,0.10,
Brooks,Aaron,28,0.00,P,B,,,,,1990-04-27,12272,0.00,0.00,
