team,last,first,name,C,1B,2B,3B,SS,LF,CF,RF
KCR,Gordon,Alex,Alex Gordon,,,,,,1,3(B2),3(B2)
LAD,Verdugo,Alex,Alex Verdugo,,,,,,3,3,3
CHA,Gonzalez,Alfredo,Alfredo Gonzalez,4,,,,,,,
NYM,Rosario,Amed,Amed Rosario,,,,,3,,,
LAA,Simmons,Andrelton,Andrelton Simmons,,,,,1,,,
BOS,Benintendi,Andrew,Andrew Benintendi,,,,,,1(B2),3,
PHI,Knapp,Andrew,Andrew Knapp,4,4,,,,,,
NYY,McCutchen,Andrew,Andrew McCutchen,,,,,,3,,3
SFG,McCutchen,Andrew,Andrew McCutchen,,,,,,,,3
SEA,Romine,Andrew,Andrew Romine,,3,2,2,3,3,4,4
WAS,Stevenson,Andrew,Andrew Stevenson,,,,,,2,2,
BAL,Susac,Andrew,Andrew Susac,3,,,,,,,
LAD,Toles,Andrew,Andrew Toles,,,,,,2,3,
TBY,Velazquez,Andrew,Andrew Velazquez,,,3,3,3,,3,3
TOR,Alford,Anthony,Anthony Alford,,,,,,3,,3
WAS,Rendon,Anthony,Anthony Rendon,,,,1,,,,
CHC,Rizzo,Anthony,Anthony Rizzo,,1(B2),,,,,,
BAL,Santander,Anthony,Anthony Santander,,,,,,,,4
SFG,Garcia,Aramis,Aramis Garcia,3,4,,,,,,
CIN,Aquino,Aristides,Aristides Aquino,,,,,,,,3
PHI,Cabrera,Asdrubal,Asdrubal Cabrera,,,4(B3),4,4(B3),,,
LAD,Barnes,Austin,Austin Barnes,2,,4,,,,,
MIA,Dean,Austin,Austin Dean,,,,,,3,,
SDP,Hedges,Austin,Austin Hedges,1,,,,,,,
NYM,Jackson,Austin,Austin Jackson,,,,,,3,3,
TBY,Meadows,Austin,Austin Meadows,,,,,,,,2
PIT,Meadows,Austin,Austin Meadows,,,,,,2,3,2
NYY,Romine,Austin,Austin Romine,2,,,,,,,
SFG,Slater,Austin,Austin Slater,,4,,,,3,,4
BAL,Wynns,Austin,Austin Wynns,3,,,,,,,
CHA,Garcia,Avisail,Avisail Garcia,,,,,,,,4(B3)
OAK,Taylor,Beau,Beau Taylor,4,,,,,,,
SEA,Gamel,Ben,Ben Gamel,,4,,,,3,4,3
CHC,Zobrist,Ben,Ben Zobrist,,4,3(B2),,,3,,3
CIN,Hamilton,Billy,Billy Hamilton,,,,,,,1,
TOR,McKinney,Billy,Billy McKinney,,5,,,,3,,3
BOS,Swihart,Blake,Blake Swihart,4,4,5,4,,4,,4
CIN,Trahan,Blake,Blake Trahan,,,3,4,4,,,
MIN,Wilson,Bobby,Bobby Wilson,3,,,,,,,
OAK,Powell,Boog,Boog Powell,,,,,,,3,
TBY,Miller,Brad,Brad Miller,,4,4,,,,,
MIL,Miller,Brad,Brad Miller,,4,4,,4(B5),,,
CLE,Zimmer,Bradley,Bradley Zimmer,,,,,,,2,
CLE,Barnes,Brandon,Brandon Barnes,,,5,,,,3,3
SFG,Belt,Brandon,Brandon Belt,,1,,,,4,,
SFG,Crawford,Brandon,Brandon Crawford,,,,,1,,,
CIN,Dixon,Brandon,Brandon Dixon,,3,4,4,,4,,4
TOR,Drury,Brandon,Brandon Drury,,5,4,3(B4),4,,,
CLE,Guyer,Brandon,Brandon Guyer,,,,,,3,3,3
TBY,Lowe,Brandon,Brandon Lowe,,,4,,,4,,4
NYM,Nimmo,Brandon,Brandon Nimmo,,,,,,2,3,2
BOS,Phillips,Brandon,Brandon Phillips,,,4,4,,,,
TBY,Snyder,Brandon,Brandon Snyder,,,,4,,,,
MIA,Lee,Braxton,Braxton Lee,,,,,,4,,4
NYY,Gardner,Brett,Brett Gardner,,,,,,1,2,
KCR,Phillips,Brett,Brett Phillips,,,,,,2,2,2
MIL,Phillips,Brett,Brett Phillips,,,,,,2,2,2
BAL,Valera,Breyvic,Breyvic Valera,,,4(B5),,4,,,
LAD,Valera,Breyvic,Breyvic Valera,,,4,4,,,,4
MIA,Anderson,Brian,Brian Anderson,,,,3,,,,3(B2)
MIN,Dozier,Brian,Brian Dozier,,,2,,,,,
LAD,Dozier,Brian,Brian Dozier,,,2(B3),,,,,
KCR,Goodwin,Brian,Brian Goodwin,,,,,,3,3,
WAS,Goodwin,Brian,Brian Goodwin,,,,,,3,3,3
HOU,McCann,Brian,Brian McCann,3,,,,,,,
BOS,Holt,Brock,Brock Holt,,4,3(B2),4,4,4,,4
OAK,Maxwell,Bruce,Bruce Maxwell,3,,,,,,,
MIA,Holaday,Bryan,Bryan Holaday,3,,,,,,,
WAS,Harper,Bryce,Bryce Harper,,,,,,,4(B3),3
SFG,Posey,Buster,Buster Posey,1,2,,,,,,
MIN,Buxton,Byron,Byron Buxton,,,,,,,1,
TBY,Cron,C.J.,C.J. Cron,,4(B3),,,,,,
BAL,Joseph,Caleb,Caleb Joseph,3,4,,,,,,
KCR,Gallagher,Cam,Cam Gallagher,3,,,,,,,
SEA,Maybin,Cameron,Cameron Maybin,,,,,,2,2,
MIA,Maybin,Cameron,Cameron Maybin,,,,,,2,2,3
SDP,Asuaje,Carlos,Carlos Asuaje,,,3(B2),4,,,,
HOU,Correa,Carlos,Carlos Correa,,,,,2,,,
TBY,Gomez,Carlos,Carlos Gomez,,,5,,,,3,2(B3)
COL,Gonzalez,Carlos,Carlos Gonzalez,,,,,,,,2
TEX,Perez,Carlos,Carlos Perez,2,,,,,,,
ATL,Perez,Carlos,Carlos Perez,2,,,,,,,
PHI,Santana,Carlos,Carlos Santana,,3,,4,,,,
TEX,Tocci,Carlos,Carlos Tocci,,,,,,2,2,2
STL,Kelly,Carson,Carson Kelly,3,,,,,,,
BAL,Mullins,Cedric,Cedric Mullins,,,,,,,4(B3),
PHI,Hernandez,Cesar,Cesar Hernandez,,,3,,,,,
OAK,Pinder,Chad,Chad Pinder,,4,3,4,4,2,4,3
MIA,Wallach,Chad,Chad Wallach,3,,,,,,,
BAL,Sisco,Chance,Chance Sisco,4,,,,,,,
COL,Blackmon,Charlie,Charlie Blackmon,,,,,,,4(B3),
ATL,Culberson,Charlie,Charlie Culberson,,4,3,3,4,4,,4
CHA,Tilson,Charlie,Charlie Tilson,,,,,,3,3,
SFG,d'Arnaud,Chase,Chase d'Arnaud,,4,4,4,4,,,
SDP,Headley,Chase,Chase Headley,,4,,4,,,,
LAD,Utley,Chase,Chase Utley,,4,3,,,,,
KCR,Cuthbert,Cheslor,Cheslor Cuthbert,,4,,4,,,,
MIA,Bostick,Chris,Chris Bostick,,,4,,,4,,
BAL,Davis,Chris,Chris Davis,,3,,,,,,
MIN,Gimenez,Chris,Chris Gimenez,3,4,,5,,,,
CHC,Gimenez,Chris,Chris Gimenez,3,,,,,,,
SEA,Herrmann,Chris,Chris Herrmann,4,4,,,,,,
COL,Iannetta,Chris,Chris Iannetta,4,,,,,,,
ARI,Owings,Chris,Chris Owings,,,3,4,,4,4,4
SFG,Shaw,Chris,Chris Shaw,,,,,,5,,
ARI,Stewart,Chris,Chris Stewart,4,,,,,,,
LAD,Taylor,Chris,Chris Taylor,,,3,,3,2,3,
LAA,Young,Chris,Chris Young,,,,,,3,4,3
TBY,Arroyo,Christian,Christian Arroyo,,,4,3,,,,
BOS,Vazquez,Christian,Christian Vazquez,2,,,5,,,,
SDP,Villanueva,Christian,Christian Villanueva,,4,4,4,4,,,
ARI,Walker,Christian,Christian Walker,,4,,,,5,,
MIL,Yelich,Christian,Christian Yelich,,,,,,1,2,1
DET,Stewart,Christin,Christin Stewart,,,,,,4,,
CIN,Pennington,Cliff,Cliff Pennington,,,,4,4,,,
NYY,Frazier,Clint,Clint Frazier,,,,,,3,4,
LAD,Bellinger,Cody,Cody Bellinger,,2,,,,,3,4
BAL,Rasmus,Colby,Colby Rasmus,,,,,,3,3,3
PIT,Moran,Colin,Colin Moran,,,,4,,,,
BAL,Joseph,Corban,Corban Joseph,,4,4,,,,,
PIT,Dickerson,Corey,Corey Dickerson,,,,,,2,,
LAD,Seager,Corey,Corey Seager,,,,,3,,,
SDP,Spangenberg,Cory,Cory Spangenberg,,,4(B3),4,4,4,,
BAL,Gentry,Craig,Craig Gentry,,,,,,2,2,2
CIN,Casali,Curt,Curt Casali,3,4,5,,,,,
TOR,Granderson,Curtis,Curtis Granderson,,,,,,4,4,4
MIL,Granderson,Curtis,Curtis Granderson,,,,,,4,,4
BAL,Stewart,D.J.,D.J. Stewart,,,,,,4,,4
TOR,Pompey,Dalton,Dalton Pompey,,,,,,2,,
BOS,Butler,Dan,Dan Butler,4,,,,,,,
SEA,Vogelbach,Dan,Dan Vogelbach,,5,,,,,,
COL,Castro,Daniel,Daniel Castro,,,2,,4,,,
ARI,Descalso,Daniel,Daniel Descalso,,4,4,4(B3),,4,,
CHC,Murphy,Daniel,Daniel Murphy,,5,5,,,,,
CHA,Palka,Daniel,Daniel Palka,,,,,,5(B4),,5(B4)
TBY,Robertson,Daniel,Daniel Robertson,,4,2,3,3,4,,
TOR,Jansen,Danny,Danny Jansen,4,,,,,,,
ATL,Santana,Danny,Danny Santana,,,,,,4,4,4
BAL,Valencia,Danny,Danny Valencia,,4,,4,,,,4
ATL,Swanson,Dansby,Dansby Swanson,,,,,2,,,
TOR,Sweeney,Darnell,Darnell Sweeney,,,,4,,4,,
CHC,Bote,David,David Bote,,4,3,2,4,4,,
COL,Dahl,David,David Dahl,,,,,,2,3,2
LAA,Fletcher,David,David Fletcher,,,2,3(B2),3,,,4
LAD,Freese,David,David Freese,,4,,3,,,,
SEA,Freitas,David,David Freitas,4,5,,,,,,
ARI,Peralta,David,David Peralta,,,,,,3,,4
NYM,Wright,David,David Wright,,,,5,,,,
DET,Lugo,Dawel,Dawel Lugo,,,4,,,,,
SEA,Gordon,Dee,Dee Gordon,,,1(B2),,3,,4,
TEX,Deshields,Delino,Delino Deshields,,,,,,,2,
SEA,Span,Denard,Denard Span,,,,,,3,,
MIA,Dietrich,Derek,Derek Dietrich,,4,4,4,,5(B4),,
HOU,Fisher,Derek,Derek Fisher,,,,,,3,4,4
ARI,Marrero,Deven,Deven Marrero,,,3,2,,,,
NYM,Mesoraco,Devin,Devin Mesoraco,3,4,,,,,,
TOR,Travis,Devon,Devon Travis,,,4,,,,,
STL,Fowler,Dexter,Dexter Fowler,,,,,,,,4
NYY,Gregorius,Didi,Didi Gregorius,,,,,1,,,
CIN,Herrera,Dilson,Dilson Herrera,,4,3,4,,4,,
DET,Machado,Dixon,Dixon Machado,,,4,,,,,
COL,LeMahieu,DJ,DJ LeMahieu,,,1,,,,,
MIL,Santana,Domingo,Domingo Santana,,,,,,,,4(B3)
NYM,Smith,Dominic,Dominic Smith,,3(B4),,,,5,,
KCR,Butera,Drew,Drew Butera,3,4,,,,,,
COL,Butera,Drew,Drew Butera,3,4,,,,,,
TEX,Robinson,Drew,Drew Robinson,,,4,4,4,3,4,
OAK,Fowler,Dustin,Dustin Fowler,,,,,,3,3,4
CHA,Garneau,Dustin,Dustin Garneau,3,,,,,,,
BOS,Pedroia,Dustin,Dustin Pedroia,,,3,,,,,
ATL,Peterson,Dustin,Dustin Peterson,,,,,,,,
TOR,Smith,Dwight,Dwight Smith,,,,,,4,,4
PHI,Cozens,Dylan,Dylan Cozens,,,,,,4,,4
MIN,Rosario,Eddie,Eddie Rosario,,,,5,,3,4,3
STL,Sosa,Edmundo,Edmundo Sosa,,,4,,,,,
MIN,Escobar,Eduardo,Eduardo Escobar,,,3,2,4,,,
ARI,Escobar,Eduardo,Eduardo Escobar,,,,2,,,,
BOS,Nunez,Eduardo,Eduardo Nunez,,,4,4(B3),,,,
CLE,Encarnacion,Edwin,Edwin Encarnacion,,4,,,,,,
CHC,Navarro,Efren,Efren Navarro,,2,,,,,,
MIN,Adrianza,Ehire,Ehire Adrianza,,3,3,3,3,4,,
PIT,Diaz,Elias,Elias Diaz,2,,,,,,,
TEX,Andrus,Elvis,Elvis Andrus,,,,,2,,,
ATL,Inciarte,Ender,Ender Inciarte,,,,,,,1,
BAL,Vielma,Engelb,Engelb Vielma,,,4,,4,,,
LAD,Hernandez,Enrique,Enrique Hernandez,,4,3,4,4,3,3,3
CLE,Haase,Eric,Eric Haase,4,,,,,,,
SDP,Hosmer,Eric,Eric Hosmer,,2,,,,,,
MIL,Sogard,Eric,Eric Sogard,,,3,,3,5,,
MIL,Thames,Eric,Eric Thames,,4,,,,4,,4
LAA,Young,Eric,Eric Young,,,,,,3,4,
CLE,Gonzalez,Erik,Erik Gonzalez,,4,3(B4),2,3,,,
MIL,Kratz,Erik,Erik Kratz,3,,,,,,,
CIN,Suarez,Eugenio,Eugenio Suarez,,,,3,4,,,
HOU,Gattis,Evan,Evan Gattis,5,,,,,,,
SFG,Longoria,Evan,Evan Longoria,,,,3,,,,
SDP,Cordero,Franchy,Franchy Cordero,,,,,,3,3,3
LAA,Arcia,Francisco,Francisco Arcia,3,4,,,,,,
PIT,Cervelli,Francisco,Francisco Cervelli,3,4,,,,,,
CLE,Lindor,Francisco,Francisco Lindor,,,,,1,,,
CLE,Mejia,Francisco,Francisco Mejia,,,,,,,,
SDP,Mejia,Francisco,Francisco Mejia,4(B3),,,,,,,
STL,Pena,Francisco,Francisco Pena,3,5,,,,,,
OAK,Barreto,Franklin,Franklin Barreto,,,4,,4,,,
SDP,Reyes,Franmil,Franmil Reyes,,,,,,,,4
ATL,Freeman,Freddie,Freddie Freeman,,1,,,,,,
SDP,Galvis,Freddy,Freddy Galvis,,,2,,1,,,
CIN,Guerrero,Gabriel,Gabriel Guerrero,,,,,,,3,
MIA,Cooper,Garrett,Garrett Cooper,,4,,,,4,,4
COL,Hampson,Garrett,Garrett Hampson,,,3,,4,,4,
NYY,Sanchez,Gary,Gary Sanchez,4,,,,,,,
HOU,Springer,George,George Springer,,,,,,3,2,2
COL,Parra,Gerardo,Gerardo Parra,,,,,,3,,3
NYY,Stanton,Giancarlo,Giancarlo Stanton,,,,,,4(B3),,3
TOR,Ngoepe,Gift,Gift Ngoepe,,,2,3,3,,,
TOR,Urshela,Giovanny,Giovanny Urshela,,,,3,4,,,
NYY,Torres,Gleyber,Gleyber Torres,,,2(B3),,3,,,
SEA,Beckham,Gordon,Gordon Beckham,,,3,4,4,,,
SFG,Hernandez,Gorkys,Gorkys Hernandez,,,,,,2,2,2
DET,Greiner,Grayson,Grayson Greiner,4,,,,,,,
CLE,Allen,Greg,Greg Allen,,,,,,2,2,2
NYY,Bird,Greg,Greg Bird,,3,,,,,,
STL,Garcia,Greg,Greg Garcia,,,4(B3),4,4,,,
SFG,Blanco,Gregor,Gregor Blanco,,,,,,2(B3),2(B3),2(B3)
MIN,Petit,Gregorio,Gregorio Petit,,4,3,3,3,,,
PIT,Polanco,Gregory,Gregory Polanco,,,,,,,,3
SEA,Heredia,Guillermo,Guillermo Heredia,,,,,,2(B1),2(B1),
BOS,Ramirez,Hanley,Hanley Ramirez,,4,,,,,,
TEX,Alberto,Hanser,Hanser Alberto,,,3,3,2,,,
DET,Castro,Harold,Harold Castro,,,4,,4,,,
STL,Bader,Harrison,Harrison Bader,,,,,,2,1,2
MIL,Perez,Hernan,Hernan Perez,,4,3,3,4,3,4,3
WAS,Kendrick,Howie,Howie Kendrick,,4,4,,,4,,
KCR,Dozier,Hunter,Hunter Dozier,,4,,3,,,,4
SFG,Pence,Hunter,Hunter Pence,,,,,,4(B3),,4(B3)
SDP,Renfroe,Hunter,Hunter Renfroe,,,,,,3,,3
COL,Desmond,Ian,Ian Desmond,,3,,,4,4,4,
CHC,Happ,Ian,Ian Happ,,4,4,4,,4(B3),4(B3),4
BOS,Kinsler,Ian,Ian Kinsler,,,1(B2),,,,,
SEA,Suzuki,Ichiro,Ichiro Suzuki,,,,,,4,,4
ARI,Vargas,Ildemaro,Ildemaro Vargas,,,4,4,4,,,
MIA,Galloway,Isaac,Isaac Galloway,,,,,,2,3,2
TEX,Kiner-Falefa,Isiah,Isiah Kiner-Falefa,4,,3,3,4,,,
DET,Saltalamacchia,Jarrod,Jarrod Saltalamacchia,4,5,,,,,,
MIA,Shuck,J.B.,J.B. Shuck,,,,,,4,4,4
HOU,Davis,J.D.,J.D. Davis,,4,,4,,5,,
BOS,Martinez,J.D.,J.D. Martinez,,,,,,4(B3),,4(B3)
PHI,Crawford,J.P.,J.P. Crawford,,,,3,4,,,
MIA,Realmuto,J.T.,J.T. Realmuto,2,3,,,,,,
MIA,Riddle,J.T.,J.T. Riddle,,,,,3,,,
LAA,Blash,Jabari,Jabari Blash,,,,,,4,,4
BAL,Peterson,Jace,Jace Peterson,,,4,4(B3),,4,,4
NYM,Reinheimer,Jack,Jack Reinheimer,,,4,4,4,4,,
BOS,Bradley Jr,Jackie,Jackie Bradley Jr,,,,,,,1,1
MIL,Nottingham,Jacob,Jacob Nottingham,4,,,,,,,
PIT,Stallings,Jacob,Jacob Stallings,3,,,,,,,
DET,Jones,JaCoby,JaCoby Jones,,,,,,1,1,
TBY,Bauers,Jake,Jake Bauers,,2,,,,4,,4
MIN,Cave,Jake,Jake Cave,,,,,,3,3,3
ARI,Lamb,Jake,Jake Lamb,,,,4(B3),,,,
HOU,Marisnick,Jake,Jake Marisnick,,,,,,,1,1
OAK,Smolinski,Jake,Jake Smolinski,,,,,,,3,
DET,McCann,James,James McCann,2,,,,,,,
ARI,Dyson,Jarrod,Jarrod Dyson,,,,,,1,1,1
MIN,Castro,Jason,Jason Castro,2,,,,,,,
CHC,Heyward,Jason,Jason Heyward,,,,,,,3,1
CLE,Kipnis,Jason,Jason Kipnis,,,4,,,,5,
CHC,Baez,Javier,Javier Baez,,,1,3,2,,,
SDP,Guerra,Javy,Javier Guerra,,,,4,3,,,
NYM,Bruce,Jay,Jay Bruce,,4,,,,,,4
SEA,Segura,Jean,Jean Segura,,,,,3,,,
OAK,Lowrie,Jed,Jed Lowrie,,,4(B3),4,,,,
STL,Gyorko,Jedd,Jedd Gyorko,,4,4(B5),3,4,,,
ARI,Mathis,Jeff,Jeff Mathis,2,,5,,,,,
NYM,McNeil,Jeff,Jeff McNeil,,,3(B2),4,,,,
LAA,Marte,Jefry,Jefry Marte,,4,,4,,4,,
DET,Candelario,Jeimer,Jeimer Candelario,,,,4(B3),,,,
PHI,Valentin,Jesmuel,Jesmuel Valentin,,,4,4,4,5,,5
CIN,Winker,Jesse,Jesse Winker,,,,,,4,,4
MIL,Aguilar,Jesus,Jesus Aguilar,,4,,5,,,,
TBY,Sucre,Jesus,Jesus Sucre,3,,,,,,,
MIL,Bandy,Jett,Jett Bandy,4,,,,,,,
TBY,Choi,Ji-Man,Ji-Man Choi,,4,,,,,,
MIL,Choi,Ji-Man,Ji-Man Choi,,4,,,,5,,
DET,Adduci,Jim,Jim Adduci,,3(B4),,,,,,
LAD,Pederson,Joc,Joc Pederson,,,,,,3(B2),4(B3),4
LAA,Hudson,Joe,Joe Hudson,4,,,,,,,
MIN,Mauer,Joe,Joe Mauer,,2,,,,,,
SFG,Panik,Joe,Joe Panik,,4,3,,,,,
TEX,Gallo,Joey,Joey Gallo,,3,,,,3,4(B3),3
BAL,Rickard,Joey,Joey Rickard,,,,,,3,3,3
CIN,Votto,Joey,Joey Votto,,2,,,,,,
TBY,Wendle,Joey,Joey Wendle,,,2,3,4,4,,
ATL,Camargo,Johan,Johan Camargo,,,3,2,3,,,
BAL,Andreoli,John,John Andreoli,,,,,,4,4,4
DET,Hicks,John,John Hicks,4,4,,,,,,
ARI,Murphy,John Ryan,John Ryan Murphy,2,,,,,,,
MIN,Field,Johnny,Johnny Field,,,,,,3(B2),3,3(B2)
TOR,Berti,Jon,Jon Berti,,,4,,,,,
KCR,Jay,Jon,Jon Jay,,,,,,3(B2),3,3(B2)
ARI,Jay,Jon,Jon Jay,,,,,,3(B2),3,3(B2)
TOR,Davis,Jonathan,Jonathan Davis,,,,,,3,3,
OAK,Lucroy,Jonathan,Jonathan Lucroy,3,,,,,,,
BAL,Schoop,Jonathan,Jonathan Schoop,,,2,,4,,,
MIL,Schoop,Jonathan,Jonathan Schoop,,,2(B3),,4,,,
BAL,Villar,Jonathan,Jonathan Villar,,,3,,3,,,
MIL,Villar,Jonathan,Jonathan Villar,,,3,,,,,
PIT,Luplow,Jordan,Jordan Luplow,,,,,,3,4,3
PIT,Mercer,Jordy,Jordy Mercer,,,,,4(B3),,,
PHI,Alfaro,Jorge,Jorge Alfaro,4,,,5,,,,
KCR,Bonifacio,Jorge,Jorge Bonifacio,,,,,,4,,4
MIN,Polanco,Jorge,Jorge Polanco,,,,,3,,,
KCR,Soler,Jorge,Jorge Soler,,,,,,,,4
CHA,Abreu,Jose,Jose Abreu,,3,,,,,,
HOU,Altuve,Jose,Jose Altuve,,,2,,,,,
PHI,Bautista,Jose,Jose Bautista,,4,5,4,,4,,4
LAA,Briceno,Jose,Jose Briceno,3,4,,,,,,
LAA,Fernandez,Jose,Jose Fernandez,,4,4,4,,,,
DET,Iglesias,Jose,Jose Iglesias,,,,,1,,,
NYM,Lobaton,Jose,Jose Lobaton,3,,,,,,,
STL,Martinez,Jose,Jose Martinez,,5,,,,,,4(B3)
PIT,Osuna,Jose,Jose Osuna,,3,,4,,,,5
CIN,Peraza,Jose,Jose Peraza,,,,,3,,,4
SDP,Pirela,Jose,Jose Pirela,,4,4,,,4,,4
CLE,Ramirez,Jose,Jose Ramirez,,,2(B3),1,,,,
NYM,Reyes,Jose,Jose Reyes,,,3(B4),4,4,,,
CHA,Rondon,Jose,Jose Rondon,,4,4,4,4,,,
TEX,Trevino,Jose,Jose Trevino,3,,,,,,,
PIT,Bell,Josh,Josh Bell,,5(B4),,,,,,
CLE,Donaldson,Josh,Josh Donaldson,,4,,3,,,,
PIT,Harrison,Josh,Josh Harrison,,,3,4,,,,
OAK,Phegley,Josh,Josh Phegley,3,,,,,,,
HOU,Reddick,Josh,Josh Reddick,,,,,,2(B1),,2(B1)
TEX,Centeno,Juan,Juan Centeno,3,,,,,,,
MIN,Graterol,Juan,Juan Graterol,3,,,,,,,
NYM,Lagares,Juan,Juan Lagares,,,,,,,2,
WAS,Soto,Juan,Juan Soto,,,,,,3,,
PIT,Kang,Jung Ho,Jung Ho Kang,,,,4,,,,
TEX,Profar,Jurickson,Jurickson Profar,,4,4,3(B4),4,4,,
PHI,Bour,Justin,Justin Bour,,5(B4),,,,,,
TOR,Smoak,Justin,Justin Smoak,,2,,,,,,
LAD,Turner,Justin,Justin Turner,,,,2,,,,
LAA,Upton,Justin,Justin Upton,,,,,,4(B3),,
TBY,Williams,Justin,Justin Williams,,,,,,,,4
LAA,Cowart,Kaleb,Kaleb Cowart,,4,3,2,4,4,,
SFG,Tomlinson,Kelby,Kelby Tomlinson,,,3,3,4,,,
TOR,Morales,Kendrys,Kendrys Morales,,4,,5,,,,
MIL,Broxton,Keon,Keon Broxton,,,,,,,1,1
ARI,Marte,Ketel,Ketel Marte,,,3,,4,,,
CHA,Smith,Kevan,Kevan Smith,4,,,,,,,
NYM,Kaczmarski,Kevin,Kevin Kaczmarski,,,,,,,,4
TBY,Kiermaier,Kevin,Kevin Kiermaier,,,,,,,1,
PIT,Kramer,Kevin,Kevin Kramer,,,4,4,,,,
PIT,Newman,Kevin,Kevin Newman,,,3,,4,,,
TOR,Pillar,Kevin,Kevin Pillar,,,,,,,1(B2),
NYM,Plawecki,Kevin,Kevin Plawecki,3,4,,,,,,
OAK,Davis,Khris,Khris Davis,,,,,,4,,
LAA,Calhoun,Kole,Kole Calhoun,,,,,,,4,2
STL,Wong,Kolten,Kolten Wong,,,1(B2),,,,,
CHC,Bryant,Kris,Kris Bryant,,4,,3,,4(B5),,4(B5)
SEA,Negron,Kristopher,Kristopher Negron,,,3,4,3,4,,4
ARI,Negron,Kristopher,Kristopher Negron,,,,,,,,4
ATL,Suzuki,Kurt,Kurt Suzuki,3,,,,,,,
LAD,Farmer,Kyle,Kyle Farmer,4,4,,4,,,,
NYY,Higashioka,Kyle,Kyle Higashioka,3,,,,,,,
CHC,Schwarber,Kyle,Kyle Schwarber,,,,,,4(B3),,
SEA,Seager,Kyle,Kyle Seager,,,4,2,,,,
HOU,Tucker,Kyle,Kyle Tucker,,,,,,4,,4
ATL,Adams,Lane,Lane Adams,,,,,,3,3,3
CLE,Martin,Leonys,Leonys Martin,,,,,,,2,
CHA,Garcia,Leury,Leury Garcia,,,4,4,4,3,3,3
MIA,Brinson,Lewis,Lewis Brinson,,,,,,,2(B3),
MIN,Forsythe,Logan,Logan Forsythe,,,2,,,,,
LAD,Forsythe,Logan,Logan Forsythe,,4,2,3(B4),,,,
MIN,Morrison,Logan,Logan Morrison,,4,,,,5,,
CLE,Chisenhall,Lonnie,Lonnie Chisenhall,,,,,,,,3
MIL,Cain,Lorenzo,Lorenzo Cain,,,,,,,1,
TOR,Gurriel,Lourdes,Lourdes Gurriel,,,4,,4,,,
KCR,Duda,Lucas,Lucas Duda,,4,,,,,,
ATL,Duda,Lucas,Lucas Duda,,4,,,,,,
NYM,Guillorme,Luis,Luis Guillorme,,,3,4,,,,
BAL,Sardinas,Luis,Luis Sardinas,,,3,,,,,
SDP,Urias,Luis,Luis Urias,,,3,,,,,
LAA,Valbuena,Luis,Luis Valbuena,,3,5,3,,,,
TOR,Maile,Luke,Luke Maile,2,,,,,,,
NYY,Voit,Luke,Luke Voit,,4,,,,,,5
STL,Voit,Luke,Luke Voit,,4,,,,,,
SFG,Williamson,Mac,Mac Williamson,,,,,,4,,4
MIA,Sierra,Magneuris,Magneuris Sierra,,,,,,,3,3
PHI,Franco,Maikel,Maikel Franco,,,,4,,,,
TBY,Smith,Mallex,Mallex Smith,,,,,,4,3,4
BAL,Machado,Manny,Manny Machado,,,,,3,,,
LAD,Machado,Manny,Manny Machado,,,,2,3,,,
