LG,TM,FIRST,LAST,USE,B/P,C,1B,2B,3B,SS,LF,CF,RF,,,,,,,,,,,,
AL,BO,Valdez,Cesar,ADD,P,,,,,,,,,,,,,,,,,,,,
AL,BO,Carroll,Cody,COMP,P,,,,,,,,,,,,,,,,,,,,
AL,BO,Sulser,Cole,REG,P,,,,,,,,,,,,,,,,,,,,
AL,BO,Hess,David,COMP,P,,,,,,,,,,,,,,,,,,,,
AL,BO,Kremer,Dean,REG,P,,,,,,,,,,,,,,,,,,,,
AL,BO,Tate,Dillon,REG,P,,,,,,,,,,,,,,,,,,,,
AL,BO,Phillips,Evan,ADD,P,,,,,,,,,,,,,,,,,,,,
AL,BO,Harvey,Hunter,ADD,P,,,,,,,,,,,,,,,,,,,,
AL,BO,Means,John,REG,P,,,,,,,,,,,,,,,,,,,,
AL,BO,Lopez,Jorge,REG,P,,,,,,,,,,,,,,,,,,,,
AL,BO,Akin,Keegan,REG,P,,,,,,,,,,,,,,,,,,,,
AL,BO,Castro-1,Miguel,MIX,P,,,,,,,,,,,,,,,,,,,,
AL,BO,Givens-1,Mychal,ADD,P,,,,,,,,,,,,,,,,,,,,
AL,BO,Fry,Paul,REG,P,,,,,,,,,,,,,,,,,,,,
AL,BO,Bleier-1,Richard,COMP,P,,,,,,,,,,,,,,,,,,,,
AL,BO,Armstrong,Shawn,ADD,P,,,,,,,,,,,,,,,,,,,,
AL,BO,Scott,Tanner,REG,P,,,,,,,,,,,,,,,,,,,,
AL,BO,Eshelman,Thomas,REG,P,,,,,,,,,,,,,,,,,,,,
AL,BO,Milone-1,Tommy,MIX,P,,,,,,,,,,,,,,,,,,,,
AL,BO,Lakins,Travis,REG,P,,,,,,,,,,,,,,,,,,,,
AL,BO,LeBlanc,Wade,REG,P,,,,,,,,,,,,,,,,,,,,
AL,BR,Jonathan,Arauz,REG,B,,,3,4,4,,,,,,,,,,,,,,,
AL,BR,Christian,Arroyo,REG,B,,,3,3,4,,,,,,,,,,,,,,,
AL,BR,Andrew,Benintendi,ADD,B,,,,,,3,,,,,,,,,,,,,,
AL,BR,Xander,Bogaerts,REG,B,,,,,3,,,,,,,,,,,,,,,
AL,BR,Jackie,Bradley Jr,REG,B,,,,,,,1,,,,,,,,,,,,,
AL,BR,Michael,Chavis,REG,B,,3,4,,,4,,,,,,,,,,,,,,
AL,BR,Bobby,Dalbec,REG,B,,4,,4,,,,,,,,,,,,,,,,
AL,BR,Rafael,Devers,REG,B,,,,4(B5),,,,,,,,,,,,,,,,
AL,BR,Deivy,Grullon,COMP,B,4,,,,,,,,,,,,,,,,,,,
AL,BR,Tzu-Wei,Lin,REG,B,,,2,,3,4,4,4,,,,,,,,,,,,
AL,BR,J.D.,Martinez,REG,B,,,,,,5,,5,,,,,,,,,,,,
AL,BR,Mitch,Moreland-1,MIX,B,,3,,,,,,,,,,,,,,,,,,
AL,BR,Yairo,Munoz,ADD,B,,,,,,4,,4,,,,,,,,,,,,
AL,BR,Jose,Peraza,REG,B,,,3,4,3,4,,,,,,,,,,,,,,
AL,BR,Kevin,Pillar-1,MIX,B,,,,,,2,1,2,,,,,,,,,,,,
AL,BR,Kevin,Plawecki,REG,B,3,4,,,,,,,,,,,,,,,,,,
AL,BR,Cesar,Puello,COMP,B,,,,,,3,,3,,,,,,,,,,,,
AL,BR,Christian,Vazquez,REG,B,3(B2),,5,,,,,,,,,,,,,,,,,
AL,BR,Alex,Verdugo,REG,B,,,,,,2,3,2,,,,,,,,,,,,
AL,BR,Triggs-2,Andrew,ADD,P,,,,,,,,,,,,,,,,,,,,
AL,BR,Brice,Austin,REG,P,,,,,,,,,,,,,,,,,,,,
AL,BR,Workman-1,Brandon,ADD,P,,,,,,,,,,,,,,,,,,,,
AL,BR,Mazza,Chris,REG,P,,,,,,,,,,,,,,,,,,,,
AL,BR,Brewer,Colten,REG,P,,,,,,,,,,,,,,,,,,,,
AL,BR,Hernandez,Darwinzon,ADD,P,,,,,,,,,,,,,,,,,,,,
AL,BR,Tapia,Domingo,COMP,P,,,,,,,,,,,,,,,,,,,,
AL,BR,Covey,Dylan,ADD,P,,,,,,,,,,,,,,,,,,,,
AL,BR,Hembree-1,Heath,ADD,P,,,,,,,,,,,,,,,,,,,,
AL,BR,Springs,Jeffrey,REG,P,,,,,,,,,,,,,,,,,,,,
AL,BR,Osich-1,Josh,ADD,P,,,,,,,,,,,,,,,,,,,,
AL,BR,Taylor,Josh,ADD,P,,,,,,,,,,,,,,,,,,,,
AL,BR,Hart,Kyle,ADD,P,,,,,,,,,,,,,,,,,,,,
AL,BR,Walden,Marcus,REG,P,,,,,,,,,,,,,,,,,,,,
AL,BR,Perez,Martin,REG,P,,,,,,,,,,,,,,,,,,,,
AL,BR,Barnes,Matt,REG,P,,,,,,,,,,,,,,,,,,,,
AL,BR,Hall,Matt,ADD,P,,,,,,,,,,,,,,,,,,,,
AL,BR,Kickham,Mike,REG,P,,,,,,,,,,,,,,,,,,,,
AL,BR,Eovaldi,Nathan,REG,P,,,,,,,,,,,,,,,,,,,,
AL,BR,Pivetta-2,Nick,ADD,P,,,,,,,,,,,,,,,,,,,,
AL,BR,Valdez,Phillips,REG,P,,,,,,,,,,,,,,,,,,,,
AL,BR,Stock,Robert,ADD,P,,,,,,,,,,,,,,,,,,,,
AL,BR,Leyer,Robinson,COMP,P,,,,,,,,,,,,,,,,,,,,
AL,BR,Brasier,Ryan,REG,P,,,,,,,,,,,,,,,,,,,,
AL,BR,Weber,Ryan,REG,P,,,,,,,,,,,,,,,,,,,,
AL,BR,Houck,Tanner,REG,P,,,,,,,,,,,,,,,,,,,,
AL,BR,Godley,Zack,REG,P,,,,,,,,,,,,,,,,,,,,
AL,CH,Jose,Abreu,REG,B,,2(B3),,,,,,,,,,,,,,,,,,
AL,CH,Tim,Anderson,REG,B,,,,,3,,,,,,,,,,,,,,,
AL,CH,Zack,Collins,ADD,B,4,4,,,,,,,,,,,,,,,,,,
AL,CH,Cheslor,Cuthbert,COMP,B,,,,4,,,,,,,,,,,,,,,,
AL,CH,Nicky,Delmonico,ADD,B,,,,,,4,,4,,,,,,,,,,,,
AL,CH,Jarrod,Dyson-2,ADD,B,,,,,,2,2,2,,,,,,,,,,,,
AL,CH,Edwin,Encarnacion,REG,B,,,,,,,,,,,,,,,,,,,,
AL,CH,Adam,Engel,REG,B,,,,,,1,1,1,,,,,,,,,,,,
AL,CH,Leury,Garcia-1,REG,B,,,4,,4,,,3,,,,,,,,,,,,
AL,CH,Ryan,Goins,COMP,B,,,3,4,3,,,,,,,,,,,,,,,
AL,CH,Luis,Gonzalez,COMP,B,,,,,,,4,,,,,,,,,,,,,
AL,CH,Yasmani,Grandal,REG,B,2,4,,,,,,,,,,,,,,,,,,
AL,CH,Eloy,Jimenez,REG,B,,,,,,4,,,,,,,,,,,,,,
AL,CH,Nick,Madrigal,REG,B,,,3(B4),,,,,,,,,,,,,,,,,
AL,CH,Nomar,Mazara,REG,B,,,,,,,,4,,,,,,,,,,,,
AL,CH,James,McCann,REG,B,2,,,,,,,,,,,,,,,,,,,
AL,CH,Danny,Mendick,REG,B,,,2,3,4,,,,,,,,,,,,,,,
AL,CH,Yermin,Mercedes,COMP,B,,,,,,,,,,,,,,,,,,,,
AL,CH,Yoan,Moncada,REG,B,,,,2,,,,,,,,,,,,,,,,
AL,CH,Luis,Robert,REG,B,,,,,,,1,,,,,,,,,,,,,
AL,CH,Yolmer,Sanchez,ADD,B,,,2,2,4,,,,,,,,,,,,,,,
AL,CH,Bummer,Aaron,ADD,P,,,,,,,,,,,,,,,,,,,,
AL,CH,Colome,Alex,REG,P,,,,,,,,,,,,,,,,,,,,
AL,CH,McRae,Alex,COMP,P,,,,,,,,,,,,,,,,,,,,
AL,CH,Flores Jr.,Bernardo,COMP,P,,,,,,,,,,,,,,,,,,,,
AL,CH,Rodon,Carlos,ADD,P,,,,,,,,,,,,,,,,,,,,
AL,CH,Heuer,Codi,REG,P,,,,,,,,,,,,,,,,,,,,
AL,CH,Keuchel,Dallas,REG,P,,,,,,,,,,,,,,,,,,,,
AL,CH,Dunning,Dane,REG,P,,,,,,,,,,,,,,,,,,,,
AL,CH,Anderson,Drew,COMP,P,,,,,,,,,,,,,,,,,,,,
AL,CH,Cease,Dylan,REG,P,,,,,,,,,,,,,,,,,,,,
AL,CH,Marshall,Evan,REG,P,,,,,,,,,,,,,,,,,,,,
AL,CH,Crochet,Garrett,ADD,P,,,,,,,,,,,,,,,,,,,,
AL,CH,Gonzalez,Gio,REG,P,,,,,,,,,,,,,,,,,,,,
AL,CH,Hamilton,Ian,COMP,P,,,,,,,,,,,,,,,,,,,,
AL,CH,Fry,Jace,REG,P,,,,,,,,,,,,,,,,,,,,
AL,CH,Cordero,Jimmy,REG,P,,,,,,,,,,,,,,,,,,,,
AL,CH,Lambert,Jimmy,COMP,P,,,,,,,,,,,,,,,,,,,,
AL,CH,Stiever,Jonathan,COMP,P,,,,,,,,,,,,,,,,,,,,
AL,CH,Ruiz,Jose,COMP,P,,,,,,,,,,,,,,,,,,,,
AL,CH,Herrera,Kelvin,COMP,P,,,,,,,,,,,,,,,,,,,,
AL,CH,Giolito,Lucas,REG,P,,,,,,,,,,,,,,,,,,,,
AL,CH,Foster,Matt,REG,P,,,,,,,,,,,,,,,,,,,,
AL,CH,Lopez,Reynaldo,REG,P,,,,,,,,,,,,,,,,,,,,
AL,CH,Detwiler,Ross,REG,P,,,,,,,,,,,,,,,,,,,,
AL,CH,Cishek,Steve,REG,P,,,,,,,,,,,,,,,,,,,,
AL,CH,Burdi,Zack,ADD,P,,,,,,,,,,,,,,,,,,,,
AL,CI,Greg,Allen-1,ADD,B,,,,,,2,2,,,,,,,,,,,,,
AL,CI,Yu,Chang,COMP,B,,,4,4,4,,,,,,,,,,,,,,,
AL,CI,Delino,DeShields,REG,B,,,,,,,2,,,,,,,,,,,,,
AL,CI,Mike,Freeman,REG,B,,5,3,3,3,4,,,,,,,,,,,,,,
AL,CI,Austin,Hedges-2,COMP,B,2,,,,,,,,,,,,,,,,,,,
AL,CI,Cesar,Hernandez,REG,B,,,1(B2),,,,,,,,,,,,,,,,,
AL,CI,Daniel,Johnson,COMP,B,,,,,,4(B3),,4(B3),,,,,,,,,,,,
AL,CI,Sandy,Leon,REG,B,2,,,,,,,,,,,,,,,,,,,
AL,CI,Francisco,Lindor,REG,B,,,,,1,,,,,,,,,,,,,,,
AL,CI,Jordan,Luplow,REG,B,,,,,,3,,3,,,,,,,,,,,,
AL,CI,Oscar,Mercado,REG,B,,,,,,3,2,,,,,,,,,,,,,
AL,CI,Tyler,Naquin,REG,B,,,,,,,,3,,,,,,,,,,,,
AL,CI,Josh,Naylor-2,REG,B,,5,,,,5,,,,,,,,,,,,,,
AL,CI,Roberto,Perez,REG,B,1,,,,,,,,,,,,,,,,,,,
AL,CI,Jose,Ramirez,REG,B,,,,2(B3),,,,,,,,,,,,,,,,
AL,CI,Franmil,Reyes,REG,B,,,,,,5,,,,,,,,,,,,,,
AL,CI,Carlos,Santana,REG,B,,3,,,,,,,,,,,,,,,,,,
AL,CI,Domingo,Santana-2,MIX,B,,,,,,5,,5,,,,,,,,,,,,
AL,CI,Beau,Taylor,ADD,B,4,,,,,,,,,,,,,,,,,,,
AL,CI,Bradley,Zimmer,ADD,B,,,,,,2,2,2,,,,,,,,,,,,
AL,CI,Civale,Aaron,REG,P,,,,,,,,,,,,,,,,,,,,
AL,CI,Cimber,Adam,REG,P,,,,,,,,,,,,,,,,,,,,
AL,CI,Plutko,Adam,REG,P,,,,,,,,,,,,,,,,,,,,
AL,CI,Hand,Brad,REG,P,,,,,,,,,,,,,,,,,,,,
AL,CI,Quantrill-2,Cal,REG,P,,,,,,,,,,,,,,,,,,,,
AL,CI,Hill,Cam,REG,P,,,,,,,,,,,,,,,,,,,,
AL,CI,Carrasco,Carlos,REG,P,,,,,,,,,,,,,,,,,,,,
AL,CI,Leone,Dominic,ADD,P,,,,,,,,,,,,,,,,,,,,
AL,CI,Karinchak,James,REG,P,,,,,,,,,,,,,,,,,,,,
AL,CI,Nelson,Kyle,COMP,P,,,,,,,,,,,,,,,,,,,,
AL,CI,Allen,Logan,ADD,P,,,,,,,,,,,,,,,,,,,,
AL,CI,Clevinger-1,Mike,MIX,P,,,,,,,,,,,,,,,,,,,,
AL,CI,Wittgren,Nick,REG,P,,,,,,,,,,,,,,,,,,,,
AL,CI,Perez,Oliver,REG,P,,,,,,,,,,,,,,,,,,,,
AL,CI,Maton,Phil,REG,P,,,,,,,,,,,,,,,,,,,,
AL,CI,Bieber,Shane,REG,P,,,,,,,,,,,,,,,,,,,,
AL,CI,McKenzie,Triston,REG,P,,,,,,,,,,,,,,,,,,,,
AL,CI,Plesac,Zach,REG,P,,,,,,,,,,,,,,,,,,,,
AL,DT,Sergio,Alcantara,ADD,B,,,3,3,,,,,,,,,,,,,,,,
AL,DT,Jorge,Bonifacio,REG,B,,,,,,4,,4,,,,,,,,,,,,
AL,DT,Miguel,Cabrera,REG,B,,,,,,,,,,,,,,,,,,,,
AL,DT,Daz,Cameron,REG,B,,,,,,,,3,,,,,,,,,,,,
AL,DT,Jeimer,Candelario,REG,B,,3,,2,,,,,,,,,,,,,,,,
AL,DT,Harold,Castro,REG,B,,4,4,4,4,4,4,4,,,,,,,,,,,,
AL,DT,Willi,Castro,REG,B,,,4,4,4,,,,,,,,,,,,,,,
AL,DT,C.J.,Cron,ADD,B,,3,,,,,,,,,,,,,,,,,,
AL,DT,Travis,Demeritte,ADD,B,,,,,,4,,4,,,,,,,,,,,,
AL,DT,Brandon,Dixon,COMP,B,,4,4,,,4,,,,,,,,,,,,,,
AL,DT,Niko,Goodrum,REG,B,,,2,,2,,,,,,,,,,,,,,,
AL,DT,Grayson,Greiner,REG,B,4,,,,,,,,,,,,,,,,,,,
AL,DT,Eric,Haase,ADD,B,4,,,,,,,,,,,,,,,,,,,
AL,DT,Derek,Hill,COMP,B,,,,,,,3,,,,,,,,,,,,,
AL,DT,JaCoby,Jones-1,REG,B,,,,,,,2,,,,,,,,,,,,,
AL,DT,Dawel,Lugo,COMP,B,,,4,4,,,,,,,,,,,,,,,,
AL,DT,Cameron,Maybin-1,ADD,B,,,,,,,,3,,,,,,,,,,,,
AL,DT,Isaac,Paredes,REG,B,,,,4(B3),,,,,,,,,,,,,,,,
AL,DT,Victor,Reyes,REG,B,,,,,,2,3,2,,,,,,,,,,,,
AL,DT,Austin,Romine-2,REG,B,2,4,,,,,,,,,,,,,,,,,,
AL,DT,Jonathan,Schoop,REG,B,,,2,,,,,,,,,,,,,,,,,
AL,DT,Christin,Stewart,REG,B,,,,,,5,,,,,,,,,,,,,,
AL,DT,Castro,Anthony,COMP,P,,,,,,,,,,,,,,,,,,,,
AL,DT,Burrows,Beau,COMP,P,,,,,,,,,,,,,,,,,,,,
AL,DT,Garcia,Bryan,REG,P,,,,,,,,,,,,,,,,,,,,
AL,DT,Farmer,Buck,REG,P,,,,,,,,,,,,,,,,,,,,
AL,DT,Mize,Casey,REG,P,,,,,,,,,,,,,,,,,,,,
AL,DT,Norris,Daniel,REG,P,,,,,,,,,,,,,,,,,,,,
AL,DT,McKay,David,COMP,P,,,,,,,,,,,,,,,,,,,,
AL,DT,Soto,Gregory,REG,P,,,,,,,,,,,,,,,,,,,,
AL,DT,Nova,Ivan,ADD,P,,,,,,,,,,,,,,,,,,,,
AL,DT,Jimenez,Joe,REG,P,,,,,,,,,,,,,,,,,,,,
AL,DT,Schreiber,John,ADD,P,,,,,,,,,,,,,,,,,,,,
AL,DT,Zimmermann,Jordan,COMP,P,,,,,,,,,,,,,,,,,,,,
AL,DT,Cisnero,Jose,REG,P,,,,,,,,,,,,,,,,,,,,
AL,DT,Funkhouser,Kyle,ADD,P,,,,,,,,,,,,,,,,,,,,
AL,DT,Boyd,Matthew,REG,P,,,,,,,,,,,,,,,,,,,,
AL,DT,Fulmer,Michael,REG,P,,,,,,,,,,,,,,,,,,,,
AL,DT,Ramirez-1,Nick,ADD,P,,,,,,,,,,,,,,,,,,,,
AL,DT,Garcia-2,Rony,REG,P,,,,,,,,,,,,,,,,,,,,
AL,DT,Turnbull,Spencer,REG,P,,,,,,,,,,,,,,,,,,,,
AL,DT,Skubal,Tarik,REG,P,,,,,,,,,,,,,,,,,,,,
AL,DT,Alexander,Tyler,REG,P,,,,,,,,,,,,,,,,,,,,
AL,HA,Jose,Altuve,REG,B,,,3,,,,,,,,,,,,,,,,,
AL,HA,Yordan,Alvarez,COMP,B,,,,,,,,,,,,,,,,,,,,
AL,HA,Michael,Brantley,REG,B,,,,,,4,,,,,,,,,,,,,,
AL,HA,Alex,Bregman,REG,B,,,,1,,,,,,,,,,,,,,,,
AL,HA,Carlos,Correa,REG,B,,,,,1,,,,,,,,,,,,,,,
AL,HA,Aledmys,Diaz,REG,B,,4,4,4,,4,,,,,,,,,,,,,,
AL,HA,Dustin,Garneau,REG,B,4,,,,,,,,,,,,,,,,,,,
AL,HA,Yuli,Gurriel,REG,B,,1,,,,,,,,,,,,,,,,,,
AL,HA,Taylor,Jones,ADD,B,,4,,,,,,,,,,,,,,,,,,
AL,HA,Martin,Maldonado,REG,B,2,,,,,,,,,,,,,,,,,,,
AL,HA,Jack,Mayfield,REG,B,,,3,3,4,,,,,,,,,,,,,,,
AL,HA,Josh,Reddick,REG,B,,,,,,,,3,,,,,,,,,,,,
AL,HA,George,Springer,REG,B,,,,,,,2(B1),2(B1),,,,,,,,,,,,
AL,HA,Myles,Straw,REG,B,,,,,4,,2,,,,,,,,,,,,,
AL,HA,Garrett,Stubbs,COMP,B,3,,,,,4,,,,,,,,,,,,,,
AL,HA,Abraham,Toro,REG,B,,4,4,4,,,,,,,,,,,,,,,,
AL,HA,Kyle,Tucker,REG,B,,,,,,3,,4,,,,,,,,,,,,
AL,HA,Scrubb,Andre,REG,P,,,,,,,,,,,,,,,,,,,,
AL,HA,Taylor,Blake,REG,P,,,,,,,,,,,,,,,,,,,,
AL,HA,Peacock,Brad,COMP,P,,,,,,,,,,,,,,,,,,,,
AL,HA,Bailey,Brandon,ADD,P,,,,,,,,,,,,,,,,,,,,
AL,HA,Bielak,Brandon,REG,P,,,,,,,,,,,,,,,,,,,,
AL,HA,Raley-2,Brooks,REG,P,,,,,,,,,,,,,,,,,,,,
AL,HA,Abreu,Bryan,COMP,P,,,,,,,,,,,,,,,,,,,,
AL,HA,Sanabria,Carlos,COMP,P,,,,,,,,,,,,,,,,,,,,
AL,HA,De Jong,Chase,ADD,P,,,,,,,,,,,,,,,,,,,,
AL,HA,Devenski,Chris,COMP,P,,,,,,,,,,,,,,,,,,,,
AL,HA,Perez,Cionel,ADD,P,,,,,,,,,,,,,,,,,,,,
AL,HA,Javier,Cristian,REG,P,,,,,,,,,,,,,,,,,,,,
AL,HA,Sneed,Cy,REG,P,,,,,,,,,,,,,,,,,,,,
AL,HA,Paredes,Enoli,REG,P,,,,,,,,,,,,,,,,,,,,
AL,HA,Valdez,Framber,REG,P,,,,,,,,,,,,,,,,,,,,
AL,HA,Castellanos,Humberto,ADD,P,,,,,,,,,,,,,,,,,,,,
AL,HA,Biagini,Joe,COMP,P,,,,,,,,,,,,,,,,,,,,
AL,HA,Urquidy,Jose,REG,P,,,,,,,,,,,,,,,,,,,,
AL,HA,James,Josh,REG,P,,,,,,,,,,,,,,,,,,,,
AL,HA,Verlander,Justin,COMP,P,,,,,,,,,,,,,,,,,,,,
AL,HA,McCullers Jr.,Lance,REG,P,,,,,,,,,,,,,,,,,,,,
AL,HA,Garcia-1,Luis,ADD,P,,,,,,,,,,,,,,,,,,,,
AL,HA,Rodriguez,Nivaldo,ADD,P,,,,,,,,,,,,,,,,,,,,
AL,HA,Osuna,Roberto,COMP,P,,,,,,,,,,,,,,,,,,,,
AL,HA,Pressly,Ryan,REG,P,,,,,,,,,,,,,,,,,,,,
AL,HA,Greinke,Zack,REG,P,,,,,,,,,,,,,,,,,,,,
AL,KC,Franchy,Cordero,ADD,B,,,,,,3,3,3,,,,,,,,,,,,
AL,KC,Hunter,Dozier,REG,B,,2,,4,,4,,3,,,,,,,,,,,,
AL,KC,Maikel,Franco,REG,B,,4,,3,,,,,,,,,,,,,,,,
AL,KC,Cam,Gallagher,REG,B,3,,,,,,,,,,,,,,,,,,,
AL,KC,Alex,Gordon,REG,B,,,,,,2,,,,,,,,,,,,,,
AL,KC,Kelvin,Gutierrez,COMP,B,,,,3,,,,,,,,,,,,,,,,
AL,KC,Nick,Heath,ADD,B,,,,,,,2,,,,,,,,,,,,,
AL,KC,Oscar,Hernandez,COMP,B,3,,,,,,,,,,,,,,,,,,,
AL,KC,Nicky,Lopez,REG,B,,,1,4,3,,,,,,,,,,,,,,,
AL,KC,Ryan,McBroom,REG,B,,4,,,,4,,,,,,,,,,,,,,
AL,KC,Erick,Mejia,COMP,B,,,4,4,,4,,,,,,,,,,,,,,
AL,KC,Whit,Merrifield,REG,B,,4,2,,,3,3,2,,,,,,,,,,,,
AL,KC,Adalberto,Mondesi,REG,B,,,,,1,,,,,,,,,,,,,,,
AL,KC,Ryan,O'Hearn,REG,B,,4,,,,,,,,,,,,,,,,,,
AL,KC,Edward,Olivares-2,REG,B,,,,,,3,3,3,,,,,,,,,,,,
AL,KC,Salvador,Perez,REG,B,1,4,,,,,,,,,,,,,,,,,,
AL,KC,Matt,Reynolds,COMP,B,,,,3,,,,,,,,,,,,,,,,
AL,KC,Jorge,Soler,REG,B,,,,,,,,4,,,,,,,,,,,,
AL,KC,Bubba,Starling,REG,B,,,,,,,2,3,,,,,,,,,,,,
AL,KC,Meibrys,Viloria,ADD,B,4,,,,,,,,,,,,,,,,,,,
AL,KR,Keller,Brad,REG,P,,,,,,,,,,,,,,,,,,,,
AL,KR,Singer,Brady,REG,P,,,,,,,,,,,,,,,,,,,,
AL,KR,Hernandez,Carlos,REG,P,,,,,,,,,,,,,,,,,,,,
AL,KR,Adams,Chance,ADD,P,,,,,,,,,,,,,,,,,,,,
AL,KR,Duffy,Danny,REG,P,,,,,,,,,,,,,,,,,,,,
AL,KR,Griffin,Foster,COMP,P,,,,,,,,,,,,,,,,,,,,
AL,KR,Speier,Gabe,ADD,P,,,,,,,,,,,,,,,,,,,,
AL,KR,Sparkman,Glenn,COMP,P,,,,,,,,,,,,,,,,,,,,
AL,KR,Holland,Greg,REG,P,,,,,,,,,,,,,,,,,,,,
AL,KR,Kennedy,Ian,REG,P,,,,,,,,,,,,,,,,,,,,
AL,KR,Newberry,Jake,REG,P,,,,,,,,,,,,,,,,,,,,
AL,KR,Junis,Jakob,REG,P,,,,,,,,,,,,,,,,,,,,
AL,KR,Hahn,Jesse,REG,P,,,,,,,,,,,,,,,,,,,,
AL,KR,Staumont,Josh,REG,P,,,,,,,,,,,,,,,,,,,,
AL,KR,McCarthy,Kevin,COMP,P,,,,,,,,,,,,,,,,,,,,
AL,KR,Bubic,Kris,REG,P,,,,,,,,,,,,,,,,,,,,
AL,KR,Zimmer,Kyle,REG,P,,,,,,,,,,,,,,,,,,,,
AL,KR,Harvey,Matt,ADD,P,,,,,,,,,,,,,,,,,,,,
AL,KR,Montgomery,Mike,COMP,P,,,,,,,,,,,,,,,,,,,,
AL,KR,Rosario,Randy,COMP,P,,,,,,,,,,,,,,,,,,,,
AL,KR,Lovelady,Richard,COMP,P,,,,,,,,,,,,,,,,,,,,
AL,KR,Bolanos,Ronald,COMP,P,,,,,,,,,,,,,,,,,,,,
AL,KR,Barlow,Scott,REG,P,,,,,,,,,,,,,,,,,,,,
AL,KR,Blewett,Scott,COMP,P,,,,,,,,,,,,,,,,,,,,
AL,KR,Rosenthal-1,Trevor,MIX,P,,,,,,,,,,,,,,,,,,,,
AL,KR,Zuber,Tyler,REG,P,,,,,,,,,,,,,,,,,,,,
AL,LA,Jo,Adell,REG,B,,,,,,,4,4,,,,,,,,,,,,
AL,LA,Franklin,Barreto,ADD,B,,,4,4,4,4,,,,,,,,,,,,,,
AL,LA,Anthony,Bemboom,REG,B,4,,,,,,,,,,,,,,,,,,,
AL,LA,Jose,Briceno,COMP,B,3,,,,,,,,,,,,,,,,,,,
AL,LA,Jason,Castro-1,ADD,B,3,,,,,,,,,,,,,,,,,,,
AL,LA,David,Fletcher,REG,B,,,2,2,3,,,4,,,,,,,,,,,,
AL,LA,Brian,Goodwin-1,MIX,B,,,,,,3,3,3,,,,,,,,,,,,
AL,LA,Michael,Hermosillo,COMP,B,,,,,,2,4,,,,,,,,,,,,,
AL,LA,Jahmai,Jones-2,COMP,B,,,4,,,,,,,,,,,,,,,,,
AL,LA,Shohei,Ohtani,REG,B,,,,,,,,,,,,,,,,,,,,
AL,LA,Albert,Pujols,REG,B,,4,,,,,,,,,,,,,,,,,,
AL,LA,Anthony,Rendon,REG,B,,,,1,,,,,,,,,,,,,,,,
AL,LA,Luis,Rengifo,REG,B,,,3,4,3,,,,,,,,,,,,,,,
AL,LA,Andrelton,Simmons,REG,B,,,,,1,,,,,,,,,,,,,,,
AL,LA,Elliot,Soto,COMP,B,,,3,,3,,,,,,,,,,,,,,,
AL,LA,Max,Stassi,REG,B,2,,,,,,,,,,,,,,,,,,,
AL,LA,Matt,Thaiss,ADD,B,,4,5,5,,5,,,,,,,,,,,,,,
AL,LA,Mike,Trout,REG,B,,,,,,,2(B1),,,,,,,,,,,,,
AL,LA,Justin,Upton,REG,B,,,,,,4,,,,,,,,,,,,,,
AL,LA,Jared,Walsh,REG,B,,3,,,,,,4,,,,,,,,,,,,
