TM,Location,HITTERS,AB,W,SO v lhp,BBv lhp,HIT v lhp,OB v lhp,TB v lhp,HR v lhp,BP v lhp,CL v lhp,DP v lhp,SO v rhp,BB v rhp,HIT v rhp,OB v rhp,TB v rhp,HR v rhp,BP v rhp,CL v rhp,DP v rhp,STEALING,STL,SPD,B,H,INJ,CA,1B,2B,3B,SS,LF,CF,RF,FIELDING
BAA,,"Holliday,J*",586,56,25,5,13.9,20.9,20.6,1.3,1,-7,2,21,10,22.5,34.5,31.1,1.8,1,-10,2,"*2-7,12/11 (15-11)",B,14,D,C,1,,,412,,438,,,,2b-4e12 ss-4e38
BAA,,"Jackson,A",91,5,51,5,18.3,32.3,47.5,5.4,8*,0,14,54,2,12.4,23.4,30.8,3,5*,0,15,-/- (---),E,10,D,D,2,301,,,,,,,,"c-3(-1)e1,T-10(pb-2)"
BAA,,"Jackson,J",170,11,46,7,23.8,32.8,39.9,0.8,0,6,20,29,4,27.9,33.9,43.4,2.1,2,6,25,2-12/- (3-1),E,12,D,C,1,,,406,450,,,,506,rf-5(0)e6 3b-4e50 2b-4e6
BAA,,"Kjerstad,H*",156,6,49,0,0,5,0,0,w*,0,32,31,0,13.2,18.2,25,1.6,1,-3,30,3/- (20-6),E,11,D,D,1,,,,,,402,,402,lf-4(+2)e2 rf-4e2
BAA,,"Mateo,J",79,4,48,2,15.3,17.3,25.7,0,w,-3,9,57,2,2.9,4.9,6.7,1.2,1,0,9,*2-10/- (20-16),A,16,D,D,6,,,359,437,364,416,416,,cf-4(0)e16 ss-3e64 2b-3e59 lf-4e16 3b-4e37
BAA,,"Mayo,C",263,27,30,11,20.8,34.8,34.1,3.3,4,-9,2,39,12,9.7,24.7,20.9,2.5,3,-2,2,3/- (20-6),C,12,D,D,1,,402,,565,,,,,1b-4e2 3b-5e65
BAA,,"Mountcastle,R",332,15,30,1,26.8,30.8,28.8,0,w,-6,22,37,1,22.4,26.4,32.6,1,2,-6,24,3/- (20-6),D,12,D,C,4,,303,,,,,,,1b-3e3
BAA,,"O'Neill,T",181,22,43,10,8.2,21.2,29.8,7.2,8*,0,5,23,15,9.3,27.3,21.1,2,3,-1,5,*5/- (20-11),C,12,D,D,5,,,,,,309,,309,rf-3(-1)e9 lf-3e9
BAA,,"Rivera,E",120,6,18,3,34.1,39.1,34.9,0,w,0,18,15,2,19.6,23.5,21.6,0,w,0,19,3/- (20-6),E,11,D,C,1,,305,,313,,,,,3b-3e13 1b-3e5
BAA,,"Rutschman,A+",322,40,8,17,23.2,41.2,35.9,1.8,w,-12,16,10,13,10.1,24.1,20.6,2,2,-2,18,-/- (---),E,11,D,C,5,101,,,,,,,,"c-1(-2)e1,T-4(pb-0)"
BAA,,"Sanchez,G",91,4,31,0,14.9,26,19,1.3,1,4,15,34,0,14.8,25.8,33.4,6.2,8,4,15,-/- (---),E,8,D,D,6,416,,,,,,,,"c-4(+1)e16,T-15(pb-0)"
BAA,,"Vazquez,L",50,3,38,0,4.6,4.6,13,2.8,3*,0,0,23,16,4.7,20.7,7.9,0,w,2,0,*4/- (20-11),C,13,C,D,1,,525,319,229,325,,,,3b-2e29 ss-3e25 2b-3e19 1b-5e25
BAA,,"Westburg,J",328,17,19,1,23.9,28.9,35.3,3.8,5,-1,11,26,3,22.3,29.3,36.2,3.6,6,-1,10,"4,6/9,10 (13-3)",E,14,D,D,4,,,311,210,,,,,3b-2e10 2b-3e11
BAA,,"Johnson,D*",53,4,12,0,5.7,5.7,10.1,0,w*,0,0,27,7,11.2,18.2,19.9,0.8,0,-2,0,"*2-8,11/- (15-13)",C,15,D,C,1,,,,,,410,410,410,lf-4(0)e10 cf-4e10 rf-4e10
BAA,,"Stallings,J",119,6,52,2,0,7,0,0,w*,0,27,37,2,8.5,15.5,13.3,0,w,6,27,-/- (---),E,8,D,D,2,301,,,,,,,,"c-3(-1)e1,T-12(pb-2)"
BOA,,"Abreu,W*",373,40,18,11,18.8,29.8,24.7,0.3,0,-7,15,31,8,18.8,26.8,41.6,6.3,8,-7,17,"*2-6,11/- (15-12)",C,13,D,D,4,,,,,,,,109,rf-1(-3)e9
BOA,,"Anthony,R*",257,40,50,8,25,37.1,35.3,3.4,6,-4,0,27,24,24.9,52.9,38.8,0.4,0,-4,1,6/- (16-6),C,14,D,D,2,,,,,,303,,303,rf-3(-2)e3 lf-3e3
BOA,,"Bregman,A",433,51,8,19,30,53,34,0.9,2,-7,17,5,11,19,34,38.4,3.4,6,-4,18,4/12 (13-5),E,10,D,C,3,,,,213,,,,,3b-2e13
BOA,,"Campbell,K",229,29,21,28,8.5,39.4,19.9,2.5,w,-1,0,39,11,16.1,30.1,24,1.6,2,-10,0,"4,6/- (13-6)",D,14,D,D,1,,,421,,,410,410,,2b-4e21 cf-4(+1)e10 lf-4e10
BOA,,"Casas,T*",99,11,8,9,6,19,12,1.6,2,-1,20,31,8,6.8,18.8,11.6,1.4,2,-3,21,-/- (---),E,8,D,D,6,,412,,,,,,,1b-4e12
BOA,,"Duran,J*",620,60,32,2,14.4,20.4,26.1,0.3,0,8,5,26,12,22.3,38.3,42.4,1.3,2,7,4,"*2-5,12/- (19-13)",A,16,D,C,1,,,,,,208,308,408,lf-2(-1)e8 cf-3e8 rf-4e8
BOA,,"Eaton,N",81,6,21,9,31.1,43.2,35,0,w,-8,6,23,3,29.9,35.9,39,1.1,2,-8,8,*2-6/- (19-15),B,17,D,C,1,,,,432,,302,402,302,rf-3(-2)e2 3b-4e32 cf-4e2 lf-3e2
BOA,,"Gonzalez,R",315,18,24,6,34.6,42.6,63,4.4,8,-2,17,29,0,30.4,32.4,47.6,2.3,w,-2,21,"*2-8/10,11 (15-9)",C,14,D,D,2,,316,415,465,,,,,1b-3e16 2b-4e15 3b-4e65
BOA,,"Hamilton,D*",177,13,38,0,5.3,6.3,5.3,0,w,0,13,27,6,10.1,17.2,18,2.2,4,0,12,"*2-7,12/- (19-16)",AA,17,B,D,1,,,322,465,421,,,,2b-3e22 ss-4e21 3b-4e65
BOA,,"Mayer,M*",127,8,52,0,4.8,4.8,4.8,0,w,-3,12,38,4,20,24,40.5,2.3,5,-4,13,2-12/- (3-1),E,12,D,C,5,,,327,306,488,,,,3b-3e6 2b-3e27 ss-4e88
BOA,,"Narvaez,C",403,38,22,16,17.5,33.5,28.1,2,4,-8,20,33,8,17.9,25.9,34.7,2.4,5,-4,19,6/12 (13-5),E,9,D,D,2,209,,,,,,,,"c-2(-2)e9,T-4(pb-3)"
BOA,,"Rafaela,C",546,28,20,1,14.1,18,29.3,3.5,7,-5,12,18,3,24.7,30.7,39.2,1,1,-10,12,"*2-5,12/- (19-13)",A,16,C,C,1,,,326,,,,106,,cf-1(-2)e6 2b-3e26
BOA,,"Refsnyder,R",182,24,26,20,25.8,46.8,49.3,4.8,8,-9,19,41,7,13.3,21.3,21.7,1.5,3,-6,23,*4/- (20-6),C,13,D,C,1,,,,,,406,,406,rf-4(-1)e6 lf-4e6
BOA,,"Sogard,N+",96,5,27,0,35.1,41.1,46.8,0,w,3,24,24,6,14.9,26.9,25.4,0,w,3,22,"*2-6,11/- (15-12)",C,14,D,D,1,,415,305,410,424,,,423,1b-4e15 2b-3e5 3b-4e10 rf-4(0)e23 ss-4e24
BOA,,"Story,T",612,33,28,1,21.8,24.8,34.8,3.5,6,-1,0,35,3,23.3,28.3,37.5,3,5,-1,0,*2-5/- (19-13),AA,16,D,D,1,,,,,220,,,,ss-2e20
BOA,,"Toro,A+",259,14,4,0,22.6,27.6,36.8,2.8,w,0,0,10,0,17.3,22.3,25.9,1.4,3,0,0,"4,5/- (13-6)",D,11,D,C,1,,409,,456,,,,,1b-4e9 3b-4e56
BOA,,"Wong,C",168,16,32,20,5.4,26.4,5.4,0,w,-4,23,21,8,10.4,19.4,16,0,w,-3,29,2-5/- (13-11),D,13,D,D,3,306,430,,,,,,,"c-3(0)e6,T-9(pb-0) 1b-4e30"
BOA,,"Yoshida,M*",188,10,0,0,18.7,21.7,21,0,w,1,12,2,1,25.9,29.9,35.8,0.8,1,1,12,*4/- (20-6),C,11,D,B,5,,,,,,507,,507,lf-5(+1)e7 rf-5e7
BOA,,"Lowe,N*",540,62,37,11,8.8,20.8,20.9,2.5,w*,0,6,30,12,18.3,31.3,30.9,2.7,4,4,5,2/- (20-6),E,10,D,D,1,,408,,,,,,,1b-4e8
CHA,,"Amaya,J",66,3,44,0,0,0,0,0,w*,0,11,15,6,0,6,0,0,w*,0,10,*4/- (20-11),C,12,C,C,1,,,406,,307,,,,ss-3e7 2b-4e6
CHA,,"Baldwin,B+",300,21,16,5,14.2,20.2,20,0.3,0,-7,22,38,4,21.8,26.8,35,2.8,4,-10,25,*5/- (20-11),C,14,B,D,1,,,410,429,416,415,415,415,lf-4(0)e15 cf-4e15 rf-4e15 3b-4e29 2b-4e10 ss-4e16
CHA,,"Benintendi,A*",420,40,23,0,24.5,26.5,59.3,8,8,-5,8,12,12,16.5,30.5,25.2,2.5,4,-5,6,2/- (20-6),E,10,D,C,3,,,,,,408,,,lf-4(+1)e8
CHA,,"Elko,T",67,5,91,2,4.6,6.6,18.5,4.6,7*,0,0,55,9,5.6,14.6,22.4,5.6,8*,0,10,*3/- (20-11),D,11,D,D,2,,409,,,,,,,1b-4e9
CHA,,"Maton,N*",54,9,0,16,0,16,0,0,0*,0,0,42,18,4.7,22.7,12.2,1.9,3*,0,0,2-12/- (3-1),E,12,D,D,1,,425,471,,,406,,,1b-4e25 2b-4e71 lf-4(+1)e6
CHA,,"Mead,C",240,15,15,7,15.4,29.5,23.7,1.6,w,1,24,37,1,20.6,28.6,25.9,0,0,1,26,*7/- (19-11),B,12,D,D,1,,408,413,412,,,,,3b-4e12 1b-4e8 2b-4e13
CHA,,"Meidroth,C",450,45,12,12,27.4,42.4,34.9,2.5,w,-12,20,3,11,20.8,34.8,28.6,1.8,w,-12,20,"*4,6/- (18-12)",B,12,C,C,2,,,310,,322,,,,ss-3e22 2b-3e10
CHA,,"Montgomery,C*",255,25,18,4,18.3,24.3,37.1,4.3,8,-6,8,45,11,16.1,29.1,51.6,11.3,8,-2,4,-/- (---),E,13,D,D,1,,,,430,212,,,,ss-2e12 3b-4e30
CHA,,"Palacios,J*",128,12,53,0,0,6,0,0,w*,0,0,26,11,14.7,31.7,19.1,1,1,-9,0,-/- (---),E,13,D,D,1,,,,,,310,,410,rf-4(+1)e10 lf-3e10
CHA,,"Quero,E+",365,32,11,2,39,43,54.7,1.6,w,-5,17,16,11,18.8,31.8,28.9,3.2,w,-5,15,"5,6/- (3-1)",E,9,D,C,2,402,,,,,,,,"c-4(+1)e2,T-2(pb-0)"
CHA,,"Robert,L",382,40,19,18,16.4,35.4,32.6,5.4,8,8,14,36,9,12.4,22.4,18.6,1.4,2,8,16,"*2-6,9/- (19-15)",AA,16,D,D,4,,,,,,,202,,cf-2(-1)e2
CHA,,"Robertson,W*",70,2,40,0,0,6,0,0,w*,0,9,54,0,1.5,7.4,1.5,0,w*,0,9,-/- (---),E,12,D,D,1,,,,,,308,,408,lf-3(0)e8 rf-4e8
CHA,,"Rojas,J*",189,19,30,0,11.8,11.8,21.8,0,w*,0,24,25,13,7.5,20.5,18.3,2.5,w,0,21,"*4,5/- (18-11)",C,12,D,D,3,,,310,422,,416,,,3b-4e22 2b-3e10 lf-4(+1)e16
CHA,,"Sosa,L",518,18,19,0,26.8,28.8,39.8,2.5,4,2,17,28,0,22.9,24.9,34.5,3,6,2,18,5/- (13-6),E,11,D,D,1,,409,419,418,,,,,2b-4e19 1b-4e9 3b-4e18
CHA,,"Tauchman,M*",335,45,29,22,13.3,37.3,22.9,1.5,1,8,7,23,14,22.6,38.7,30.5,1,1,9,9,-/- (---),E,10,D,B,4,,,,,,,,401,rf-4(0)e1
CHA,,"Taylor,M",295,23,55,0,18.2,19.2,43,2.8,4*,0,22,44,14,7.3,22.3,14.1,0.8,1,0,16,*3-6/- (18-13),B,14,B,D,1,,,,,,205,205,205,cf-2(-2)e5 lf-2e5 rf-2e5
CHA,,"Teel,K*",253,37,45,21,7.7,32.7,12,0,w,7,0,29,17,24,45.1,32.8,2,3,7,0,6/- (15-6),C,12,D,C,2,312,,,,,516,,,"c-3(+1)e12,T-2(pb-6) lf-5(+2)e16"
CHA,,"Vargas,M",504,56,13,11,23.8,36.8,46.8,2.8,w,-5,12,13,14,14.2,30.2,26.1,2.3,4,-5,10,3/- (20-6),C,13,D,D,1,,306,,320,,509,,,3b-3e20 1b-3e6 lf-5(+2)e9
CHA,,"Capra,V",96,3,31,0,4.3,6.3,5.7,0.4,0,0,33,27,0,0,2,0,0,w*,0,33,*4/- (20-11),C,12,C,D,1,,,412,410,405,,,,3b-4e10 ss-4e5 2b-4e12
CHA,,"Hill,D",134,9,50,9,7.8,21.9,14.6,0.4,0,0,13,43,2,20.4,27.4,26.4,1.2,2,-10,14,"*4,6/- (20-13)",B,17,B,D,5,,,,,,,102,,cf-1(-1)e2
CHN,,"Amaya,M",96,4,59,0,12.2,14.2,30.1,4.2,8,4,0,14,0,32.1,34.1,56.1,2.7,5,4,0,-/- (---),E,9,C,C,6,206,,,,,,,,"c-2(0)e6,T-1(pb-0)"
CHN,,"Ballesteros,M*",57,9,57,0,0,0,0,0,w*,0,27,14,17,30,47,43.7,2.2,3,4,20,-/- (---),E,8,D,C,2,410,518,,,,,,,"c-4(+3)e10,T-12(pb-0) 1b-5e18"
CHN,,"Berti,J",100,5,0,0,16.3,20.3,16.3,0,w,-10,6,29,3,17,24,17.4,0,w,-10,5,"*2-6,12/- (19-15)",A,15,D,D,1,,,329,315,,,,409,3b-3e15 2b-3e29 rf-4(+2)e9
CHN,,"Busch,M*",524,56,33,7,12,23,23,3.6,7,1,0,25,10,22.4,36.4,50.1,6.6,8,1,0,2/- (20-6),D,11,D,C,1,,305,,,,,,,1b-3e5
CHN,,"Crow-Armstrong,P*",591,29,40,0,12.3,15.3,29.6,3.3,6*,0,0,24,1,25.5,29.5,50,5,8,-6,0,"*2-6,11,12/- (19-15)",AA,17,B,C,1,,,,,,,102,,cf-1(-3)e2
CHN,,"Happ,I+",569,87,26,16,15.9,32.9,24,1.8,2,0,8,25,19,17.3,37.3,31.4,2.8,5,0,8,"5,6/- (13-6)",C,13,D,D,1,,,,,,101,,,lf-1(-2)e1
CHN,,"Hoerner,N",599,39,0,0,47,49,62.8,1.5,2,2,3,0,7,27.8,36.8,36.5,1.4,w,2,2,*2-5/- (19-13),A,16,D,C,1,,,104,,212,,,,2b-1e4 ss-2e12
CHN,,"Kelly,C",369,45,14,15,23.5,40.5,36.2,3,5,-13,20,18,15,17.9,34.9,29,3.3,6,-10,18,2/- (20-6),E,9,D,C,2,201,,,,,,,,"c-2(-3)e1,T-3(pb-2)"
CHN,,"McGuire,R*",133,4,52,0,10.4,10.4,24,4.5,8,-4,20,13,0,18.6,18.6,42.6,8,8,-8,19,-/- (---),E,10,D,C,2,303,,,,,,,,"c-3(-1)e3,T-1(pb-0)"
CHN,,"Shaw,M",393,38,19,11,19,31,39.4,5,8,-7,0,23,11,16.3,28.3,28,1.2,1,-5,0,*3-6/- (18-14),A,15,D,C,1,,,413,210,,,,,3b-2e10 2b-4e13
CHN,,"Suzuki,S",571,71,28,24,13.1,37.2,33.5,5.4,8,-1,13,32,12,19.2,31.1,39.5,4.3,7,-1,17,"4,5/- (14-6)",D,13,D,C,1,,,,,,410,410,410,rf-4(+1)e10 lf-4e10 cf-4e10
CHN,,"Swanson,D",590,47,39,4,29,34,45.5,4.5,7,-10,11,30,9,18.6,28.6,30.1,2.5,4,-9,10,"*4,6/- (19-13)",A,15,D,C,1,,,,,112,,,,ss-1e12
CHN,,"Tucker,K*",500,87,9,17,22.8,41.8,36.9,3.6,7,-5,9,7,21,20.6,43.7,36.2,2.7,4,-5,8,"*4,6/- (19-13)",A,15,D,C,1,,,,,,,,304,rf-3(-1)e4
CHN,,"Turner,J",169,17,17,9,22.3,32.3,34.2,1.8,2,6,13,21,14,4.3,19.3,4.3,0,w,6,12,4/- (20-6),D,9,D,C,1,,407,,562,,,,,1b-4e7 3b-5e62
CHN,,"Castro,W+",402,40,18,3,16.9,25.9,33.9,2.5,4,-5,21,32,11,16.2,33.2,21.8,0.8,0,-6,19,*4-6/- (17-13),B,14,D,D,1,,,306,333,456,305,405,405,2b-3e6 rf-4(0)e5 lf-3e5 3b-3e33 ss-4e56 cf-4e5
CHN,,"Santana,C+",415,52,13,15,14.3,31.3,18.3,1.4,3,7,10,20,14,13,29,15.9,0.9,0,7,11,4/- (20-6),C,11,D,C,1,,203,,537,,,,,1b-2e3 3b-5e37
CIN,,"Benson,W*",230,16,34,1,3.2,5.2,7.4,1.4,1*,0,13,35,3,15.3,19.3,32,4,5,8,13,2-6/8 (13-7),D,14,D,C,1,,,,,,305,305,305,rf-3(-1)e5 lf-3e5 cf-3e5
CIN,,"Candelario,J+",80,9,26,11,2.7,13.6,10.6,2.7,3*,0,8,54,12,0.3,12.3,1.2,0.3,0*,0,7,2-12/- (3-1),E,11,D,D,4,,313,,414,,,,,1b-3e13 3b-4e14
CIN,,"De La Cruz,E+",629,67,39,1,20.6,22.6,24.9,1.3,1,-6,17,29,11,25.6,37.6,44.7,2.8,2,-5,13,"*2-5,11,12/- (19-15)",AA,17,D,D,0,,,,,227,,,,ss-2e27
CIN,,"Dunn,B",60,8,41,23,2,46,3.6,0,w*,0,5,46,8,2.4,31.4,6.9,1.5,1*,0,8,"*3-8,11/9,10,12 (15-8)",D,16,C,D,1,,,,,,201,401,301,rf-3(0)e1 lf-2e1 cf-4e1
CIN,,"Encarnacion,C",130,3,44,0,2.6,5.6,7.4,1.6,2*,0,4,20,0,15.7,18.7,31,4,6,0,4,2-12/- (3-1),E,13,D,D,4,,413,,444,,,,,1b-4e13 3b-4e44
