LG,TM,FIRST,LAST,USE,B/P,C,1B,2B,3B,SS,LF,CF,RF
AL,BO,John,Means,REG,PIT,,,,,,,,
AL,BO,Adam,Plutko,REG,PIT,,,,,,,,
AL,BO,Mac,Sceroler,COMP,PIT,,,,,,,,
AL,BO,Tanner,Scott,REG,PIT,,,,,,,,
AL,BO,Cole,Sulser,REG,PIT,,,,,,,,
AL,BO,Dillon,Tate,REG,PIT,,,,,,,,
AL,BO,Cesar,Valdez,REG,PIT,,,,,,,,
AL,BO,Brandon,Waddell-1,COMP,PIT,,,,,,,,
AL,BO,Konner,Wade,COMP,PIT,,,,,,,,
AL,BO,Spenser,Watkins,REG,PIT,,,,,,,,
AL,BO,Alexander,Wells,ADD,PIT,,,,,,,,
AL,BO,Tyler,Wells,REG,PIT,,,,,,,,
AL,BO,Bruce,Zimmermann,REG,PIT,,,,,,,,
AL,BR,Jonathan,Arauz,ADD,BAT,,,3,4,4,,,
AL,BR,Christian,Arroyo,REG,BAT,,4,3(B2),,4,,,
AL,BR,Xander,Bogaerts,REG,BAT,,,,,4(B3),,,
AL,BR,Michael,Chavis-1,ADD,BAT,,3,4,,,,,
AL,BR,Franchy,Cordero,REG,BAT,,5,,,,3,,4
AL,BR,Bobby,Dalbec,REG,BAT,,4,,4,5,,,
AL,BR,Rafael,Devers,REG,BAT,,,5,4,,,,
AL,BR,Jarren,Duran,ADD,BAT,,,,,,4,4,
AL,BR,Kike,Hernandez,REG,BAT,,,3,,4,,2,
AL,BR,Jose,Iglesias,REG,BAT,,,2,,3,,,
AL,BR,Jack,Lopez,COMP,BAT,,,4,,,,,
AL,BR,J.D.,Martinez,REG,BAT,,,,,,5,,5
AL,BR,Taylor,Motter-2,COMP,BAT,,,4,,,,,
AL,BR,Yairo,Munoz,COMP,BAT,,,4,,,4,,
AL,BR,Kevin,Plawecki,REG,BAT,3,4,,,,,,
AL,BR,Hunter,Renfroe,REG,BAT,,,,,,,4,2
AL,BR,Danny,Santana,REG,BAT,,4,,,,4,4,
AL,BR,Kyle,Schwarber-2,REG,BAT,,5,,,,4,,
AL,BR,Travis,Shaw-2,COMP,BAT,,3,,,,,,
AL,BR,Christian,Vazquez,REG,BAT,2,4,5,5,,,,
AL,BR,Alex,Verdugo,REG,BAT,,,,,,2,4,3
AL,BR,Connor,Wong,COMP,BAT,4,,,,,,,
AL,BR,Matt,Barnes,REG,PIT,,,,,,,,
AL,BR,Eduard,Bazardo,COMP,PIT,,,,,,,,
AL,BR,Ryan,Brasier,COMP,PIT,,,,,,,,
AL,BR,Brandon,Brennan,COMP,PIT,,,,,,,,
AL,BR,Colten,Brewer,COMP,PIT,,,,,,,,
AL,BR,Austin,Brice,COMP,PIT,,,,,,,,
AL,BR,Kutter,Crawford,COMP,PIT,,,,,,,,
AL,BR,Austin,Davis-2,COMP,PIT,,,,,,,,
AL,BR,Nathan,Eovaldi,REG,PIT,,,,,,,,
AL,BR,Raynel,Espinal,COMP,PIT,,,,,,,,
AL,BR,Stephen,Gonsalves,COMP,PIT,,,,,,,,
AL,BR,Darwinzon,Hernandez,REG,PIT,,,,,,,,
AL,BR,Tanner,Houck,REG,PIT,,,,,,,,
AL,BR,Kaleb,Ort,COMP,PIT,,,,,,,,
AL,BR,Adam,Ottavino,REG,PIT,,,,,,,,
AL,BR,Brad,Peacock,COMP,PIT,,,,,,,,
AL,BR,Martin,Perez,REG,PIT,,,,,,,,
AL,BR,Nick,Pivetta,REG,PIT,,,,,,,,
AL,BR,Garrett,Richards,REG,PIT,,,,,,,,
AL,BR,Yacksel,Rios,ADD,PIT,,,,,,,,
AL,BR,Hansel,Robles,REG,PIT,,,,,,,,
AL,BR,Eduardo,Rodriguez,REG,PIT,,,,,,,,
AL,BR,Chris,Sale,ADD,PIT,,,,,,,,
AL,BR,Hirokazu,Sawamura,REG,PIT,,,,,,,,
AL,BR,John,Schreiber,COMP,PIT,,,,,,,,
AL,BR,Connor,Seabold,COMP,PIT,,,,,,,,
AL,BR,Josh,Taylor,REG,PIT,,,,,,,,
AL,BR,Phillips,Valdez,ADD,PIT,,,,,,,,
AL,BR,Garrett,Whitlock,REG,PIT,,,,,,,,
AL,BR,Brandon,Workman-2,COMP,PIT,,,,,,,,
AL,CH,Jose,Abreu,REG,BAT,,3,,5,,,,
AL,CH,Tim,Anderson,REG,BAT,,,,,2,,,
AL,CH,Jake,Burger,COMP,BAT,,,,4,,,,
AL,CH,Zack,Collins,REG,BAT,4,4,,,,,,
AL,CH,Adam,Engel,ADD,BAT,,,,,,2,2,2
AL,CH,Leury,Garcia-1,REG,BAT,,,4,4,4,3,3,4
AL,CH,Luis,Gonzalez,COMP,BAT,,,,,,4,,4
AL,CH,Romy,Gonzalez,COMP,BAT,,,4,4,4,4,,4
AL,CH,Brian,Goodwin,REG,BAT,,,,,,3,4,3
AL,CH,Yasmani,Grandal,REG,BAT,3,4,,,,,,
AL,CH,Billy,Hamilton,REG,BAT,,,,,,1,1,1
AL,CH,Cesar,Hernandez,REG,BAT,,,3,,4,,,
AL,CH,Eloy,Jimenez,REG,BAT,,,,,,4,,
AL,CH,Nick,Madrigal,ADD,BAT,,,2(B3),,,,,
AL,CH,Danny,Mendick,REG,BAT,,,2,3,4,,4,4
AL,CH,Yermin,Mercedes,MIX,BAT,5,5,,,,,,
AL,CH,Yoan,Moncada,REG,BAT,,,,3,,,,
AL,CH,Luis,Robert,REG,BAT,,,,,,,1,
AL,CH,Gavin,Sheets,ADD,BAT,,4,,,,4,,4
AL,CH,Andrew,Vaughn,REG,BAT,,4,5,5,,4,,4
AL,CH,Nick,Williams,COMP,BAT,,,,,,4,,
AL,CH,Seby,Zavala,ADD,BAT,3,,,,,,,
AL,CH,Aaron,Bummer,REG,PIT,,,,,,,,
AL,CH,Ryan,Burr,REG,PIT,,,,,,,,
AL,CH,Dylan,Cease,REG,PIT,,,,,,,,
AL,CH,Garrett,Crochet,REG,PIT,,,,,,,,
AL,CH,Matt,Foster,ADD,PIT,,,,,,,,
AL,CH,Jace,Fry,COMP,PIT,,,,,,,,
AL,CH,Lucas,Giolito,REG,PIT,,,,,,,,
AL,CH,Liam,Hendriks,REG,PIT,,,,,,,,
AL,CH,Codi,Heuer-1,ADD,PIT,,,,,,,,
AL,CH,Dallas,Keuchel,REG,PIT,,,,,,,,
AL,CH,Craig,Kimbrel-2,REG,PIT,,,,,,,,
AL,CH,Michael,Kopech,REG,PIT,,,,,,,,
AL,CH,Jimmy,Lambert,COMP,PIT,,,,,,,,
AL,CH,Reynaldo,Lopez,REG,PIT,,,,,,,,
AL,CH,Lance,Lynn,REG,PIT,,,,,,,,
AL,CH,Evan,Marshall,ADD,PIT,,,,,,,,
AL,CH,Alex,McRae,COMP,PIT,,,,,,,,
AL,CH,Carlos,Rodon,REG,PIT,,,,,,,,
AL,CH,Jose,Ruiz,REG,PIT,,,,,,,,
AL,CH,Jonathan,Stiever,COMP,PIT,,,,,,,,
AL,CH,Ryan,Tepera-2,REG,PIT,,,,,,,,
AL,CH,Mike,Wright Jr.,COMP,PIT,,,,,,,,
AL,CI,Bobby,Bradley,REG,BAT,,4,,,,,,
AL,CI,Yu,Chang,REG,BAT,,4,4,4,4,,,
AL,CI,Ernie,Clement,ADD,BAT,,,3,3,4,4,,
AL,CI,Ben,Gamel-1,COMP,BAT,,,,,,,4,
AL,CI,Andres,Gimenez,REG,BAT,,,2,,2,,,
AL,CI,Austin,Hedges,REG,BAT,1,,,,,,,
AL,CI,Daniel,Johnson,ADD,BAT,,,,,,4,,4
AL,CI,Ryan,Lavarnway,COMP,BAT,4,,,,,,,
AL,CI,Oscar,Mercado,REG,BAT,,,,,,2,3,3
AL,CI,Owen,Miller,REG,BAT,,4,4,4,4,,,
AL,CI,Josh,Naylor,MIX,BAT,,4,,,,,,4
AL,CI,Roberto,Perez,REG,BAT,2,5,,,,,,
AL,CI,Harold,Ramirez,REG,BAT,,5,,,,4(B3),4,4(B3)
AL,CI,Jose,Ramirez,REG,BAT,,,,1(B2),,,,
AL,CI,Wilson,Ramos,ADD,BAT,4,,,,,,,
AL,CI,Franmil,Reyes,REG,BAT,,,,,,,,5
AL,CI,Rene,Rivera-1,COMP,BAT,3,,,,,,,
AL,CI,Amed,Rosario,REG,BAT,,,,,4,,4,
AL,CI,Eddie,Rosario-1,MIX,BAT,,,,,,4(B3),,
AL,CI,Myles,Straw,REG,BAT,,,,,,,1,
AL,CI,Bradley,Zimmer,REG,BAT,,,,,,2,2,2
AL,CI,Logan,Allen,ADD,PIT,,,,,,,,
AL,CI,Shane,Bieber,REG,PIT,,,,,,,,
AL,CI,Aaron,Civale,REG,PIT,,,,,,,,
AL,CI,Emmanuel,Clase,REG,PIT,,,,,,,,
AL,CI,Justin,Garza,ADD,PIT,,,,,,,,
AL,CI,Anthony,Gose,COMP,PIT,,,,,,,,
AL,CI,Sam,Hentges,REG,PIT,,,,,,,,
AL,CI,James,Karinchak,REG,PIT,,,,,,,,
AL,CI,Triston,McKenzie,REG,PIT,,,,,,,,
AL,CI,JC,Mejia,REG,PIT,,,,,,,,
AL,CI,Eli,Morgan,REG,PIT,,,,,,,,
AL,CI,Kyle,Nelson,COMP,PIT,,,,,,,,
AL,CI,Blake,Parker,REG,PIT,,,,,,,,
AL,CI,Francisco,Perez,COMP,PIT,,,,,,,,
AL,CI,Oliver,Perez,COMP,PIT,,,,,,,,
AL,CI,Zach,Plesac,REG,PIT,,,,,,,,
AL,CI,Cal,Quantrill,REG,PIT,,,,,,,,
AL,CI,Nick,Sandlin,ADD,PIT,,,,,,,,
AL,CI,Bryan,Shaw,REG,PIT,,,,,,,,
AL,CI,Trevor,Stephan,REG,PIT,,,,,,,,
AL,CI,Nick,Wittgren,REG,PIT,,,,,,,,
AL,CI,Alex,Young-2,COMP,PIT,,,,,,,,
AL,DT,Akil,Baddoo,REG,BAT,,,,,,3,4,3
AL,DT,Miguel,Cabrera,REG,BAT,,5(B4),,,,,,
AL,DT,Daz,Cameron,ADD,BAT,,,,,,,3,3
AL,DT,Jeimer,Candelario,REG,BAT,,,,2,,,,
AL,DT,Harold,Castro,REG,BAT,,3,3(B2),4,4(B3),4,4,
AL,DT,Willi,Castro,REG,BAT,,,4,,4,4,,
AL,DT,Dustin,Garneau,ADD,BAT,4,,,,,,,
AL,DT,Niko,Goodrum,REG,BAT,,,3,,4,4,4,
AL,DT,Grayson,Greiner,ADD,BAT,4,,,,,,,
AL,DT,Robbie,Grossman,REG,BAT,,,,,,3(B2),,3(B2)
AL,DT,Eric,Haase,REG,BAT,4,5,,,,4,,
AL,DT,Derek,Hill,REG,BAT,,,,,,,2,
AL,DT,JaCoby,Jones-1,ADD,BAT,,,,,,3,3,
AL,DT,Nomar,Mazara,ADD,BAT,,,,,,,,4
AL,DT,Renato,Nunez,COMP,BAT,,5,,,,,,
AL,DT,Isaac,Paredes,ADD,BAT,,,3,4,4,,,
AL,DT,Victor,Reyes,REG,BAT,,,,,,3,3,3
AL,DT,Jacob,Robson,COMP,BAT,,,,,,4,4,
AL,DT,Jake,Rogers,REG,BAT,3,,,5,,,,
AL,DT,Jonathan,Schoop,REG,BAT,,3,3,5,,,,
AL,DT,Zack,Short,REG,BAT,,,4,4,3,,,
AL,DT,Tyler,Alexander,REG,PIT,,,,,,,,
AL,DT,Matthew,Boyd,REG,PIT,,,,,,,,
AL,DT,Drew,Carlton,COMP,PIT,,,,,,,,
AL,DT,Jose,Cisnero,REG,PIT,,,,,,,,
AL,DT,Miguel,Del Pozo,COMP,PIT,,,,,,,,
AL,DT,Buck,Farmer,ADD,PIT,,,,,,,,
AL,DT,Jason,Foley,COMP,PIT,,,,,,,,
AL,DT,Michael,Fulmer,REG,PIT,,,,,,,,
AL,DT,Kyle,Funkhouser,REG,PIT,,,,,,,,
AL,DT,Bryan,Garcia,REG,PIT,,,,,,,,
AL,DT,Rony,Garcia,COMP,PIT,,,,,,,,
AL,DT,Derek,Holland,REG,PIT,,,,,,,,
AL,DT,Drew,Hutchison,COMP,PIT,,,,,,,,
AL,DT,Joe,Jimenez,REG,PIT,,,,,,,,
AL,DT,Ian,Krol,COMP,PIT,,,,,,,,
AL,DT,Alex,Lange,ADD,PIT,,,,,,,,
AL,DT,Matt,Manning,REG,PIT,,,,,,,,
AL,DT,Casey,Mize,REG,PIT,,,,,,,,
AL,DT,Daniel,Norris-1,ADD,PIT,,,,,,,,
AL,DT,Wily,Peralta-3,REG,PIT,,,,,,,,
AL,DT,Erasmo,Ramirez,ADD,PIT,,,,,,,,
AL,DT,Tarik,Skubal,REG,PIT,,,,,,,,
AL,DT,Gregory,Soto,REG,PIT,,,,,,,,
AL,DT,Julio,Teheran,COMP,PIT,,,,,,,,
AL,DT,Spencer,Turnbull,ADD,PIT,,,,,,,,
AL,DT,Jose,Urena,REG,PIT,,,,,,,,
AL,HA,Jose,Altuve,REG,BAT,,,2,,,,,
AL,HA,Yordan,Alvarez,REG,BAT,,,,,,5(B4),,
AL,HA,Michael,Brantley,REG,BAT,,,,,,3,,4(B3)
AL,HA,Alex,Bregman,REG,BAT,,,,2,,,,
AL,HA,Jason,Castro,REG,BAT,3,,,,,,,
AL,HA,Carlos,Correa,REG,BAT,,,,,1,,,
AL,HA,Ronnie,Dawson,COMP,BAT,,,,,,,,
AL,HA,Alex,De Goti,COMP,BAT,,,4,,,,,
AL,HA,Aledmys,Diaz,REG,BAT,,3,3,4(B3),4,4,,4
AL,HA,Robel,Garcia,ADD,BAT,,4,3,4,4,,,
AL,HA,Marwin,Gonzalez,REG,BAT,,3,3(B4),4,4,4,,4
AL,HA,Yuli,Gurriel,REG,BAT,,1(B2),,4,,,,
AL,HA,Taylor,Jones,ADD,BAT,,3,,,,5,,
AL,HA,Martin,Maldonado,REG,BAT,1,4,,,,,,
AL,HA,Chas,McCormick,REG,BAT,,,,,,3(B2),3,3(B2)
AL,HA,Jacob,Meyers,REG,BAT,,,,,,3,2,3
AL,HA,Jose,Siri,ADD,BAT,,,,,,3,3,3
AL,HA,Garrett,Stubbs,COMP,BAT,3,,,,,4,,
AL,HA,Kyle,Tucker,REG,BAT,,,,,,3,,2
AL,HA,Jacob,Wilson,COMP,BAT,,,4,4,,4,,
AL,HA,Bryan,Abreu,ADD,PIT,,,,,,,,
AL,HA,Pedro,Baez,COMP,PIT,,,,,,,,
AL,HA,Brandon,Bielak,ADD,PIT,,,,,,,,
AL,HA,Kent,Emanuel,COMP,PIT,,,,,,,,
AL,HA,Yimi,Garcia-2,REG,PIT,,,,,,,,
AL,HA,Luis,Garcia-3,REG,PIT,,,,,,,,
AL,HA,Kendall,Graveman,REG,PIT,,,,,,,,
AL,HA,Zack,Greinke,REG,PIT,,,,,,,,
AL,HA,Ryan,Hartman,COMP,PIT,,,,,,,,
AL,HA,Tyler,Ivey,COMP,PIT,,,,,,,,
AL,HA,Josh,James,COMP,PIT,,,,,,,,
AL,HA,Cristian,Javier,REG,PIT,,,,,,,,
AL,HA,Seth,Martinez,COMP,PIT,,,,,,,,
AL,HA,Phil,Maton,REG,PIT,,,,,,,,
AL,HA,Lance,McCullers Jr.,REG,PIT,,,,,,,,
AL,HA,Rafael,Montero,ADD,PIT,,,,,,,,
AL,HA,Jake,Odorizzi,REG,PIT,,,,,,,,
AL,HA,Enoli,Paredes,COMP,PIT,,,,,,,,
AL,HA,Ryan,Pressly,REG,PIT,,,,,,,,
AL,HA,Austin,Pruitt-1,COMP,PIT,,,,,,,,
AL,HA,Brooks,Raley,REG,PIT,,,,,,,,
AL,HA,Nivaldo,Rodriguez,COMP,PIT,,,,,,,,
AL,HA,Andre,Scrubb,COMP,PIT,,,,,,,,
AL,HA,Peter,Solomon,COMP,PIT,,,,,,,,
AL,HA,Ryne,Stanek,REG,PIT,,,,,,,,
AL,HA,Blake,Taylor,REG,PIT,,,,,,,,
AL,HA,Jose,Urquidy,REG,PIT,,,,,,,,
AL,HA,Framber,Valdez,REG,PIT,,,,,,,,
AL,KR,Hanser,Alberto,REG,BAT,,,3(B4),3,4,,,
AL,KR,Andrew,Benintendi,REG,BAT,,,,,,2,,
AL,KR,Hunter,Dozier,REG,BAT,,3,,5(B4),,4,,4
AL,KR,Cam,Gallagher,REG,BAT,2,,,,,,,
AL,KR,Kyle,Isbel,ADD,BAT,,,,,,3,3,3
AL,KR,Nicky,Lopez,REG,BAT,,,1,,1,,,
AL,KR,Ryan,McBroom,COMP,BAT,,,,,,,,
AL,KR,Whit,Merrifield,REG,BAT,,,1,,,3,,2
AL,KR,Adalberto,Mondesi,REG,BAT,,,,2,2,,,
AL,KR,Ryan,O'Hearn,REG,BAT,,4(B5),,,,5,,5
AL,KR,Edward,Olivares,REG,BAT,,,,,,3,4,4
AL,KR,Salvador,Perez,REG,BAT,1,,,,,,,
AL,KR,Emmanuel,Rivera,REG,BAT,,4,,3,,,,
AL,KR,Sebastian,Rivero,COMP,BAT,3,,,,,,,
AL,KR,Carlos,Santana,REG,BAT,,3,,,,,,
AL,KR,Jorge,Soler-1,MIX,BAT,,,,,,,,4
AL,KR,Michael A.,Taylor,REG,BAT,,,,,,,1,
AL,KR,Scott,Barlow,REG,PIT,,,,,,,,
AL,KR,Scott,Blewett,COMP,PIT,,,,,,,,
AL,KR,Ronald,Bolanos,COMP,PIT,,,,,,,,
AL,KR,Jake,Brentz,REG,PIT,,,,,,,,
AL,KR,Kris,Bubic,REG,PIT,,,,,,,,
AL,KR,Dylan,Coleman,COMP,PIT,,,,,,,,
AL,KR,Wade,Davis,REG,PIT,,,,,,,,
AL,KR,Danny,Duffy,REG,PIT,,,,,,,,
AL,KR,Jesse,Hahn,COMP,PIT,,,,,,,,
AL,KR,Jon,Heasley,COMP,PIT,,,,,,,,
AL,KR,Carlos,Hernandez,REG,PIT,,,,,,,,
AL,KR,Greg,Holland,REG,PIT,,,,,,,,
AL,KR,Jakob,Junis,ADD,PIT,,,,,,,,
AL,KR,Brad,Keller,REG,PIT,,,,,,,,
AL,KR,Jackson,Kowar,ADD,PIT,,,,,,,,
AL,KR,Richard,Lovelady,COMP,PIT,,,,,,,,
AL,KR,Daniel,Lynch,REG,PIT,,,,,,,,
AL,KR,Mike,Minor,REG,PIT,,,,,,,,
AL,KR,Jake,Newberry,COMP,PIT,,,,,,,,
AL,KR,Joel,Payamps,ADD,PIT,,,,,,,,
AL,KR,Ervin,Santana-2,REG,PIT,,,,,,,,
AL,KR,Brady,Singer,REG,PIT,,,,,,,,
AL,KR,Gabe,Speier,COMP,PIT,,,,,,,,
AL,KR,Josh,Staumont,REG,PIT,,,,,,,,
AL,KR,Anthony,Swarzak-2,COMP,PIT,,,,,,,,
AL,KR,Domingo,Tapia,ADD,PIT,,,,,,,,
AL,KR,Angel,Zerpa,COMP,PIT,,,,,,,,
AL,KR,Kyle,Zimmer,REG,PIT,,,,,,,,
AL,KR,Tyler,Zuber,ADD,PIT,,,,,,,,
AL,LA,Jo,Adell,ADD,BAT,,,,,,3(B2),,3(B2)
AL,LA,Anthony,Bemboom,COMP,BAT,4,,,,,5,,
AL,LA,Drew,Butera,COMP,BAT,3,,,,,,,
AL,LA,Adam,Eaton,MIX,BAT,,5,,,,2(B3),,2(B3)
AL,LA,David,Fletcher,REG,BAT,,,1,,3,,,
AL,LA,Dexter,Fowler-1,COMP,BAT,,,,,,,,3
AL,LA,Phil,Gosselin,REG,BAT,,4,4,4,,4,,
AL,LA,Jon,Jay,COMP,BAT,,,,,,3,,
AL,LA,Juan,Lagares,REG,BAT,,,,,,2,2,2
AL,LA,Brandon,Marsh,REG,BAT,,,,,,,2,
AL,LA,Jack,Mayfield,REG,BAT,,,3,3,4,,,
AL,LA,Shohei,Ohtani,REG,BAT,,,,,,,,5
AL,LA,Albert,Pujols-1,ADD,BAT,,4,,5,,,,
AL,LA,Anthony,Rendon,REG,BAT,,,,3(B2),,,,
AL,LA,Luis,Rengifo,REG,BAT,,,3,3,3,,,4
AL,LA,Jose,Rojas-1,REG,BAT,,4,4,4,4,,,4
AL,LA,Scott,Schebler,COMP,BAT,,,,,,4,4,4
AL,LA,Max,Stassi,REG,BAT,2,,,,,,,
AL,LA,Kurt,Suzuki,REG,BAT,4,,,,,,,
AL,LA,Matt,Thaiss,COMP,BAT,,4,,,,,,
AL,LA,Mike,Trout,ADD,BAT,,,,,,,2,
AL,LA,Justin,Upton,REG,BAT,,,,,,5(B4),,
AL,LA,Jared,Walsh,REG,BAT,,2,,,,,,4
AL,LA,Taylor,Ward,REG,BAT,5,,,,,3,4,3
AL,LA,Kean,Wong-2,ADD,BAT,,,4,,4,4,,4
AL,LA,Jaime,Barria,REG,PIT,,,,,,,,
AL,LA,Dylan,Bundy,REG,PIT,,,,,,,,
AL,LA,Griffin,Canning,REG,PIT,,,,,,,,
AL,LA,Steve,Cishek,REG,PIT,,,,,,,,
AL,LA,Alex,Claudio,REG,PIT,,,,,,,,
AL,LA,Alex,Cobb,REG,PIT,,,,,,,,
AL,LA,Cooper,Criswell,COMP,PIT,,,,,,,,
AL,LA,Reid,Detmers,COMP,PIT,,,,,,,,
AL,LA,Jhonathan,Diaz,COMP,PIT,,,,,,,,
AL,LA,Junior,Guerra,REG,PIT,,,,,,,,
AL,LA,Jimmy,Herget,COMP,PIT,,,,,,,,
AL,LA,James,Hoyt,COMP,PIT,,,,,,,,
AL,LA,Raisel,Iglesias,REG,PIT,,,,,,,,
AL,LA,Janson,Junk,COMP,PIT,,,,,,,,
AL,LA,Jose,Marte,COMP,PIT,,,,,,,,
AL,LA,Mike,Mayers,REG,PIT,,,,,,,,
AL,LA,Packy,Naughton,COMP,PIT,,,,,,,,
AL,LA,Shohei,Ohtani,REG,PIT,,,,,,,,
AL,LA,Oliver,Ortega,COMP,PIT,,,,,,,,
AL,LA,Elvis,Peguero,COMP,PIT,,,,,,,,
AL,LA,Felix,Pena,COMP,PIT,,,,,,,,
AL,LA,Jake,Petricka,COMP,PIT,,,,,,,,
AL,LA,Jose,Quijada,ADD,PIT,,,,,,,,
AL,LA,Jose,Quintana-1,ADD,PIT,,,,,,,,
AL,LA,Noe,Ramirez-1,COMP,PIT,,,,,,,,
AL,LA,AJ,Ramos,COMP,PIT,,,,,,,,
AL,LA,Chris,Rodriguez,ADD,PIT,,,,,,,,
AL,LA,Ben,Rowen,COMP,PIT,,,,,,,,
AL,LA,Patrick,Sandoval,REG,PIT,,,,,,,,
AL,LA,Sam,Selman-2,COMP,PIT,,,,,,,,
AL,LA,Aaron,Slegers,REG,PIT,,,,,,,,
AL,LA,Hunter,Strickland-1,COMP,PIT,,,,,,,,
AL,LA,Jose,Suarez,REG,PIT,,,,,,,,
AL,LA,Kyle,Tyler,COMP,PIT,,,,,,,,
AL,LA,Andrew,Wantz,ADD,PIT,,,,,,,,
AL,LA,Austin,Warren-2,COMP,PIT,,,,,,,,
AL,LA,Tony,Watson-1,ADD,PIT,,,,,,,,
AL,MT,Luis,Arraez,REG,BAT,,,3,4,,4,,
AL,MT,Willians,Astudillo,REG,BAT,4,4,5,4,,,,5
AL,MT,Byron,Buxton,REG,BAT,,,,,,,1,
AL,MT,Jake,Cave,REG,BAT,,,,,,3,3,3
AL,MT,Gilberto,Celestino,COMP,BAT,,,,,,,3,4
AL,MT,Josh,Donaldson,REG,BAT,,,,3,,,,
AL,MT,Kyle,Garlick,ADD,BAT,,,,,,4,4,4
AL,MT,Mitch,Garver,REG,BAT,4,4,,,,,,
AL,MT,Nick,Gordon,REG,BAT,,,4,5,4,4,4,4
AL,MT,Ryan,Jeffers,REG,BAT,3,,,,,,,
AL,MT,Max,Kepler,REG,BAT,,,,,,,3(B2),1
AL,MT,Alex,Kirilloff,REG,BAT,,4,,,,4,,4
AL,MT,Trevor,Larnach,REG,BAT,,,,,,4,,4
AL,MT,Jorge,Polanco,REG,BAT,,,2(B3),,3,,,
AL,MT,Rob,Refsnyder,ADD,BAT,,,,,,4(B3),4,4(B3)
AL,MT,JT,Riddle,COMP,BAT,,,,,4,,,
AL,MT,Brent,Rooker,ADD,BAT,,,,,,5(B4),,5(B4)
AL,MT,Ben,Rortvedt,ADD,BAT,3,,,,,,,
AL,MT,Miguel,Sano,REG,BAT,,4,,4(B5),,,,
AL,MT,Andrelton,Simmons,REG,BAT,,,,,1,,,
AL,MT,Andrew,Albers,COMP,PIT,,,,,,,,
AL,MT,Jorge,Alcala,REG,PIT,,,,,,,,
AL,MT,Charlie,Barnes,ADD,PIT,,,,,,,,
AL,MT,Kyle,Barraclough,COMP,PIT,,,,,,,,
