LG,TM,FIRST,LAST,USE,B/P,C,1B,2B,3B,SS,LF,CF,RF
AL,CLE,Matthew,Boyd,ADD,PIT,,,,,,,,
AL,CLE,Joey,Cantillo,ADD,PIT,,,,,,,,
AL,CLE,Carlos,Carrasco,REG,PIT,,,,,,,,
AL,CLE,Emmanuel,Clase,REG,PIT,,,,,,,,
AL,CLE,Alex,Cobb,ADD,PIT,,,,,,,,
AL,CLE,Xzavion,Curry,COMP,PIT,,,,,,,,
AL,CLE,Hunter,Gaddis,REG,PIT,,,,,,,,
AL,CLE,Connor,Gillispie,COMP,PIT,,,,,,,,
AL,CLE,Anthony,Gose,COMP,PIT,,,,,,,,
AL,CLE,Sam,Hentges,ADD,PIT,,,,,,,,
AL,CLE,Tim,Herrin,REG,PIT,,,,,,,,
AL,CLE,Spencer,Howard,COMP,PIT,,,,,,,,
AL,CLE,Ben,Lively,REG,PIT,,,,,,,,
AL,CLE,Darren,McCaughan,COMP,PIT,,,,,,,,
AL,CLE,Triston,McKenzie,REG,PIT,,,,,,,,
AL,CLE,Eli,Morgan,REG,PIT,,,,,,,,
AL,CLE,Wes,Parsons,COMP,PIT,,,,,,,,
AL,CLE,Erik,Sabrowski,ADD,PIT,,,,,,,,
AL,CLE,Nick,Sandlin,REG,PIT,,,,,,,,
AL,CLE,Cade,Smith,REG,PIT,,,,,,,,
AL,CLE,Peter,Strzelecki,COMP,PIT,,,,,,,,
AL,CLE,Andrew,Walters,ADD,PIT,,,,,,,,
AL,CLE,Gavin,Williams,REG,PIT,,,,,,,,
AL,DET,Akil,Baddoo,ADD,BAT,,,,,,2,4,4
AL,DET,Javier,Baez,REG,BAT,,,,,3,,,
AL,DET,Mark,Canha,MIX,BAT,,4,,,,4,,4
AL,DET,Kerry,Carpenter,REG,BAT,,,,,,4(B3),,4(B3)
AL,DET,Dillon,Dingler,REG,BAT,3,,,,,,,
AL,DET,Riley,Greene,REG,BAT,,,,,,1,3,3
AL,DET,Andy,Ibanez,REG,BAT,,3,3(B2),4,4,4,,
AL,DET,Jace,Jung,ADD,BAT,,,4,4(B5),,,,
AL,DET,Colt,Keith,REG,BAT,,,4,,,,,
AL,DET,Buddy,Kennedy,COMP,BAT,,,4,4,,,,
AL,DET,Ryan,Kreidler,ADD,BAT,,,,2,3,4,4,
AL,DET,Bligh,Madris,ADD,BAT,,3,,,,,,4
AL,DET,Justyn-Henry,Malloy,REG,BAT,,,,,,5,,
AL,DET,Zach,McKinstry,REG,BAT,,,3,3(B4),4,3,,3
AL,DET,Parker,Meadows,REG,BAT,,,,,,,1,
AL,DET,Wenceel,Perez,REG,BAT,,,,,,3,4,3
AL,DET,Jake,Rogers,REG,BAT,1,,,,,,,
AL,DET,Trey,Sweeney,REG,BAT,,,,,3,,,
AL,DET,Spencer,Torkelson,REG,BAT,,3,,,,,,
AL,DET,Gio,Urshela,MIX,BAT,,3,,2,,,,
AL,DET,Matt,Vierling,REG,BAT,,4,,4(B3),,3,3,2
AL,DET,Ryan,Vilade,ADD,BAT,,4,,,,4,4,4
AL,DET,Beau,Brieske,REG,PIT,,,,,,,,
AL,DET,Mason,Englert,ADD,PIT,,,,,,,,
AL,DET,Alex,Faedo,REG,PIT,,,,,,,,
AL,DET,Jack,Flaherty,MIX,PIT,,,,,,,,
AL,DET,Jason,Foley,REG,PIT,,,,,,,,
AL,DET,Sean,Guenther,ADD,PIT,,,,,,,,
AL,DET,Brenan,Hanifee,REG,PIT,,,,,,,,
AL,DET,Tyler,Holton,REG,PIT,,,,,,,,
AL,DET,Brant,Hurter,REG,PIT,,,,,,,,
AL,DET,Jackson,Jobe,ADD,PIT,,,,,,,,
AL,DET,Alex,Lange,ADD,PIT,,,,,,,,
AL,DET,Ty,Madden,ADD,PIT,,,,,,,,
AL,DET,Kenta,Maeda,REG,PIT,,,,,,,,
AL,DET,Matt,Manning,ADD,PIT,,,,,,,,
AL,DET,Shelby,Miller,REG,PIT,,,,,,,,
AL,DET,Casey,Mize,REG,PIT,,,,,,,,
AL,DET,Keider,Montero,REG,PIT,,,,,,,,
AL,DET,Reese,Olson,REG,PIT,,,,,,,,
AL,DET,Bryan,Sammons,ADD,PIT,,,,,,,,
AL,DET,Tarik,Skubal,REG,PIT,,,,,,,,
AL,DET,Ricky,Vanasco,COMP,PIT,,,,,,,,
AL,DET,Will,Vest,REG,PIT,,,,,,,,
AL,DET,Joey,Wentz,ADD,PIT,,,,,,,,
AL,HOU,Jose,Abreu,ADD,BAT,,4,,,,,,
AL,HOU,Jose,Altuve,REG,BAT,,,4(B3),,,,,
AL,HOU,Yordan,Alvarez,REG,BAT,,,,,,5(B4),,
AL,HOU,Alex,Bregman,REG,BAT,,,,1,,,,
AL,HOU,Trey,Cabbage,ADD,BAT,,,,,,4,,4
AL,HOU,Victor,Caratini,REG,BAT,3,4,,,,,,
AL,HOU,Zach,Dezenzo,ADD,BAT,,4,,5,,,,
AL,HOU,Aledmys,Diaz,COMP,BAT,,4,4,4,4,,,
AL,HOU,Yainer,Diaz,REG,BAT,3,4,,,,,,
AL,HOU,Mauricio,Dubon,REG,BAT,,4,2,3,4,2(B3),2(B3),3
AL,HOU,Ben,Gamel,REG,BAT,,,,,,3,,3
AL,HOU,Jason,Heyward,REG,BAT,,,,,,3,3,2
AL,HOU,Cooper,Hummel,COMP,BAT,,,,,,4,,
AL,HOU,Grae,Kessinger,COMP,BAT,,4,3,4,3,,,
AL,HOU,Pedro,Leon,COMP,BAT,,,,,,,,4
AL,HOU,Chas,McCormick,REG,BAT,,,,,,2,2,2
AL,HOU,Jake,Meyers,REG,BAT,,,,,,,1,
AL,HOU,Jeremy,Pena,REG,BAT,,,,,2,,,
AL,HOU,Cesar,Salazar,COMP,BAT,4,,,,,,,
AL,HOU,Jon,Singleton,REG,BAT,,4,,,,,,
AL,HOU,Kyle,Tucker,REG,BAT,,,,,,,,2
AL,HOU,Shay,Whitcomb,COMP,BAT,,,4,4(B5),,,,
AL,HOU,Bryan,Abreu,REG,PIT,,,,,,,,
AL,HOU,Spencer,Arrighetti,REG,PIT,,,,,,,,
AL,HOU,Ronel,Blanco,REG,PIT,,,,,,,,
AL,HOU,Jake,Bloss,COMP,PIT,,,,,,,,
AL,HOU,Hunter,Brown,REG,PIT,,,,,,,,
AL,HOU,Dylan,Coleman,COMP,PIT,,,,,,,,
AL,HOU,Luis,Contreras,COMP,PIT,,,,,,,,
AL,HOU,Miguel,Diaz,COMP,PIT,,,,,,,,
AL,HOU,Shawn,Dubin,REG,PIT,,,,,,,,
AL,HOU,Caleb,Ferguson,REG,PIT,,,,,,,,
AL,HOU,J.P.,France,ADD,PIT,,,,,,,,
AL,HOU,Josh,Hader,REG,PIT,,,,,,,,
AL,HOU,Blair,Henley,COMP,PIT,,,,,,,,
AL,HOU,Nick,Hernandez,COMP,PIT,,,,,,,,
AL,HOU,Cristian,Javier,ADD,PIT,,,,,,,,
AL,HOU,Yusei,Kikuchi,REG,PIT,,,,,,,,
AL,HOU,Bryan,King,REG,PIT,,,,,,,,
AL,HOU,Seth,Martinez,REG,PIT,,,,,,,,
AL,HOU,Rafael,Montero,ADD,PIT,,,,,,,,
AL,HOU,Parker,Mushinski,COMP,PIT,,,,,,,,
AL,HOU,Hector,Neris,COMP,PIT,,,,,,,,
AL,HOU,Kaleb,Ort,ADD,PIT,,,,,,,,
AL,HOU,Ryan,Pressly,REG,PIT,,,,,,,,
AL,HOU,Tayler,Scott,REG,PIT,,,,,,,,
AL,HOU,Alex,Speas,COMP,PIT,,,,,,,,
AL,HOU,Wander,Suero,COMP,PIT,,,,,,,,
AL,HOU,Framber,Valdez,REG,PIT,,,,,,,,
AL,HOU,Justin,Verlander,REG,PIT,,,,,,,,
AL,HOU,Forrest,Whitley,COMP,PIT,,,,,,,,
AL,KCR,CJ,Alexander,COMP,BAT,,,,4,,,,
AL,KCR,Dairon,Blanco,REG,BAT,,,,,,3,3,3
AL,KCR,Paul,DeJong,REG,BAT,,,,4(B3),3,,,
AL,KCR,Freddy,Fermin,REG,BAT,2,,,,,,,
AL,KCR,Adam,Frazier,REG,BAT,,4,3,4,,4,,3
AL,KCR,Maikel,Garcia,REG,BAT,,,2(B3),1(B2),4,,,4
AL,KCR,Tyler,Gentry,COMP,BAT,,,,,,,,4
AL,KCR,Robbie,Grossman,ADD,BAT,,,,,,4,,4
AL,KCR,Yuli,Gurriel,ADD,BAT,,3,,,,,,
AL,KCR,Garrett,Hampson,REG,BAT,,4,3,4,4,3,3,3
AL,KCR,Kyle,Isbel,REG,BAT,,,,,,,1,
AL,KCR,Nick,Loftin,ADD,BAT,,4,3,3,,4,,
AL,KCR,Michael,Massey,REG,BAT,,,3,,,,,
AL,KCR,MJ,Melendez,REG,BAT,,4,,,,4(B3),,4(B3)
AL,KCR,Vinnie,Pasquantino,REG,BAT,,4(B3),,,,,,
AL,KCR,Salvador,Perez,REG,BAT,3,3(B2),,,,,,
AL,KCR,Tommy,Pham,REG,BAT,,,,,,4(B3),4,4(B3)
AL,KCR,Hunter,Renfroe,REG,BAT,,4,,,,,,4(B3)
AL,KCR,Nelson,Velazquez,MIX,BAT,,,,,,4,,4
AL,KCR,Drew,Waters,COMP,BAT,,,,,,2,,2
AL,KCR,Bobby,Witt Jr.,REG,BAT,,,,,1(B2),,,
AL,KCR,Dan,Altavilla,COMP,PIT,,,,,,,,
AL,KCR,Nick,Anderson,ADD,PIT,,,,,,,,
AL,KCR,Jonathan,Bowlan,COMP,PIT,,,,,,,,
AL,KCR,Kris,Bubic,REG,PIT,,,,,,,,
AL,KCR,Steven,Cruz,COMP,PIT,,,,,,,,
AL,KCR,Tyler,Duffey,COMP,PIT,,,,,,,,
AL,KCR,Lucas,Erceg,REG,PIT,,,,,,,,
AL,KCR,Hunter,Harvey,COMP,PIT,,,,,,,,
AL,KCR,Carlos,Hernandez,ADD,PIT,,,,,,,,
AL,KCR,Sam,Long,REG,PIT,,,,,,,,
AL,KCR,Michael,Lorenzen,MIX,PIT,,,,,,,,
AL,KCR,Seth,Lugo,REG,PIT,,,,,,,,
AL,KCR,Jordan,Lyles,COMP,PIT,,,,,,,,
AL,KCR,Daniel,Lynch IV,ADD,PIT,,,,,,,,
AL,KCR,Alec,Marsh,REG,PIT,,,,,,,,
AL,KCR,James,McArthur,REG,PIT,,,,,,,,
AL,KCR,Nick,Pratto,COMP,PIT,,,,,,,,
AL,KCR,Cole,Ragans,REG,PIT,,,,,,,,
AL,KCR,Matt,Sauer,COMP,PIT,,,,,,,,
AL,KCR,John,Schreiber,REG,PIT,,,,,,,,
AL,KCR,Brady,Singer,REG,PIT,,,,,,,,
AL,KCR,Will,Smith,REG,PIT,,,,,,,,
AL,KCR,Chris,Stratton,REG,PIT,,,,,,,,
AL,KCR,Anthony,Veneziano,COMP,PIT,,,,,,,,
AL,KCR,Michael,Wacha,REG,PIT,,,,,,,,
AL,KCR,Angel,Zerpa,REG,PIT,,,,,,,,
AL,LAA,Jordyn,Adams,COMP,BAT,,,,,,,3,3
AL,LAA,Jo,Adell,REG,BAT,,,,,,,4,2
AL,LAA,Ehire,Adrianza,COMP,BAT,,,3,3,,,,
AL,LAA,Willie,Calhoun,REG,BAT,,5,,,,5,,
AL,LAA,Gustavo,Campero,ADD,BAT,,,,,,,,4
AL,LAA,Brandon,Drury,REG,BAT,,4,3,3,,,,
AL,LAA,Niko,Goodrum,COMP,BAT,,4,4,4,4,4,,
AL,LAA,Luis,Guillorme,COMP,BAT,,,2,2,3,,,
AL,LAA,Aaron,Hicks,ADD,BAT,,,,,,3,3,3
AL,LAA,Keston,Hiura,COMP,BAT,,,5,,,,,
AL,LAA,Niko,Kavadas,ADD,BAT,,4,,,,,,
AL,LAA,Charles,Leblanc,COMP,BAT,,4,4,4,,,,
AL,LAA,Jack,Lopez,ADD,BAT,,,3,,4(B5),,,4
AL,LAA,Mickey,Moniak,REG,BAT,,,,,,3,3,3
AL,LAA,Zach,Neto,REG,BAT,,,,,2,,,
AL,LAA,Logan,O'Hoppe,REG,BAT,3,,,,,,,
AL,LAA,Kyren,Paris,ADD,BAT,,,4,,4,,,
AL,LAA,Kevin,Pillar,REG,BAT,,,,,,2,2,2
AL,LAA,Anthony,Rendon,REG,BAT,,,,3,,,,
AL,LAA,Luis,Rengifo,REG,BAT,,,3,3,4,,,4
AL,LAA,Miguel,Sano,ADD,BAT,,4,,4,,,,
AL,LAA,Nolan,Schanuel,REG,BAT,,3,,,,,,
AL,LAA,Michael,Stefanic,REG,BAT,,,4(B3),4,,,,
AL,LAA,Bryce,Teodosio,COMP,BAT,,,,,,,3,
AL,LAA,Matt,Thaiss,REG,BAT,3,,,,,,,
AL,LAA,Mike,Trout,ADD,BAT,,,,,,,3,
AL,LAA,Cole,Tucker,ADD,BAT,,,,4(B5),,4,,
AL,LAA,Eric,Wagaman,ADD,BAT,,,,5,,5,,
AL,LAA,Taylor,Ward,REG,BAT,,,,,,3,,
AL,LAA,Samuel,Aldegheri,COMP,PIT,,,,,,,,
AL,LAA,Tyler,Anderson,REG,PIT,,,,,,,,
AL,LAA,Mike,Baumann,ADD,PIT,,,,,,,,
AL,LAA,Brock,Burke,REG,PIT,,,,,,,,
AL,LAA,Griffin,Canning,REG,PIT,,,,,,,,
AL,LAA,Adam,Cimber,ADD,PIT,,,,,,,,
AL,LAA,Jose,Cisnero,COMP,PIT,,,,,,,,
AL,LAA,Roansy,Contreras,REG,PIT,,,,,,,,
AL,LAA,Hans,Crouse,REG,PIT,,,,,,,,
AL,LAA,Johnny,Cueto,COMP,PIT,,,,,,,,
AL,LAA,Caden,Dana,COMP,PIT,,,,,,,,
AL,LAA,Davis,Daniel,ADD,PIT,,,,,,,,
AL,LAA,Reid,Detmers,REG,PIT,,,,,,,,
AL,LAA,Carlos,Estevez,MIX,PIT,,,,,,,,
AL,LAA,Carson,Fulmer,REG,PIT,,,,,,,,
AL,LAA,Amir,Garrett,COMP,PIT,,,,,,,,
AL,LAA,Ben,Joyce,REG,PIT,,,,,,,,
AL,LAA,Jack,Kochanowicz,REG,PIT,,,,,,,,
AL,LAA,Zac,Kristofak,COMP,PIT,,,,,,,,
AL,LAA,Jose,Marte,ADD,PIT,,,,,,,,
AL,LAA,Victor,Mederos,COMP,PIT,,,,,,,,
AL,LAA,Ryan,Miller,COMP,PIT,,,,,,,,
AL,LAA,Matt,Moore,REG,PIT,,,,,,,,
AL,LAA,Zach,Plesac,COMP,PIT,,,,,,,,
AL,LAA,Jose,Quijada,ADD,PIT,,,,,,,,
AL,LAA,Kenny,Rosenberg,ADD,PIT,,,,,,,,
AL,LAA,Patrick,Sandoval,REG,PIT,,,,,,,,
AL,LAA,Chase,Silseth,COMP,PIT,,,,,,,,
AL,LAA,Jose,Soriano,REG,PIT,,,,,,,,
AL,LAA,Hunter,Strickland,REG,PIT,,,,,,,,
AL,LAA,Jose,Suarez,REG,PIT,,,,,,,,
