LG,TM,FIRST,LAST,USE,B/P,C,1B,2B,3B,SS,LF,CF,RF
AL,CH,Andrew,Benintendi,REG,BAT,,,,,,3,,
AL,CH,Jake,Burger,MIX,BAT,,4,5,3,,,,
AL,CH,Oscar,Colas,REG,BAT,,,,,,,4,4
AL,CH,Clint,Frazier,ADD,BAT,,,,,,4,4,4
AL,CH,Romy,Gonzalez,ADD,BAT,,,4,4,4,4,,4
AL,CH,Yasmani,Grandal,REG,BAT,3(B4),4,,,,,,
AL,CH,Billy,Hamilton,COMP,BAT,,,,,,,,2
AL,CH,Adam,Haseley,COMP,BAT,,,,,,3,3,3
AL,CH,Eloy,Jimenez,REG,BAT,,,,,,,,5
AL,CH,Korey,Lee,REG,BAT,3,,,,,,,
AL,CH,Yoan,Moncada,REG,BAT,,,,2,,,,
AL,CH,Tyler,Naquin,COMP,BAT,,,,,,4,,
AL,CH,Carlos,Perez,COMP,BAT,4,,,,,,,
AL,CH,Zach,Remillard,REG,BAT,,,4(B3),4,4,4,,4
AL,CH,Luis,Robert,REG,BAT,,,,,,,1,
AL,CH,Gavin,Sheets,REG,BAT,,4,,,,5(B4),,5(B4)
AL,CH,Lenyn,Sosa,REG,BAT,,,4(B3),4,,,,
AL,CH,Trayce,Thompson,COMP,BAT,,,,,,2,3,2
AL,CH,Andrew,Vaughn,REG,BAT,,3,,,,,,
AL,CH,Seby,Zavala,COMP,BAT,3,,,,,,,
AL,CH,Tanner,Banks,REG,PIT,,,,,,,,
AL,CH,Aaron,Bummer,REG,PIT,,,,,,,,
AL,CH,Dylan,Cease,REG,PIT,,,,,,,,
AL,CH,Mike,Clevinger,REG,PIT,,,,,,,,
AL,CH,Alex,Colome,COMP,PIT,,,,,,,,
AL,CH,Garrett,Crochet,COMP,PIT,,,,,,,,
AL,CH,Declan,Cronin,COMP,PIT,,,,,,,,
AL,CH,Deivi,Garcia,COMP,PIT,,,,,,,,
AL,CH,Liam,Hendriks,COMP,PIT,,,,,,,,
AL,CH,Brent,Honeywell,COMP,PIT,,,,,,,,
AL,CH,Joe,Kelly,COMP,PIT,,,,,,,,
AL,CH,Michael,Kopech,REG,PIT,,,,,,,,
AL,CH,Jimmy,Lambert,REG,PIT,,,,,,,,
AL,CH,Lance,Lynn,MIX,PIT,,,,,,,,
AL,CH,Edgar,Navarro,COMP,PIT,,,,,,,,
AL,CH,Nicholas,Padilla,COMP,PIT,,,,,,,,
AL,CH,Luis,Patino,REG,PIT,,,,,,,,
AL,CH,Sammy,Peralta,REG,PIT,,,,,,,,
AL,CH,Yohan,Ramirez,COMP,PIT,,,,,,,,
AL,CH,Lane,Ramsey,REG,PIT,,,,,,,,
AL,CH,Jose,Ruiz,COMP,PIT,,,,,,,,
AL,CH,Gregory,Santos,REG,PIT,,,,,,,,
AL,CH,Jesse,Scholtens,REG,PIT,,,,,,,,
AL,CH,Bryan,Shaw,REG,PIT,,,,,,,,
AL,CH,Touki,Toussaint,REG,PIT,,,,,,,,
AL,CH,Jose,Urena,REG,PIT,,,,,,,,
AL,CI,Gabriel,Arias,REG,BAT,,3,3,3,2,,,3
AL,CI,Josh,Bell,MIX,BAT,,4,,,,,,
AL,CI,Will,Brennan,REG,BAT,,,,,,3,3,2
AL,CI,Kole,Calhoun,REG,BAT,,4,,,,,,4
AL,CI,Zack,Collins,COMP,BAT,4,,,,,,,
AL,CI,Tyler,Freeman,REG,BAT,,4,3,3,3,4,,
AL,CI,David,Fry,REG,BAT,4,3,,,,4,,4
AL,CI,Cam,Gallagher,REG,BAT,2,,,,,,,
AL,CI,Andres,Gimenez,REG,BAT,,,1,,,,,
AL,CI,Oscar,Gonzalez,ADD,BAT,,,,,,3,,3
AL,CI,Eric,Haase,MIX,BAT,4,,,,,4,,
AL,CI,Steven,Kwan,REG,BAT,,,,,,1,,
AL,CI,Ramon,Laureano,REG,BAT,,,,,,,3,2
AL,CI,Bo,Naylor,REG,BAT,3,,,,,,,
AL,CI,Josh,Naylor,REG,BAT,,2,,,,,,4
AL,CI,Jose,Ramirez,REG,BAT,,,,2,,,,
AL,CI,Brayan,Rocchio,ADD,BAT,,,,4,3,,,
AL,CI,Amed,Rosario,MIX,BAT,,,,,4,,,
AL,CI,Myles,Straw,REG,BAT,,,,,,,1,
AL,CI,Jose,Tena,COMP,BAT,,,4,4,4,,,
AL,CI,Meibrys,Viloria,COMP,BAT,4,,,,,,,
AL,CI,Mike,Zunino,ADD,BAT,4,,,,,,,
AL,CI,Logan,Allen,REG,PIT,,,,,,,,
AL,CI,Peyton,Battenfield,ADD,PIT,,,,,,,,
AL,CI,Tanner,Bibee,REG,PIT,,,,,,,,
AL,CI,Shane,Bieber,REG,PIT,,,,,,,,
AL,CI,Emmanuel,Clase,REG,PIT,,,,,,,,
AL,CI,Xzavion,Curry,REG,PIT,,,,,,,,
AL,CI,Enyel,De Los Santos,REG,PIT,,,,,,,,
AL,CI,Hunter,Gaddis,ADD,PIT,,,,,,,,
AL,CI,Lucas,Giolito,REG,PIT,,,,,,,,
AL,CI,Sam,Hentges,REG,PIT,,,,,,,,
AL,CI,Tim,Herrin,ADD,PIT,,,,,,,,
AL,CI,James,Karinchak,REG,PIT,,,,,,,,
AL,CI,Michael,Kelly,COMP,PIT,,,,,,,,
AL,CI,Reynaldo,Lopez,MIX,PIT,,,,,,,,
AL,CI,Triston,McKenzie,COMP,PIT,,,,,,,,
AL,CI,Matt,Moore,COMP,PIT,,,,,,,,
AL,CI,Eli,Morgan,REG,PIT,,,,,,,,
AL,CI,Cody,Morris,COMP,PIT,,,,,,,,
AL,CI,Daniel,Norris,COMP,PIT,,,,,,,,
AL,CI,Konnor,Pilkington,COMP,PIT,,,,,,,,
AL,CI,Zach,Plesac,ADD,PIT,,,,,,,,
AL,CI,Cal,Quantrill,REG,PIT,,,,,,,,
AL,CI,Nick,Sandlin,REG,PIT,,,,,,,,
AL,CI,Trevor,Stephan,REG,PIT,,,,,,,,
AL,CI,Noah,Syndergaard,ADD,PIT,,,,,,,,
AL,CI,Gavin,Williams,REG,PIT,,,,,,,,
AL,DT,Akil,Baddoo,REG,BAT,,,,,,3,4,4
AL,DT,Javier,Baez,REG,BAT,,,,,2,,,
AL,DT,Miguel,Cabrera,REG,BAT,,5,,,,,,
AL,DT,Kerry,Carpenter,REG,BAT,,,,,,4,,4
AL,DT,Isan,Diaz,COMP,BAT,,,4,,,,,
AL,DT,Riley,Greene,REG,BAT,,,,,,3,3,3
AL,DT,Andy,Ibanez,REG,BAT,,4,3,4,,4,,4
AL,DT,Carson,Kelly,REG,BAT,2,,,,,,,
AL,DT,Ryan,Kreidler,COMP,BAT,,,3,3,3,,,
AL,DT,Andre,Lipcius,COMP,BAT,,,,4,,,,
AL,DT,Jake,Marisnick,COMP,BAT,,,,,,,2,2
AL,DT,Nick,Maton,REG,BAT,,,4(B3),4(B5),4,,,
AL,DT,Zach,McKinstry,REG,BAT,,,3,3,4,3(B2),,3(B2)
AL,DT,Austin,Meadows,COMP,BAT,,,,,,4,,
AL,DT,Parker,Meadows,ADD,BAT,,,,,,,2,
AL,DT,Tyler,Nevin,ADD,BAT,,4,,4,,4,,4
AL,DT,Jake,Rogers,REG,BAT,2,,,,,5,,
AL,DT,Jonathan,Schoop,ADD,BAT,,,3,4,4,,,
AL,DT,Zack,Short,REG,BAT,,,2,3(B4),3,,4,4
AL,DT,Spencer,Torkelson,REG,BAT,,4,,,,,,
AL,DT,Matt,Vierling,REG,BAT,,,4,4(B3),,3(B2),4,3(B2)
AL,DT,Tyler,Alexander,ADD,PIT,,,,,,,,
AL,DT,Matt,Boyd,MIX,PIT,,,,,,,,
AL,DT,Beau,Brieske,REG,PIT,,,,,,,,
AL,DT,Braden,Bristo,COMP,PIT,,,,,,,,
AL,DT,Jose,Cisnero,REG,PIT,,,,,,,,
AL,DT,Miguel,Diaz,COMP,PIT,,,,,,,,
AL,DT,Mason,Englert,REG,PIT,,,,,,,,
AL,DT,Alex,Faedo,REG,PIT,,,,,,,,
AL,DT,Jason,Foley,REG,PIT,,,,,,,,
AL,DT,Sawyer,Gipson-Long,COMP,PIT,,,,,,,,
AL,DT,Brenan,Hanifee,COMP,PIT,,,,,,,,
AL,DT,Garrett,Hill,COMP,PIT,,,,,,,,
AL,DT,Tyler,Holton,REG,PIT,,,,,,,,
AL,DT,Alex,Lange,REG,PIT,,,,,,,,
AL,DT,Zach,Logue,COMP,PIT,,,,,,,,
AL,DT,Michael,Lorenzen,MIX,PIT,,,,,,,,
AL,DT,Matt,Manning,REG,PIT,,,,,,,,
AL,DT,Reese,Olson,REG,PIT,,,,,,,,
AL,DT,Eduardo,Rodriguez,REG,PIT,,,,,,,,
AL,DT,Chasen,Shreve,COMP,PIT,,,,,,,,
AL,DT,Tarik,Skubal,REG,PIT,,,,,,,,
AL,DT,Spencer,Turnbull,ADD,PIT,,,,,,,,
AL,DT,Andrew,Vasquez,COMP,PIT,,,,,,,,
AL,DT,Will,Vest,REG,PIT,,,,,,,,
AL,DT,Joey,Wentz,REG,PIT,,,,,,,,
AL,DT,Brendan,White,REG,PIT,,,,,,,,
AL,DT,Trey,Wingenter,COMP,PIT,,,,,,,,
AL,HA,Jose,Abreu,REG,BAT,,3,,,,,,
AL,HA,Jose,Altuve,REG,BAT,,,2(B3),,,,,
AL,HA,Yordan,Alvarez,REG,BAT,,,,,,5,,
AL,HA,Rylan,Bannon,COMP,BAT,,,4,,,,,
AL,HA,Michael,Brantley,ADD,BAT,,,,,,4,,
AL,HA,Alex,Bregman,REG,BAT,,,,1,,,,
AL,HA,Yainer,Diaz,REG,BAT,3,5,,,,,,
AL,HA,Mauricio,Dubon,REG,BAT,,4,2,4,4,3(B2),2,3
AL,HA,David,Hensley,REG,BAT,,4,4,4,,4,,
AL,HA,Corey,Julks,REG,BAT,,,,,,4(B3),,4
AL,HA,Grae,Kessinger,COMP,BAT,,4,4,4,3,,,
AL,HA,Bligh,Madris,COMP,BAT,,4,,,,4,,
AL,HA,Martin,Maldonado,REG,BAT,2,,,,,,,
AL,HA,Chas,McCormick,REG,BAT,,,,,,2,2,2
AL,HA,Jacob,Meyers,REG,BAT,,,,,,2,1(B2),
AL,HA,Jeremy,Pena,REG,BAT,,,,,1,,,
AL,HA,Cesar,Salazar,COMP,BAT,4,,,,,,,
AL,HA,Jon,Singleton,COMP,BAT,,4,,,,,,
AL,HA,Kyle,Tucker,REG,BAT,,,,,,,,2
AL,HA,Bryan,Abreu,REG,PIT,,,,,,,,
AL,HA,Brandon,Bielak,MIX,PIT,,,,,,,,
AL,HA,Ronel,Blanco,ADD,PIT,,,,,,,,
AL,HA,Hunter,Brown,REG,PIT,,,,,,,,
AL,HA,Shawn,Dubin,COMP,PIT,,,,,,,,
AL,HA,J.P.,France,REG,PIT,,,,,,,,
AL,HA,Matt,Gage,COMP,PIT,,,,,,,,
AL,HA,Luis,Garcia,ADD,PIT,,,,,,,,
AL,HA,Kendall,Graveman,REG,PIT,,,,,,,,
AL,HA,Cristian,Javier,REG,PIT,,,,,,,,
AL,HA,Joel,Kuhnel,COMP,PIT,,,,,,,,
AL,HA,Seth,Martinez,REG,PIT,,,,,,,,
AL,HA,Phil,Maton,REG,PIT,,,,,,,,
AL,HA,Rafael,Montero,REG,PIT,,,,,,,,
AL,HA,Parker,Mushinski,COMP,PIT,,,,,,,,
AL,HA,Hector,Neris,REG,PIT,,,,,,,,
AL,HA,Ryan,Pressly,REG,PIT,,,,,,,,
AL,HA,Bennett,Sousa,COMP,PIT,,,,,,,,
AL,HA,Ryne,Stanek,REG,PIT,,,,,,,,
AL,HA,Jose,Urquidy,REG,PIT,,,,,,,,
AL,HA,Framber,Valdez,REG,PIT,,,,,,,,
AL,HA,Justin,Verlander,REG,PIT,,,,,,,,
AL,KR,Matt,Beaty,COMP,BAT,,4,,,,,,4
AL,KR,Dairon,Blanco,REG,BAT,,,,,,2,3(B2),3(B2)
AL,KR,Jackie,Bradley Jr,ADD,BAT,,,,,,2,2,2
AL,KR,Tyler,Cropley,COMP,BAT,4,,,,,,,
AL,KR,Hunter,Dozier,ADD,BAT,,3,,5,,4,,4
AL,KR,Matt,Duffy,REG,BAT,,3,3(B4),3,,,,
AL,KR,Nate,Eaton,COMP,BAT,,,,4,,2,4,3
AL,KR,Freddy,Fermin,REG,BAT,2,,,,,,,
AL,KR,Maikel,Garcia,REG,BAT,,,3,2,3,,,
AL,KR,Kyle,Isbel,REG,BAT,,,,,,,2,
AL,KR,Nick,Loftin,ADD,BAT,,4,4,4,,,,
AL,KR,Nicky,Lopez,ADD,BAT,,4,1,3,2,4,,
AL,KR,Michael,Massey,REG,BAT,,,3(B2),,,,,
AL,KR,MJ,Melendez,REG,BAT,4,,,,,4,,4
AL,KR,Edward,Olivares,REG,BAT,,,,,,4,4,4
AL,KR,Vinnie,Pasquantino,REG,BAT,,4(B3),,,,,,
AL,KR,Salvador,Perez,REG,BAT,4,3,,,,,,
AL,KR,Logan,Porter,COMP,BAT,4,,,,,,,
AL,KR,Nick,Pratto,REG,BAT,,2,,,,3,,4
AL,KR,Franmil,Reyes,COMP,BAT,,,,,,5,,
AL,KR,Samad,Taylor,ADD,BAT,,,4,4,,4,,
AL,KR,Nelson,Velazquez,COMP,BAT,,,,,,4,,4
AL,KR,Drew,Waters,REG,BAT,,,,,,2,3,2
AL,KR,Bobby,Witt Jr,REG,BAT,,,,,2,,,
AL,KR,Scott,Barlow,MIX,PIT,,,,,,,,
AL,KR,Jonathan,Bowlan,COMP,PIT,,,,,,,,
AL,KR,Kris,Bubic,COMP,PIT,,,,,,,,
AL,KR,Max,Castillo,COMP,PIT,,,,,,,,
AL,KR,Taylor,Clarke,REG,PIT,,,,,,,,
AL,KR,Dylan,Coleman,COMP,PIT,,,,,,,,
AL,KR,Austin,Cox,REG,PIT,,,,,,,,
AL,KR,Steven,Cruz,COMP,PIT,,,,,,,,
AL,KR,Jose,Cuas,ADD,PIT,,,,,,,,
AL,KR,Tucker,Davidson,REG,PIT,,,,,,,,
AL,KR,Amir,Garrett,ADD,PIT,,,,,,,,
AL,KR,Zack,Greinke,REG,PIT,,,,,,,,
AL,KR,Taylor,Hearn,COMP,PIT,,,,,,,,
AL,KR,Jon,Heasley,COMP,PIT,,,,,,,,
AL,KR,Carlos,Hernandez,REG,PIT,,,,,,,,
AL,KR,Brad,Keller,REG,PIT,,,,,,,,
AL,KR,Jackson,Kowar,ADD,PIT,,,,,,,,
AL,KR,Brooks,Kriske,COMP,PIT,,,,,,,,
AL,KR,Jordan,Lyles,REG,PIT,,,,,,,,
AL,KR,Daniel,Lynch,REG,PIT,,,,,,,,
AL,KR,Alec,Marsh,REG,PIT,,,,,,,,
AL,KR,Mike,Mayers,ADD,PIT,,,,,,,,
AL,KR,James,McArthur,REG,PIT,,,,,,,,
AL,KR,John,McMillon,COMP,PIT,,,,,,,,
AL,KR,Cole,Ragans,REG,PIT,,,,,,,,
AL,KR,Brady,Singer,REG,PIT,,,,,,,,
AL,KR,Collin,Snider,ADD,PIT,,,,,,,,
AL,KR,Josh,Staumont,COMP,PIT,,,,,,,,
AL,KR,Josh,Taylor,COMP,PIT,,,,,,,,
AL,KR,Anthony,Veneziano,COMP,PIT,,,,,,,,
AL,KR,Nick,Wittgren,REG,PIT,,,,,,,,
AL,KR,Ryan,Yarbrough,ADD,PIT,,,,,,,,
AL,KR,Angel,Zerpa,REG,PIT,,,,,,,,
AL,LA,Jordyn,Adams,COMP,BAT,,,,,,3,4,3
AL,LA,Jo,Adell,COMP,BAT,,,,,,4,4,4
AL,LA,Trey,Cabbage,COMP,BAT,,4,,,,4,4,4
AL,LA,C.J.,Cron,COMP,BAT,,3,,,,,,
AL,LA,Brandon,Drury,REG,BAT,,4(B3),3(B2),,,,,
AL,LA,Eduardo,Escobar,REG,BAT,,4,4,3,,,,
AL,LA,David,Fletcher,ADD,BAT,,,3,3,3,,,
AL,LA,Randal,Grichuk,REG,BAT,,,,,,3,,
AL,LA,Jake,Lamb,COMP,BAT,,4,,,,,,
AL,LA,Mickey,Moniak,REG,BAT,,,,,,3,3,3
AL,LA,Mike,Moustakas,REG,BAT,,4,,4(B3),,,,
AL,LA,Zach,Neto,REG,BAT,,,,,2,,,
AL,LA,Logan,O'Hoppe,REG,BAT,2,,,,,,,
AL,LA,Shohei,Ohtani,REG,BAT,,,,,,,,
AL,LA,Chris,Okey,COMP,BAT,4,,,,,,,
AL,LA,Kevin,Padlo,COMP,BAT,,4,,4,,,,
AL,LA,Kyren,Paris,COMP,BAT,,,4,,4,,4,
AL,LA,Brett,Phillips,ADD,BAT,,,,,,1,2,1
AL,LA,Anthony,Rendon,ADD,BAT,,,,3(B4),,,,
AL,LA,Hunter,Renfroe,MIX,BAT,,4,,,,,,3
AL,LA,Luis,Rengifo,REG,BAT,,,3,4,4,4,4,4
AL,LA,Nolan,Schanuel,ADD,BAT,,3,,,,,,
AL,LA,Livan,Soto,COMP,BAT,,,4,3,,,,
AL,LA,Michael,Stefanic,ADD,BAT,,,4,4,,,,
AL,LA,Matt,Thaiss,REG,BAT,4,4,,,,,,
AL,LA,Mike,Trout,REG,BAT,,,,,,,2,
AL,LA,Gio,Urshela,REG,BAT,,4,4,2(B3),4,,,
AL,LA,Andrew,Velazquez,ADD,BAT,,,2,,2(B3),,4,
AL,LA,Chad,Wallach,REG,BAT,3,4,,,,,,
AL,LA,Jared,Walsh,ADD,BAT,,3,,,,,,4
AL,LA,Taylor,Ward,REG,BAT,,4,,,,2,,
AL,LA,Tyler,Anderson,REG,PIT,,,,,,,,
AL,LA,Sam,Bachman,COMP,PIT,,,,,,,,
AL,LA,Jaime,Barria,REG,PIT,,,,,,,,
AL,LA,Kelvin,Caceres,COMP,PIT,,,,,,,,
AL,LA,Griffin,Canning,REG,PIT,,,,,,,,
AL,LA,Davis,Daniel,COMP,PIT,,,,,,,,
AL,LA,Reid,Detmers,REG,PIT,,,,,,,,
AL,LA,Jhonathan,Diaz,COMP,PIT,,,,,,,,
AL,LA,Carlos,Estevez,REG,PIT,,,,,,,,
AL,LA,Carson,Fulmer,COMP,PIT,,,,,,,,
AL,LA,Jimmy,Herget,REG,PIT,,,,,,,,
AL,LA,Kolton,Ingram,COMP,PIT,,,,,,,,
AL,LA,Ben,Joyce,COMP,PIT,,,,,,,,
AL,LA,Aaron,Loup,REG,PIT,,,,,,,,
AL,LA,Jose,Marte,COMP,PIT,,,,,,,,
AL,LA,Victor,Mederos,COMP,PIT,,,,,,,,
AL,LA,Reyes,Moronta,COMP,PIT,,,,,,,,
AL,LA,Shohei,Ohtani,REG,PIT,,,,,,,,
AL,LA,Jose,Quijada,COMP,PIT,,,,,,,,
AL,LA,Gerardo,Reyes,COMP,PIT,,,,,,,,
AL,LA,Kenny,Rosenberg,ADD,PIT,,,,,,,,
AL,LA,Patrick,Sandoval,REG,PIT,,,,,,,,
AL,LA,Chase,Silseth,REG,PIT,,,,,,,,
AL,LA,Jose,Soriano,REG,PIT,,,,,,,,
AL,LA,Jose,Suarez,REG,PIT,,,,,,,,
AL,LA,Ryan,Tepera,COMP,PIT,,,,,,,,
AL,LA,Andrew,Wantz,REG,PIT,,,,,,,,
AL,LA,Austin,Warren,COMP,PIT,,,,,,,,
AL,MT,Byron,Buxton,REG,BAT,,,,,,,,
AL,MT,Willi,Castro,REG,BAT,,,4,4(B3),4,3,4,3
AL,MT,Carlos,Correa,REG,BAT,,,,,2,,,
AL,MT,Kyle,Farmer,REG,BAT,,4,3(B2),3,3(B2),4,,
AL,MT,Joey,Gallo,REG,BAT,,2,,,,2,3,2
AL,MT,Kyle,Garlick,COMP,BAT,,,,,,4,,4
AL,MT,Nick,Gordon,ADD,BAT,,,4,,4,3,4,
AL,MT,Ryan,Jeffers,REG,BAT,3,,,,,,,
AL,MT,Edouard,Julien,REG,BAT,,5,4(B3),,,,,
AL,MT,Max,Kepler,REG,BAT,,,,,,,,1
AL,MT,Alex,Kirilloff,REG,BAT,,3,,,,4,,4
AL,MT,Trevor,Larnach,ADD,BAT,,,,,,3(B2),,3(B2)
AL,MT,Royce,Lewis,MIX,BAT,,,,3,4,,,
AL,MT,Jordan,Luplow,ADD,BAT,,4,,,,3,4,3
AL,MT,Jose,Miranda,ADD,BAT,,5,,4,,,,
AL,MT,Jorge,Polanco,REG,BAT,,,3,4,,,,
AL,MT,Donovan,Solano,REG,BAT,,4,4,4,,,,
AL,MT,Andrew,Stevenson,COMP,BAT,,,,,,2,2,
AL,MT,Michael,Taylor,REG,BAT,,,,,,,1,
AL,MT,Christian,Vazquez,REG,BAT,2,4,5,,,,,
AL,MT,Matt,Wallner,REG,BAT,,,,,,4(B3),,4(B3)
AL,MT,Jorge,Alcala,COMP,PIT,,,,,,,,
AL,MT,Jordan,Balazovic,ADD,PIT,,,,,,,,
AL,MT,Jose,De Leon,COMP,PIT,,,,,,,,
AL,MT,Jhoan,Duran,REG,PIT,,,,,,,,
