TM,Location,HITTERS,AB,SO vlhp,BB v lhp,HIT v lhp,OB v lhp,TB v lhp,HR v lhp,BP v lhp,CL v lhp,DP v lhp,SO v rhp,BB v rhp,HIT v rhp,OB v rhp,TB v rhp,HR v rhp,BP v rhp,CL v rhp,DP v rhp,STEALING,STL,SPD,B,H,INJ,CA,1B,2B,3B,SS,LF,CF,RF,FIELDING
ARN,,"Rojas,J*",173,25,8,19.6,28.6,23.2,0.8,1,-3,12,20,12,12.7,25.7,19.2,1.6,3,-2,12,"*2-5,12/- (17-12)",B,13,D,C,2,,,406,,407,402,,,2b-4e6 ss-4e7 lf-4(+1)e2
ARN,,"Smith,P*",108,0,3,27.5,32.5,42,3.1,w,-10,0,13,13,24.2,39.2,37.1,1.6,2,-9,0,3/- (20-6),D,12,D,C,1,,414,,,,404,,404,1b-4e14 lf-4(+1)e4 rf-4e4
ARN,,"Vanmeter,J*",195,47,17,13.9,33.9,21.6,0.4,0,-6,0,30,11,8.6,22.6,17.4,2.2,3,-3,0,*7/- (19-11),B,13,D,D,1,,420,312,465,,,,,2b-3e12 3b-4e65 1b-4e20
ARN,,"Varsho,D*",286,28,2,15.6,21.6,20.4,1,1,-8,5,24,11,16.1,31.1,31.3,3,4,-6,4,"*4,6/- (19-12)",B,14,D,D,2,410,,,,,308,408,,"cf-4(+1)e8 c-4(+1)e10,T-11(pb-5) lf-3e8"
ARN,,"Vogt,S*",203,22,14,9.2,24.2,16.8,1.6,2,+7,9,26,8,12.1,21,26.7,2.2,3,0,10,3/- (20-6),D,10,D,C,2,401,521,,,,,,,"c-4(+2)e1,T-1(pb-0) 1b-5e21"
ARN,,"Walker,C",602,23,18,12.8,33.8,28.3,3,5,+4,17,25,8,22.9,33.9,42.2,3,5,+4,19,3/- (17-6),D,12,D,C,1,,211,,,,,,,1b-2e11
ARN,,"Young,A",79,39,8,8.6,28.6,15,1.1,1,-3,0,26,21,15.5,48.5,31.9,3.5,8,-4,0,-/- (---),E,13,D,D,1,,,411,565,,425,,,3b-5e65 2b-4e11 lf-4(+2)e25
ATN,,"Acuna,R",473,34,28,13.2,44.2,28.5,3.8,6,-3,7,33,20,17.5,40.5,43,7.1,8,-5,8,"*2-5,12/- (18-13)",A,17,D,D,2,,,,,,,303,303,cf-3(-3)e3 rf-3e3
ATN,,"Adams,M*",135,36,0,9.7,11.7,24.4,3.1,5*,0,32,47,3,9.9,14.9,22,3.3,5,+6,26,-/- (---),E,10,D,D,2,,412,,,,,,,1b-4e12
ATN,,"Albies,O+",325,15,0,27.4,28.4,43,3.5,5,+9,0,20,4,20.5,25.4,37.5,4,7,+9,0,"*5,6/- (17-12)",B,16,D,B,3,,,111,,,,,,2b-1e11
ATN,,"Camargo,J+",329,33,0,20,22,29.6,1.6,2,-11,5,26,6,16.4,24.4,25.8,1,2,-7,4,-/- (---),E,11,D,D,1,,,308,308,,,,,2b-3e8 3b-3e8
ATN,,"D'Arnaud,T",467,30,4,20.4,26.4,24,1.2,2,-2,30,26,8,27.5,37.5,40.6,3,5,-2,33,2/- (20-6),E,10,D,D,2,401,,,,,,,,"c-4(+2)e1,T-14(pb-5)"
ATN,,"Duvall,A",532,29,5,19.1,27.1,45.6,5.8,8,-2,6,32,7,12.6,22.5,38,7.6,8,0,7,-/- (---),E,12,D,D,1,,,,,,207,,307,lf-2(-1)e7 rf-3e7
ATN,,"Flowers,T",192,51,23,4.7,34.7,8.9,0.8,0,0,8,51,8,16.3,31.3,26.7,1.2,2,-7,13,-/- (---),E,8,D,D,2,301,,,,,,,,"c-3(+2)e1,T-7(pb-1)"
ATN,,"Freeman,F*",611,21,13,23,39,35.7,2.4,5,-8,18,9,19,30.6,52.6,58.1,5,8,-8,16,4/- (14-6),D,13,D,C,0,,103,,,,,,,1b-1e3
ATN,,"Hechavarria,A",165,9,0,28.8,29.8,46.5,4,w,-11,14,19,5,18.5,24.4,28.3,2,w,-10,13,-/- (---),E,12,D,C,1,,,211,365,332,,,,2b-2e11 3b-3e65 ss-3e32
ATN,,"Inciarte,E*",327,18,7,21.8,29.8,23.9,0.6,0,+5,0,10,10,14.4,25.3,23.2,1.9,w,+4,0,"*5,6/- (18-12)",B,14,D,C,1,,,,,,,205,,cf-2(-2)e5
ATN,,"Markakis,N*",357,11,6,29.6,36.6,40.9,1.5,w,+2,28,10,8,22.4,31.4,42.3,3.3,w,+2,27,7/- (3-1),E,10,D,B,2,,,,,,401,,401,rf-4(+1)e1 lf-4e1
ATN,,"Ozuna,M",651,26,12,28,41,79.1,16.8,8,-4,8,22,15,24.7,40.7,43,4.4,8,-4,8,5/- (13-6),D,12,D,B,0,,,,,,417,,417,lf-4(+2)e17 rf-4e17
ATN,,"Riley,A",526,45,7,20.1,29.1,52.2,6.1,8*,0,21,26,6,17,25,26.3,2.8,4,-6,19,-/- (---),E,12,D,C,1,,430,,422,,512,,,3b-4e22 lf-5(0)e12 1b-4e30
ATN,,"Sandoval,P+",239,27,17,16,35,18.6,0.3,0,-4,21,22,3,17.8,22.8,24.5,1.3,2,-5,26,-/- (---),E,8,D,C,1,,309,,419,,,,,1b-3e9 3b-4e19
ATN,,"Swanson,D",661,32,7,15.6,24.6,26.2,2.5,w,-8,0,27,11,24.3,37.3,34.8,1.8,2,-7,0,*4/- (19-6),B,15,D,D,0,,,,,207,,,,ss-2e7
BAA,,"Alberto,H",613,0,0,48.3,50.3,57.4,0.4,0,-7,22,0,0,21.3,23.3,37.3,3.4,w,-7,22,5/- (15-6),D,13,A,B,1,,,406,416,,,,,2b-4e6 3b-4e16
BAA,,"Davis,C*",138,52,24,0,26,0,0,w*,0,0,50,5,7.6,14.6,18,1.9,3*,0,0,-/- (---),E,9,D,D,2,,330,,,,,,,1b-3e30
BAA,,"Hays,A",348,17,5,22.4,29.4,34.8,2.8,2,-8,4,19,4,23.8,29.8,29,1.8,2,-9,4,*3-7/10-12 (15-7),C,14,D,C,3,,,,,,303,303,303,cf-3(-1)e3 lf-3e3 rf-3e3
BAA,,"Holaday,B",84,19,0,7.3,10.4,9.4,0.2,0,+4,27,20,8,16,27,23.4,0.7,0,+4,24,-/- (---),E,9,D,D,2,301,425,,,,,,,"c-3(+1)e1,T-4(pb-0) 1b-4e25"
BAA,,"Iglesias,J",396,0,0,35,38,43.5,2,2,0,4,3,0,34.2,37.2,62.2,4,w,0,4,"4,5/- (13-6)",D,12,D,B,2,,,,,308,,,,ss-3e8
BAA,,"Mountcastle,R",360,23,6,28.3,36.3,37.3,1.4,0,-7,12,23,5,30.8,37.8,41.3,2.5,3,-7,13,7/- (3-1),E,13,D,D,1,,419,,,,404,,,lf-4(+1)e4 1b-4e19
BAA,,"Mullins,C+",388,23,5,14.7,21.7,23,1.8,1,-7,0,19,3,25.9,30.9,36.2,1.3,1,-7,0,"*5,6/- (19-13)",A,16,A,D,1,,,,,,205,205,205,cf-2(0)e5 rf-2e5 lf-2e5
BAA,,"Nunez,R",542,26,7,17.7,27.7,32,3.8,5,-6,15,39,9,17.2,29.2,34.5,4.5,7,-6,12,-/- (---),E,11,D,D,1,,506,,565,,,,,1b-5e6 3b-5e65
BAA,,"Ruiz,R*",512,30,0,26.5,26.5,37,2.4,3,0,18,24,10,16.3,26.3,27.9,1.8,3,0,16,"4,5/9 (13-5)",D,12,D,B,1,,,541,319,,407,,,3b-3e19 2b-5e41 lf-4(+1)e7
BAA,,"Santander,A+",428,32,0,16.6,18.6,33.5,4.8,5,-7,11,8,0,27,29,51.5,4.5,6,-9,10,"4,5/9 (13-4)",D,12,D,D,2,,,,,,213,,213,rf-2(-1)e13 lf-2e13
BAA,,"Severino,P",443,22,1,20,23,30.8,3.5,3,-11,14,20,14,21.5,37.5,24.2,0.5,0,-10,11,2/- (20-6),C,11,D,D,2,415,,,,,,,,"c-4(-2)e15,T-11(pb-5)"
BAA,,"Sisco,C*",281,57,15,8.9,32.8,14.3,1.8,3,-5,5,41,14,14.4,37.5,23,2,3,-7,3,-/- (---),E,9,D,D,2,401,,,,,,,,"c-4(+1)e1,T-16(pb-0)"
BAA,,"Smith Jr,D*",178,36,10,15.3,27.3,28.1,1.4,1,0,11,23,5,19.9,26.9,32.1,2.8,4,0,12,4/- (20-6),C,12,D,D,1,,,,,,412,,,lf-4(+2)e12
BAA,,"Stewart,D*",263,40,14,7.4,25.4,21,4.2,7,+1,0,31,21,11.5,36.5,27.4,4.6,8,+1,0,"2,4/- (15-6)",C,12,B,D,1,,,,,,418,,418,rf-4(0)e18 lf-4e18
BAA,,"Urias,R",68,16,12,33.3,48.3,47.7,1.5,1,-3,26,26,7,24.3,34.3,37.6,3,4,-3,29,-/- (---),E,11,D,C,1,,,471,,488,,,,ss-4e88 2b-4e71
BAA,,"Valaika,P",390,34,10,17.7,27.6,36.3,5.8,8,-8,14,28,0,23,23,28.7,1.8,2,-9,18,"2-5,11,12/- (3-1)",E,12,D,D,1,,407,404,413,448,416,,,ss-4e48 1b-4e7 2b-4e4 3b-4e13 lf-4(+1)e16
BAA,,"Velazquez,A+",189,32,7,18.9,26.9,34,2.3,w,-5,23,38,10,10.7,21.7,18,1.9,w,-5,20,"*2-6,11/- (17-13)",B,16,A,C,1,,,318,,310,304,304,,ss-3e10 2b-3e18 lf-3(+1)e4 cf-3e4
BAA,,"Williams,M*",47,11,0,16.4,16.4,18.3,0.6,0,-9,0,44,0,19.2,19.2,30.6,1,0,-9,0,2-12/- (3-1),E,13,D,C,1,,,,,,305,305,305,cf-3(0)e5 lf-3e5 rf-3e5
BOA,,"Arauz,J+",204,22,7,21.5,29.5,35.7,3.3,w,+8,0,24,6,17.3,24.3,21.9,0.8,0,+8,0,"2-4,12/- (13-6)",D,12,D,D,1,,,324,424,419,,,,2b-3e24 3b-4e24 ss-4e19
BOA,,"Arroyo,C",139,28,0,18.2,20.2,28.5,2.5,4,-11,30,16,8,22.8,32.8,34.8,2.8,5,-10,28,-/- (---),E,13,D,C,2,,,304,326,420,,,,2b-3e4 ss-4e20 3b-3e26
BOA,,"Benintendi,A*",119,38,25,6,34,14.4,1.8,3,0,13,28,20,13.8,36.8,22.1,0.5,0,-3,14,"*3-8/9,10,12 (15-8)",C,12,B,D,4,,,,,,302,,,lf-3(-1)e2
BOA,,"Bogaerts,X",561,17,11,32.9,45,48,3.4,5,-15,8,15,11,24,36,40.4,3.2,6,-12,8,*4/- (19-6),B,14,D,C,1,,,,,316,,,,ss-3e16
BOA,,"Bradley Jr,J*",533,29,14,21.1,38.1,32.9,2,3,-9,10,26,9,25.1,37.1,34.8,1.3,2,-10,11,"*4,5/- (16-6)",C,14,C,C,1,,,,,,,104,,cf-1(-2)e4
BOA,,"Chavis,M",402,44,1,12.4,16.4,28.6,3.8,7,-4,31,42,7,16.9,26.9,29.9,2,3,-7,21,3/- (20-6),C,12,D,D,1,,310,447,,,425,,,1b-3e10 lf-4(+1)e25 2b-4e47
BOA,,"Dalbec,B",225,58,7,18,29,53.2,9.2,8,0,0,52,15,11.7,30.7,33.2,6.9,8,-2,0,"4,5/- (13-6)",D,11,D,C,1,,424,,429,,,,,1b-4e24 3b-4e29
BOA,,"Devers,R*",641,27,2,22,26,32.2,1,1,+6,25,22,4,27.9,34,51,4.8,8,+6,22,"4,6/12 (13-6)",D,13,D,D,1,,,,441,,,,,3b-4e41
BOA,,"Lin,T*",144,37,7,7.3,16.3,14.6,1.6,w,+6,16,31,1,16.2,19.2,24.1,1.5,w,+6,16,"2-5,12/- (13-11)",D,14,B,C,1,516,,205,,364,406,406,406,"ss-3e64 2b-2e5 lf-4(+1)e6 rf-4e6 cf-4e6 c-5(+4)e16,T-20(pb-0)"
BOA,,"Martinez,J",586,27,9,20.3,31.3,43.5,5.4,8,-1,18,26,10,15.6,27.5,31.9,2.8,5,-1,18,2/- (20-6),E,11,D,D,1,,,,,,512,,512,rf-5(+1)e12 lf-5e12
BOA,,"Munoz,Y",121,31,0,36.7,38.7,40.7,0.1,0,-11,21,22,0,33.8,35.8,48.5,0.9,1,-11,20,"*4,6/- (18-12)",B,13,D,C,2,,,,,,409,,409,lf-4(-1)e9 rf-4e9
BOA,,"Peraza,J",309,0,6,20.7,30.7,34.8,1,w,-4,19,8,0,22.8,26.8,37.7,2.6,w,-4,20,*2-6/12 (15-10),B,15,D,D,1,,,321,465,312,409,,,2b-3e21 lf-4(0)e9 3b-4e65 ss-3e12
BOA,,"Plawecki,K",225,0,0,33.1,38.1,42.3,0.4,0,+4,32,20,9,23.1,37.1,40.2,3,w,+3,27,2/- (20-6),E,10,D,C,2,308,422,,,,,,,"c-3(+1)e8,T-1(pb-0) 1b-4e22"
BOA,,"Vazquez,C",487,19,10,20.8,31.8,32.3,3.8,7,-14,23,22,5,29,35,34.7,0.8,1,-16,25,"4,5/- (14-6)",C,11,D,D,2,301,,541,,,,,,"c-3(-2)e1,T-4(pb-3) 2b-5e41"
BOA,,"Verdugo,A*",555,21,5,40.5,47.5,51.6,0.2,0,-12,15,8,7,32.2,41.2,48,1.8,4,-12,15,5/- (16-6),C,14,D,D,1,,,,,,213,313,213,rf-2(-3)e13 lf-2e13 cf-3e13
CHA,,"Abreu,J",671,20,7,24.5,35.5,46.7,4.6,8,0,27,21,5,25.5,34.5,45.5,4.6,8,0,30,2/- (20-6),E,11,D,B,0,,215,,,,,,,1b-2e15
CHA,,"Anderson,T",583,13,8,39.8,49.8,75.7,6.4,8,-13,11,27,0,30.3,32.3,40,1.6,1,-14,15,"*5,6/- (17-12)",B,16,D,B,2,,,,,320,,,,ss-3e20
CHA,,"Collins,Z*",43,64,13,4.4,17.4,6.9,0,w*,0,0,37,17,6.4,23.4,15.4,1.3,1*,0,0,-/- (---),E,9,D,D,2,406,422,,,,,,,"c-4(+2)e6,T-8(pb-0) 1b-4e22"
CHA,,"Delmonico,N*",54,27,14,5.8,19.9,5.8,0,w,+4,29,14,11,14.3,25.3,18.5,0.4,0,+4,30,-/- (---),E,12,D,D,1,,,,,,408,,408,lf-4(+1)e8 rf-4e8
CHA,,"Dyson,J*",166,10,11,16.8,28.8,16.8,0,w,+6,12,13,7,13.7,21.7,22.2,2.8,w,+6,13,"*2-5,12/- (19-14)",A,17,C,D,1,,,,,,208,208,208,cf-2(0)e8 rf-2e8 lf-2e8
CHA,,"Encarnacion,E",437,27,27,6,36.9,23.4,5.8,8*,0,8,32,12,7.5,23.5,22.9,4.2,7*,0,12,-/- (---),E,10,D,D,1,,,,,,,,,
CHA,,"Engel,A",242,13,1,24.8,29.8,29.5,0.3,0,-2,7,38,4,17.9,25.9,27.9,1.3,2,-2,8,*6/- (19-11),B,17,D,C,1,,,,,,107,107,107,rf-1(-1)e7 lf-1e7 cf-1e7
CHA,,"Garcia,L+",164,10,0,42.3,43.3,57.6,2.5,4,-11,0,22,2,23.8,26.8,30.4,1.5,1,-11,0,"5,6/- (13-6)",D,15,B,B,4,,,412,,426,,,310,ss-4e26 2b-4e12 rf-3(-1)e10
CHA,,"Grandal,Y+",451,34,32,10.6,43.7,20.9,3.4,5,+7,14,35,21,12.1,34,24.4,3,4,+8,12,2/- (20-6),E,8,D,D,2,210,425,,,,,,,"c-2(-2)e10,T-1(pb-5) 1b-4e25"
CHA,,"Jimenez,E",587,35,4,24.8,29.8,41,5.4,8,-10,13,24,6,27.7,34.7,50.6,4.8,7,-9,14,-/- (---),E,12,D,D,1,,,,,,403,,,lf-4(-1)e3
CHA,,"Madrigal,N",282,0,0,27.1,31.1,27.9,0,w,+8,33,0,4,35.5,43.5,39.5,0,w,+8,31,*4-6/- (16-12),B,14,D,B,2,,,323,,,,,,2b-3e23
CHA,,"Mazara,N*",380,40,2,23.1,28.1,34.1,1.6,3,+10,0,30,6,18.6,27.6,27.7,1.4,1,+10,0,4/12 (13-5),E,11,D,C,2,,,,,,,,401,rf-4(-2)e1
CHA,,"McCann,J",279,21,13,30.6,47.7,45.5,3.3,4,-6,13,37,3,18,25,27.4,3,5,-6,16,6/12 (13-5),E,10,D,D,2,216,,,,,,,,"c-2(-2)e16,T-16(pb-3)"
CHA,,"Mendick,D",292,22,10,15.4,27.4,25.1,2,2,-7,18,17,6,21.4,29.4,29.3,1.3,2,-12,19,"*2-6,11/8 (15-7)",C,13,D,C,1,,,206,311,404,,,,2b-2e6 3b-3e11 ss-4e4
CHA,,"Moncada,Y+",563,46,18,18.2,38.2,21.4,0.4,0,-7,0,38,11,22.1,35.2,36.8,3,3,-8,0,"4,5/- (13-6)",C,14,D,B,1,,,,219,,,,,3b-2e19
CHA,,"Robert,L",580,27,9,22.7,34.7,35.4,2.8,4,-12,13,40,7,18.6,28.6,32.7,3.3,4,-9,14,*3-6/- (18-13),A,17,D,D,1,,,,,,,103,,cf-1(-3)e3
CHA,,"Sanchez,Y+",50,38,27,12.4,39.4,14.3,0,w,-6,21,21,18,29.9,47.9,49.4,1.1,0,-7,23,3/- (20-6),D,14,C,D,1,,,210,244,468,,,,3b-2e44 2b-2e10 ss-4e68
CHN,,"Almora Jr,A",86,12,6,18.5,26.5,27.6,3,w,-8,0,24,4,16.4,22.4,25.5,1.1,1,-7,0,3/- (20-6),D,13,D,C,1,,,,,,,205,,cf-2(-1)e5
CHN,,"Baez,J",617,33,0,21.3,23.3,37.7,3.4,5,-9,25,41,0,18.9,20.9,32.3,2.8,4,-9,28,"*4,6/- (17-11)",C,16,B,D,1,,,,,124,,,,ss-1e24
CHN,,"Bote,D",353,32,12,6.7,21.7,17.1,2,3*,0,29,32,13,13.7,29.7,24.2,2.8,4,+9,30,3/- (20-6),C,14,D,D,1,,425,334,222,,,,,3b-2e22 2b-3e34 1b-4e25
CHN,,"Bryant,K",358,22,19,25.4,50.3,43.7,3,5,-8,2,29,10,14.4,30.4,24.6,2.5,4,-7,3,2/- (20-6),E,15,D,D,2,,422,,325,,411,,,3b-3e25 lf-4(0)e11 1b-4e22
CHN,,"Caratini,V+",325,38,17,15.7,36.7,24.6,1.3,1,+9,19,20,5,21,30,27.6,0.3,1,+10,24,"4,5/- (3-1)",E,9,D,C,2,307,411,,,,,,,"c-3(-1)e7,T-1(pb-0) 1b-4e11"
CHN,,"Contreras,W",538,37,13,15.1,36.1,33.5,3.5,w,+3,17,27,11,18.8,37.8,29.3,1.8,3,+3,18,2-5/11 (13-7),D,12,D,C,1,201,,,,,,,,"c-2(-3)e1,T-10(pb-0)"
CHN,,"Hamilton,B+",91,47,9,8.8,17.8,15.6,1.8,2,-3,0,14,4,10.9,14.9,11.3,0,w,-8,0,"*2-7,11/- (20-16)",A,17,B,C,1,,,,,,,100,,cf-1(-2)e0
CHN,,"Happ,I+",552,45,19,15,36,17.7,0.9,0,-10,0,34,17,17.6,36.5,39.8,5.4,8,-4,0,*2-6/11 (15-7),C,13,D,D,1,,422,,,,303,403,403,cf-4(-1)e3 lf-3e3 rf-4e3 1b-4e22
CHN,,"Heyward,J*",432,20,10,16.8,28.8,23.7,0.8,1,-9,2,11,20,24.8,46.8,36.8,1.8,4,-14,0,4/- (17-6),C,15,D,B,1,,,,,,,,104,rf-1(-3)e4
CHN,,"Hoerner,N",315,7,6,22.8,31.8,26.6,0,w,+10,21,11,8,18.5,29.6,24.1,0,w,+10,20,*4-6/12 (15-9),B,16,D,B,1,,,213,337,316,,414,,2b-2e13 ss-3e16 3b-3e37 cf-4(+2)e14
CHN,,"Kipnis,J*",330,15,19,10.1,31,17.9,0.5,1,+9,3,33,10,19.8,31.8,35.5,2.3,5,+10,3,3/- (20-6),C,13,D,C,1,,425,417,,,,,,2b-4e17 1b-4e25
CHN,,"Martinez,J",244,38,11,11.4,23.5,22.5,1,1,+4,31,22,11,18,30,21.1,1,1,+4,29,-/- (---),E,11,D,C,1,,514,,,,,,,1b-5e14
CHN,,"Maybin,C",262,14,14,17,33,29.6,1.8,w,-6,28,32,8,21.8,31.8,31.5,0.6,0,-10,31,"*4,5/- (18-12)",B,13,D,C,2,,,,,,307,307,307,rf-3(0)e7 lf-3e7 cf-3e7
CHN,,"Phegley,J",45,23,0,7,12.1,20.5,3.8,6*,0,0,13,12,7.6,24.6,18.1,2,3*,0,0,-/- (---),E,9,D,C,2,401,,,,,,,,"c-4(0)e1,T-3(pb-20)"
CHN,,"Rizzo,A*",570,10,12,15.6,36.6,20.1,1.5,3,-4,17,8,10,18.3,37.3,33.2,3.8,8,-4,18,"4,5/12 (13-6)",C,11,D,C,1,,103,,,,,,,1b-1e3
CHN,,"Schwarber,K*",533,47,14,13.4,29.4,19.4,2,5,-9,8,34,19,11.4,32.4,27.6,5,8,-3,8,2/- (20-6),D,13,D,D,1,,,,,,406,,,lf-4(-2)e6
CHN,,"Souza Jr,S",75,44,25,12.5,40.5,26.1,2,3*,0,0,60,10,7.5,20.5,23.1,4.2,8*,0,0,*4/- (20-11),C,14,D,D,2,,,,,,308,,208,rf-2(-1)e8 lf-3e8
CHN,,"Vargas,I+",141,14,4,11.9,15.9,16.3,1.4,1,-8,30,2,0,32,32,40.5,0,0,-11,32,2/- (20-6),E,13,D,C,2,,430,317,424,,,,,2b-3e17 1b-4e30 3b-4e24
CIN,,"Akiyama,S*",446,24,6,18.5,26.5,23.9,0.4,0,+7,2,14,15,21.1,38.2,26.3,0.2,0,+6,2,"*2-6,11/- (15-12)",B,14,D,C,1,,,,,,104,304,,lf-1(-1)e4 cf-3e4
CIN,,"Aquino,A",140,48,4,12.9,23,22.7,3.3,3,+6,16,35,13,10.7,29.6,20.8,2.5,2,+5,14,3/- (20-6),D,14,D,C,1,,,,,,305,405,305,lf-3(-1)e5 rf-3e5 cf-4e5
CIN,,"Barnhart,T*",271,34,19,4.7,24.7,11,1,w*,0,13,19,14,14.3,29.3,28.1,4,5,+6,15,-/- (---),E,8,D,B,2,101,418,,,,,,,"c-1(-3)e1,T-3(pb-3) 1b-4e18"
CIN,,"Casali,C",223,27,14,18.1,37.1,35.1,5.1,6,-8,13,36,17,8.3,30.3,22.5,3.5,3*,0,15,2/- (20-6),D,9,D,C,2,301,,,,,,,,"c-3(-1)e1,T-12(pb-5)"
CIN,,"Castellanos,N",611,24,2,22.9,27.9,44.3,3.8,4,-8,18,31,8,19,30,39.5,3.8,4,-5,13,"4,5/11 (13-5)",D,12,D,D,0,,,,,,,,509,rf-5(0)e9
CIN,,"Colon,C",62,3,8,18.2,29.2,35.6,3,w,+4,30,5,1,10.3,14.4,22,3.5,w,+4,33,*2-8/- (15-13),C,12,C,C,1,,425,318,,,,,,2b-3e18 1b-4e25
CIN,,"Davidson,M",119,41,10,13.6,25.6,38.8,7.4,8,+6,27,46,6,4.4,12.4,11.5,2.3,2,+6,31,-/- (---),E,9,D,D,2,,412,,,,,,,1b-4e12
CIN,,"Farmer,K",178,8,1,39.2,42.2,56.3,2.1,w,-1,0,26,6,11,19,20.8,2.4,w,-1,0,3/- (20-6),D,12,D,C,1,,420,337,308,312,425,,,ss-3e12 2b-3e37 3b-3e8 1b-4e20 lf-4(+1)e25
CIN,,"Galvis,F+",405,17,0,25.6,28.6,39.6,2.5,1,-10,26,23,7,16.6,26.6,25.5,2.3,3,-9,23,"2-5,10/11 (13-7)",C,13,D,C,1,,,306,,416,,,,ss-4e16 2b-3e6
CIN,,"Garcia,J",179,28,0,21.6,23.6,28.9,2.4,w,-4,13,52,0,9.2,11.2,16.4,2.4,w,-4,13,*2-6/12 (15-10),C,13,D,D,1,,,,,317,,,,ss-3e17
CIN,,"Goodwin,B*",406,47,3,11.4,16.4,27.2,3.8,5,-1,8,42,11,18.9,31.9,35.6,2.5,2,-5,10,*5/- (20-6),B,13,D,D,1,,,,,,304,304,304,cf-3(0)e4 lf-3e4 rf-3e4
CIN,,"Jankowski,T*",42,34,2,6.4,8.4,6.4,0,w,-4,33,40,15,12.5,27.5,12.5,0,w,-7,27,*3-6/- (18-15),B,16,D,D,1,,,,,,204,204,204,cf-2(0)e4 lf-2e4 rf-2e4
CIN,,"Moustakas,M*",399,15,4,21.3,29.3,36,3.3,4,0,24,22,11,15.1,30.1,36.2,5.8,7,0,22,2/- (20-6),D,11,D,D,2,,321,404,420,,,,,2b-4e4 1b-3e21 3b-4e20
CIN,,"Payton,M*",51,74,3,9.9,12.9,11,0,w,-6,13,22,9,17.5,26.5,24.9,0.4,0,-8,32,3/- (20-6),D,13,D,C,1,,,,,,401,,,lf-4(+1)e1
CIN,,"Senzel,N",196,7,8,8.5,17.5,21,2.2,1,+6,23,29,10,21.7,32.7,35.5,1.6,0,+6,21,"*2-7,12/- (15-13)",B,15,D,C,2,,,,,,,408,,cf-4(-1)e8
CIN,,"Stephenson,T",49,51,3,22.5,33.4,39.3,4.8,5,-8,0,29,18,17.4,43.4,30.6,3.7,5,-7,0,-/- (---),E,8,D,D,2,416,,,,,,,,"c-4(0)e16,T-20(pb-0)"
CIN,,"Suarez,E",556,36,21,11.1,35.2,32.6,5.6,7*,0,14,34,15,11.6,29.6,29.4,5,7,-2,16,3/- (17-6),D,11,D,D,1,,,,314,,,,,3b-3e14
CIN,,"Votto,J*",519,20,27,13.4,42.4,17.1,1.3,2,-9,15,12,21,18.3,41.3,33.6,3.3,4,-7,14,2/- (20-6),D,10,D,C,1,,417,,,,,,,1b-4e17
