Name,Pos,Player Type,ETA,Age,Country,Agent/Trainer,Proj Team,Bonus,Ht,Wt,B,T,FV,Risk,Report,Video,playerId
"Cristian Santana","SS","Int'l Amateur",2021,"17.2222222","Dominican Republic",,"DET",,"6' 0""","165","R","R","45","Med","Among the more polished hitters in the class, Santana's swing is compact but dynamic throughout the hitting zone, he has natural feel for all-fields contact and his swing's gentle loft creates power without compromising much contact. He's this year's Placido Polanco comp, projecting to play second or third and hitting enough to profile there.",,
"Tomoyuki  Sugano","RHP","NPB",2022,"31.3444444","Japan",,,,"6' 1""","183","R","R","45","Low","Sugano has a 2.34 career ERA in seven NPB seasons, all as a starter. In 2020 (at age-31), his fastball velo gained a tick on average, and now sits parked at 93 mph. It is one of five offerings in Sugano's arsenal, the best of which are his splitter (which he threw more of this season) and a slider that's a 45-grade pitch in a vacuum but plays because Sugano locates it so consistently. He has sort of an odd windup. His torso rotates clockwise while his hips and lower half remain stationary, almost like the two halves of a twisted Oreo coming apart, before things normalize and look like a typical delivery. It's a little deceptive and, along with fantastic command, helps Sugano's average stuff play. He'll likely plug into the middle of a major league rotation immediately.",,
"Cristian Hernandez","SS","Int'l Amateur",2021,"17.1722222","Dominican Republic","Mejia","CHC",,"6' 1""","170","R","R","45","High","A high-probability shortstop with a long-limbed, projectable frame, Hernandez is your traditional international amateur who excels in a workout environment. His infield actions are smooth and athletic, his swing has a gorgeous, pronounced finish, and he has the right amount of overt physical projection that may see him mature into the unteachable, star-making Goldilocks Zone where Hernandez stays at short and also has impact power. The components of Hernandez's swing push and pull against one another, as his cut is pretty long but he also has very advanced barrel control. He's able to pull his hands in and get the barrel on inside pitches and he also has good vertical plate coverage. The downward sweeping nature of the swing might dilute Hernandez's game power relative to his projected raw, but the Cubs have had some recent success in tweaking swings like this.","MnL6q-LWx3o",
"Baek-ho  Kang","LF","KBO",2025,"21.5444444","South Korea",,,,"6' 0""","215","L","R","40+","Med","Kang had a decorated high school career and was the first pick in the 2017 KBO draft. He had an immediate impact, clubbing 29 home runs as a rookie and setting a league record for a sophomore-season salary. He has big time, all-fields power and often mis-hits balls into the opposite field gap for doubles. A heavier guy, Kang may be a first base-only athlete by the time he's eligible for MLB free agency (he used to pitch and catch, too, but plays only outfield now), but he's a better natural contact hitter than Sung-bum Na.",,"kr3012665"
"Jonathan Mejia","SS","Int'l Amateur",2022,"15.8416666","Dominican Republic",,"STL",,"6' 0""","160","S","R","40+","Med","I saw Mejia in-person during an MLB workout in Scottsdale. He's a medium-framed switch-hitting shortstop with advanced feel for contact.",,
"Yiddi Cappe","SS","Int'l Amateur",2021,"18.4944444","Cuba","Yolfri Sanchez","MIA",,"6' 3""","175","R","R","40+","High","There are differing opinions on Cappe, with some teams enthusiastic about the lanky, toolsy shortstop's upside while others see him as a workout type with questions surrounding his in-game ability. He hit the market way back in 2019 when many teams had already committed their pool money, and was rumored to have made a $3.5 million deal with Miami to wait 12 months until July 2nd of 2020 when pools reset. That became a longer wait because of the pandemic.","QPKJomTmAVM",
"Pedro Leon","RF","Int'l Amateur",2021,"22.7138888","Cuba",,"HOU",,"5' 9""","200","R","R","40+","High","A 5-foot-9 stick of dynamite, Leon has a big power/speed/arm tool trinity. He was cleared to sign last December but an oblique injury moved back his workout. When it was finally held, teams got a text on the way there saying that Leon had a deal with Houston already done. He hit 15 home runs in 33 Cuban National Series games before a shoulder injury sidelined him. The shoulder is healthy, and with his power, elite arm strength and incredible bat speed from the right side, Leon is the sort of player who would have prompted teams to burst through their bonus pool when they weren't hard-capped. The success rate of Cuban hitters, especially ones who have had a long time away from baseball during their relocation process and pre-eligibility period, is highly variable.",,
"Jarlin Susana","RHP","Int'l Amateur",2022,"16.8944444","Dominican Republic",,"SDP",,"6' 5""","195","R","R","40+","High","Susana had a very, very late spike in velocity and progressed from throwing in the mid-80s to the mid-90s during a very short period of time. Because he popped up late relative to his peers, his deal may be for next January rather than during the 2021 calendar year. He's your typical big-framed, big-armed teenage pitching prospect with both extreme risk and upside.",,
"Dyan Jorge","CF","Int'l Amateur",2022,"17.9083333","Cuba","Magnus","COL",,"6' 2""","160","R","R","40+","High","He plays the game upright, without a lot of bend in his knees and hips, but Jorge is a premium rotational athlete with plus present bat speed and a Division-I cornerback build that portends more power. He is one of a few high-variance shortstop prospects in the class.",,
"Jesus Galiz","C","Int'l Amateur",2021,"17.1833333","Venezuela","Emiro Barboza","LAD",,"6' 1""","180","R","R","40+","High","Every year it seems like there is a top-of-the-class, well-rounded Venezuelan catcher lauded for his defensive acumen, and this year it's Galiz. He's a physical young man with plus raw arm strength and a solid-but-unexplosive contact/power blend. Teenage catching, no matter where it comes from, is volatile, but Galiz is a potential everyday big leaguer.",,
"Manuel Pena","3B","Int'l Amateur",2021,"17.1944444","Dominican Republic",,"ARI",,"6' 2""","175","L","R","40+","Med","Pen?a is a physical, big-framed third base prospect with a good-looking swing.",,
"Cristian Vaquero","RF","Int'l Amateur",2022,"16.4222222","Cuba",,"WSN",,"6' 3""","170","L","R","40+","High","Vaquero has the most projectable frame in his entire amateur class and might be committed to play wide receiver at some ACC school had he been born in the States. Instead, he's a huge power/speed prospect with a questionable bat.",,
"Victor Acosta","SS","Int'l Amateur",2021,"16.6805555","Dominican Republic","Hector Evertz","SDP",,"5' 11""","165","S","R","40","Med","As is often the case for a switch-hitter this age, Acosta's two swings are fraternal rather than identical twins and they vary in their efficacy. His barrel drags through the zone from the left side, making it hard for him to turn on pitches and causing him to pepper the opposite field; his righty swing is more generic. But he gets the bat to the ball from both sides and, though small, is a pretty dynamic athlete who might grow into some pop the way D-backs shortstop Geraldo Perdomo has. Acosta has plus defensive feet, hands, and actions, making him a likely shortstop. If he can make even average contact while playing a good defensive middle infield, he'll have a long big league career.",,
"Manuel Beltre","SS","Int'l Amateur",2021,"16.6833333","Dominican Republic","Jaime Ramos","TOR",,"5' 11""","165","R","R","40","Low","Because he has spent so much time playing travel ball in the US (he's committed to FIU), Beltre is easily the most-scouted player on the International Players tab of The Board, even more than the foreign pro players. He's hit well in games against US high schoolers while playing sound infield defense at various positions. He's not all that toolsy but does have sneaky power for his size and he's perhaps the most driven, baseball-loving youngster in the class. He looks like a utility infielder if you just evaluate the tools, but scouts love the makeup and think it may carry him to an everyday role.",,
"Yeferson Tineo","SS","Int'l Amateur",2021,"17.2638888","Dominican Republic","Eddy Fontana",,,"6' 0""","170","S","R","40","Med","Tineo is a very twitchy, switch-hitting shortstop with plus hands and actions, a plus arm, and good bat control for such a young switch-hitter. He is very slight of build.",,
"Cesar Prieto","2B","CNS",2024,"21.7638888","Cuba",,,,"5' 8""","170","L","R","40","Low","Prieto is the best pure hitter in Cuba. He broke Kendrys Morales' rookie hits record then broke the Series Nacional's hit streak record (40 games) in 2020 while striking out just six times in 250 plate appearances. His swing and game resemble Eric Sogard's.",,
"Kohei Arihara","SP","NPB",2021,"28.5111111","Waseda University (JPN)",,"TEX",,"6' 3""","225","R","R","40","Low","A modest velocity increase and increased use of both his sinker and changeup coincided with an uptick in Arihara's strikeout rate the last two years he pitched in Japan. His splitter, which sometimes leaves his hand with slider action, and changeup are the best of his many pitches. Though you'll occasionally see Arihara toss in a lollipop curveball around 70mph, he more evenly mixes a four seamer, sinker, slider, cutter, and the two offspeed pitches. The result is a very deep repertoire of modest quality, pitches that, aside from the change of pace stuff, relies on location to get outs rather than pure stuff. But Arihara does throw plenty of strikes. He has had one of the ten-lowest walk rates among qualified starters in NPB four of the last five years. He projects as a back of the rotation starter.","1QN18dc8f70",
"Raul Alcantara","RHP","KBO",2021,"28.1972222","Dominican Republic",,,,"6' 4""","220","R","R","40","Low","The 2020 KBO strikeout leader, Alcántara is quite the same as when he was an A's relief prospect: He throws hard (sitting 93-96), throws strikes, and has a plus splitter and a very inconsistent slider. He projects as a single-inning middle reliever in MLB, meaning it might be more lucrative for him to stay in Korea as a team's ace.","S136b9V9Tcw","12790"
"Norge Vera","RHP","Int'l Amateur",2021,"20.7055555","Cuba","Movement Mgmt","CHW",,"6' 3""","185","R","R","40","Med","Vera has been up to 97 but during pre-agreement workouts he lived in the 90-94 range. He has a cutter, curveball and changeup, all of which are occasionally good, but inconsistent. He's about the age of a 2021 college pitcher, and his stuff and frame are comparable to those of Florida's Tommy Mace, who also has a big frame and arm but three inconsistent secondaries.","QEVU9Rx1GQk",
"Angel Genao","SS","Int'l Amateur",2021,"16.7388888","Dominican Republic","Aldo Marrero","CLE",,"5' 11""","150","R","R","40","Med","Cleveland seems to prioritize switch-hitting, up-the-middle players in the international market and they have yet another in Genao, who has become much more physical in the months leading up to signing. His swing is crude from both sides but he's a good athlete with a good frame.",,
"Armando Cruz","SS","Int'l Amateur",2021,"17.0805555","Dominican Republic","John Carmona/Republik","WAS",,"5' 11""","165","R","R","40","Low","Cruz is the consensus best defensive player in the 2020 amateur class, a flashy and acrobatic shortstop defender. He is not very physical and needs to get much stronger in order to be a viable offensive player, and there's no consensus as to whether he will. His measurables indicate projection, but he is slightly built. A good and reasonable outcome here is a Freddy Galvis or Nick Allen type of player.","SlvxEVoIAAc",
"Carter Stewart","RHP","NPB",2025,"21.2861111","USA","Boras",,,"6' 6""","220","R","R","40","High","Stewart was among the top high school pitchers in the 2018 draft. The Braves picked him eighth overall, but flunked his post-draft medical (wrist) and tried to sign him for a reduced amount. During that stretch, the relationship between the player and the team disintegrated and Stewart, who was committed to Mississippi State, chose not to sign. Rather than go to Starkville, he spent a year at a Florida junior college to re-enter the draft, but his stuff took a dive and so did his stock. He made a move to Japan with eyes on pitching there until he's granted unrestricted free agency after six years. His first season, in Japan's Western League (basically their minors) was unremarkable, but at peak he had a mid-90s heater and 70-grade curve.",,
"Sung-bum Na","DH","KBO",2021,"31.3666666","South Korea",,,,"6' 0""","220","L","L","40","Med","Na has been a dominant offensive force since his second pro season in Korea, averaging about 70 extra-base hits annually during his full seasons there. A catastrophic knee injury during an awkward slide cut short his 2019 season, which at the time was rumored to be his final year in the KBO. Instead, Na returned for 2020 and set a career high in homers (34) while mostly DHing. His breaking ball recognition isn't great and he's somewhat whiff-prone, but he is bringing impact power from the left side of the plate to MLB. He profiles as a valuable DH/OF platoon piece, though there's some bust potential here because of the contact-related yellow flags.","q_BsBNMYU8Q","kr3012352"
"Oscar Colas","RF","NPB",2021,"22.4111111","Cuba","Movement","MIA",,"6' 1""","209","L","L","40","Med","A curvaceous Cuban two-way player, Colas was released from his NPB contract in early-December after he and the SoftBank Hawks fought about the deal's validity for most of 2020. He's up to 95 on the mound but hasn't pitched very much and is probably a more stable prospect as a lefty 1B/DH/RF type. Tipping the scales at over 250 pounds during his time in Japan, he's purported to have slimmed down and looks more svelte during recent workouts.","e6zgbTNujR0",
"Denzer Guzman","2B","Int'l Amateur",2021,"17.0194444","Dominican Republic","Juan Rodriguez/Republik","LAA",,"6' 2""","175","R","R","40","Med","Another prospect who has obvious frame-based power projection but is a fringe athlete, Guzman is an upright swinger with advanced feel to hit. He's likely a long-term fit at second base rather than short.","eqwJM3quywk",
"Cheng-Jui Sung","RHP/CF","CPBL",2027,"18.5027777","Taiwan",,,,"5' 11""","171","R","R","40","High","Sung was a two-way player as an amateur but is currently listed as a pitcher on the Chinatrust Brothers roster. He's somewhat projectable, up to 95, and his fastball has backspin/carry traits on the mound. I actually prefer him as a center fielder thanks to his speed, defensive instincts and feel for contact.",,
"Ismael Javier","SS","Int'l Amateur",2022,"15.4666666","Dominican Republic",,,,"5' 9""","145","S","R","40","High","Javier packs surprising punch for his size and has uncommon, precocious bat control from both sides of the plate. His feet and actions are a comfortable infield fit, while his arm strength fits better at second base right now and should be fine at shortstop at maturity.",,
"Shalin Polanco","CF","Int'l Amateur",2021,"16.4055555","Dominican Republic","Sandy Nin","PIT",,"6' 0""","170","L","L","40","Med","I have mixed reports on Polanco, with some considering him a low-ceiling corner outfield prospect with a profile driven by his hit tool, while others see a big frame and power projection with swing-and-miss risk.",,
"Miguel Bleis","RF","Int'l Amateur",2021,"16.9555555","Dominican Republic","Mejia/Republik","BOS",,"6' 2""","170","R","R","40","High","Bleis is a righty corner outfield power projection prospect with a whippy, low-ball swing and room for about 30 pounds on his frame.",,
"An-Ko Lin","LF","CPBL",2025,"23.7388888","Taiwan",,,,"6' 3""","200","L","L","40","Med","Lin led his league in homers in 2020, his second consecutive year with 30 or more bombs. He is eligible to leave for a foreign league after 2021 but he might be best served to go to NPB and prove he can hit a better tier of pitching for three years more so that, if he hits enough, he can be a true MLB free agent at age 28.",,
"Danny De Andrade","SS","Int'l Amateur",2021,"16.8472222","Venezuela","Jaime Ramos/Republik","MIN",,"6' 0""","165","R","R","40","Med","De Andrade is an international prospect straight out of central casting. He has a well-rounded collection of tools hovering around average quality, he's got a relatively projectable frame, and precocious baseball feel and instincts. He is not a remarkable or especially explosive athlete right now.",,
"Tzu-Hao Lin","3B","CPBL",2027,"18.8777777","Taiwan",,,,"6' 1""","172","L","R","40","Med","The second overall pick in the 2020 CPBL draft is very projectable, has a graceful fluidity about his overall game, and has fairly advanced feel to hit. He needs to grow into power to profile at third.",,
"Victor Lizarraga","RHP","Int'l Amateur",2021,"16.5888888","Mexico",,"SDP",,"6' 4""","180","R","R","35+","Med","This is the second year in a row that the Padres have signed the best young pitcher from Mexico, another projectable, athletic righty with middling present stuff but a frame on which you can dream.",,
"Starling Aguilar","1B","Int'l Amateur",2021,"17.0527777","Dominican Republic","Santin/Republik","SEA",,"5' 10""","180","L","R","35+","Med","A big-bodied, lefty power prospect, Aguilar has among the most present raw power in the class but scouts are split as to whether he'll end up at third or first base.",,
"Yoelqui Cespedes","CF","CNS",2021,"23.3916666","Cuba","Magnus","CHW",,"5' 9""","205","R","R","35+","High","As you'd expect given his lineage, Cespedes has prodigious physical gifts, including elite arm strength. I do not think he'll hit enough to play a big league role, though. His long, noisy swing causes him to be late on velocity and Cespedes hasn't played or seen live pitching regularly for nearly four years, and when he has played, he's struck out a bunch. The error bar around Cuban players is big because the context in which they're evaluated is often strange, but I'm pessimistic about the bat based on the info I have.",,
"Jhonny Piron","CF","Int'l Amateur",2021,"16.7027777","Dominican Republic","Quality BB Acad.","TBR",,"6' 2""","175","R","R","35+","High","Piron is a speedy, raw athlete with a pull-happy swing.",,
