Name,Org,Pos,Current Level,Top 100,Org Rk,Trend,FV,ETA,Risk,Age,Ht,Wt,B,T,Sign Yr,Sign Mkt,Sign Org,Bonus,Signed From,Report,Video,playerId
"Marco Luciano","SFG","SS","A-",11,0,,"60",2023,"High","19.3555555","6' 2""","180","R","R",2018,"J2","SFG",2600000,"Dominican Republic","There's no change to Luciano's blurb from last year, both because my thoughts on him haven't changed after my Fall look and because, well, I can't do better than this: The Giants' dusty, tightly-confined backfields abut a gym with the sort of athleisure-wearing clientele you'd expect in Scottsdale. In January of 2019, when most baseball facilities across the country were dark, just feet away from oblivious Peloton riders and tennis-playing retirees, a few lucky scouts and media folks had a religious experience watching the sweetest-swinging teenager on Earth absolutely roast balls fed to his barrel by a high-speed pitching machine. Because of how close you can sit next to the field there, you can feel the sonic force of bat-to-ball impact radiate into your body. When Marco Luciano connects, you feel it to your core. He is not normal. To find bat speed comps you need to look toward Javier Báez, Eric Davis, or whoever the top of your mental catalog might be. And while he already generates plenty of it, Luciano's square-shouldered frame indicates more power might be coming. The length created by Luciano's natural, uppercut swing is offset by the explosiveness in his hands; he's not particularly strikeout-prone and he doesn't take out-of-control hacks. Unless something unforeseen is exposed about Luciano's approach as he moves through the minors, all of this power seems likely to actualize. His AZL walk rate is encouraging early evidence that he's unlikely to be so exposed.
As an athlete and infielder, Luciano is only fair. He might play a passable shortstop one day because his hands and actions are fine most of the time, but he can't presently make strong, accurate throws from multiple platforms. It looks increasingly likely that he'll move to the outfield, enough so that some scouts have him projected there, but it's too early to cut bait and move him. He has elite hitting talent, he's produced on paper, and he already has average exit velos and a hard-hit rate that grade as 65s on the scale. If he continues to perform, especially if he hits his way to the upper levels, then this time next year we'll be talking about Marco Luciano as one of the best prospects in baseball, and if he does so while improving his infield defense, perhaps <em>the</em> best. <em>(Alternate site, Fall Instructional League)</em>","UrZDHmjnjrY","sa3010022"
"Luis Patino","TBR","SP","MLB",12,3,,"60",2021,"High","21.3083333","6' 0""","192","R","R",2016,"J2","SDP",120000,"Colombia","Even though I don't share it, I think it's fair to say Patiño's 2020 debut reinforced the doubt that some front office personnel have expressed each of the last two offseasons about his ability to start. Some of that doubt is the result of his size (I specifically don't have these concerns), while the rest is the result of his sub-par control/command. Indeed Patiño's BB/9 rose as he was promoted to each of his previous four minor league levels, culminating in a gnarly 16.5% walk rate during a small 2020 big league sample. For someone as short as Patiño is, his arm swing is actually quite long, and his tactile feel for release has seemingly regressed as he's gotten more muscular. But remember that this is one of the better on-mound athletes in the minors, who is still only the age of a college prospect, and who hasn't had elite velocity for very long. Since he signed, Patiño has gained about 40 pounds and added about 10 ticks of fastball velocity. More important context: Patiño is a converted infielder who has only been focused on pitching for about five years, and one of those was seriously disrupted by the pandemic. Certainly Patiño needs to find more mechanical consistency and his fastball location needs to move north. Plus, his changeup feel is still quite raw. But if this guy were at LSU or UCLA, we'd be talking about him as the odds-on favorite to go number one overall in this year's draft. I still project Patiño as a multi-time All-Star starter. <em>(Alternate site, MLB)</em>","k11tj7Ee2qs","22815"
"Ian Anderson","ATL","SP","MLB",13,0,,"60",2021,"Med","22.7916666","6' 3""","170","R","R",2016,"Draft","ATL",4000000,"Shenendowa HS (NY)","Anderson made a half-dozen regular season starts in 2020 and while he had some strike-throwing hiccups throughout, he struck out a ton of big league hitters and was nails when the lights were brightest in October. Everything he throws comes out of a very deceptive overhand slot that makes it difficult for hitters to parse his curveball from his fastball, and Anderson knows how to use each to set the other one up for a finishing blow. But Anderson's best weapon is his changeup, which has a lethal combination of tail and dive. He's no sniper, but Anderson can throw all three pitches for strikes and induce chases with all of them. He's a high-probability mid-rotation starter and is likely to graduate from rookie status just a few weeks into the 2021 season. <em>(Alternate site, MLB)</em>","tgygzB4auuw","19951"
"Andrew Vaughn","CHW","1B","A+",14,1,,"60",2021,"Low","22.8722222","5' 11""","215","R","R",2019,"Draft","CHW",7200000,"Cal","Vaughn spent 2020 at the unscoutable alternate site, but his most telling at-bats were all very visible as they're the ones he took off big league pitching, first during spring training and then during Chicago's intrasquad preparation for the season. He hit .259/.394/.444 in the spring off of admittedly diluted pitching, then grinded out long, tough at-bats during the summer tune-up against a staff that would turn out to be quite good. He's also one of the more decorated college hitters ever, slashing .374/.495/.688 at Cal. 
He's very likely to clear the high offensive bar at first base. He's not a great feet-and-hands athlete on the infield but Vaughn's swing is pretty athletic, and sweet. He doesn't chase and seems to have a narrow early-count approach focused on pitches he can crush. He's less able to damage well-executed breaking stuff away from him, but he often spoils those pitches or puts them in play and, again, typically doesn't offer at them until he has to. There's a clearer path to the big leagues for Vaughn now that Edwin Encarnacion and Nomar Mazara are no longer on the roster (I talk more about this in the System Overview), and he'll likely play in the big leagues in 2021. He continues to project as an All-Star first baseman. <em>(Alternate site)</em>","cPv9SsBcKQk","sa3011226"
"Brandon Marsh","LAA","CF","AA",15,0,,"60",2021,"Med","23.1638888","6' 2""","215","L","R",2016,"Draft","LAA",1073300,"Buford HS (GA)","There's no change to Marsh's report since he was at the alternate site all year and not at instructs. He only got three big league spring training at-bats before the shutdown, so there's no way of knowing what kind of impact the swing changes it appeared Marsh made in the Fall of 2019 will have on his offensive output, though I expect we'll soon find out. It's possible the wait is over and that Marsh's swing is now in a place that will enable him to hit for power more in line with the thump he shows in batting practice, but his in-season slugging performance (.428 in 2019, up from .385 the year before) is not the evidence for that. Marsh still hit the ball on the ground a lot during the regular season and only averaged about five degrees of launch angle, but by his 2019 Fall League stint, things clearly looked different. Like Jo Adell showed late in the Fall, Marsh's hands loaded a little farther out away from his body and he had what some scouts called a ""wrap"" or ""power tip,"" where the bat head is angled toward the mound a bit, setting up more of a loop than a direct path to the ball. I thought he lifted the ball better during that six week stretch and did so without compromising his strong feel for contact. He could blow up this year. He's also a clean fit in center field and his range out there might be better than Trout's is at this point, though obviously the notion of moving Trout to a corner comes with other considerations. I think Marsh is an All-Star talent. <em>(Alternate site)</em>","f6w57ie4WkA","sa917944"
"Dylan Carlson","STL","LF","MLB",16,0,,"60",2021,"Med","22.3166666","6' 3""","210","S","L",2016,"Draft","STL",1350000,"Elk Grove HS (CA)","Carlson is balanced and coordinated while hitting from both sides of the plate, his left-handed swing has gorgeous lift and finish, and he has advanced bat control and rare on-field poise for a switch-hitter his age. He's also athletic and moves well for his size. I still have some questions about his ultimate upside because I think he's much more likely to end up in left field than in center. His instincts in center are okay, but I don't think he has the long speed that is typical at the position. His 2019 minor league TrackMan data indicates his statline from that year was a bit of a caricature, but his Savant page indicates the opposite with regard to his 2020 debut struggles. I wonder if pro models are overrating Carlson due to his age because even though he's only 22, he doesn't have the physical projection you'd expect of a hitter that age. Of course, it's not like Juan Soto still has physical projection, either. The league-average offensive production in left field has been lower than you might expect (good for a 100 wRC+ over the last five years) and Carlson might also be able to play a situational center field when the Cards are behind and need offense, as well as some first base. That versatility is valuable icing on a switch-hitting cake. <em>(Alternate site, MLB)</em>","5Qo_OiBtqnA","20126"
"Alex Kirilloff","MIN","RF","AA",17,1,,"60",2021,"Med","23.2722222","6' 2""","210","L","L",2016,"Draft","MIN",2817100,"Plum HS (PA)","I remember the remarkable consistency with which Kirilloff struck balls deep into the outfield during the 2016 PG All American Game Home Run Derby. His swing looked much different than all the other kids'. At the time I wasn't sure whether that was good, or if I thought it would work in actual pro games. I've seen other high schoolers hit balls much harder and farther than he did at that age, but I still haven't seen anyone scoop the ball in the air with that kind of consistency in a derby or BP setting. And now Kirilloff -- despite missing 2017 due to Tommy John, and after dealing with recurring right wrist issues that tanked his offensive output in 2019 then being unable to rebound statistically in 2020 because of the pandemic -- was asked to make his big league debut during the playoffs and is likely to be handed an everyday role in 2021. The departure of both Eddie Rosario and Nelson Cruz means the Twins need two more big league lineup cornerstones, and Kirilloff is the by far most likely internal candidate to be one right away. 
Healthy Kirilloff is going to hit and hit for power. Part of why I was skeptical of his swing in high school is because he strides open, his front foot drifting way down the first base line rather than back toward the pitcher. This allows him to turn on balls most hitters are jammed by, but he still has the plate coverage and swing path to lift contact the other way when pitchers work away from him. Ironically, Eddie Rosario's swing worked in a similar fashion, and the two are also similarly free-swingers. I was skeptical of Rosario's at the time (incorrectly), and he doesn't have the kind of power Kirilloff does. A thickening build has slowed Kirilloff down, and he's now spent some time at first base after beginning his career in CF/RF. I think we'll see him play a combination of first base, right field and DH depending on the starter the Twins are matched up against on a given day. Corner bats who like to swing as much as Kirilloff does can be pretty risky, but I have a high degree of confidence in this one because he tracks pitches well and sprays hard contact all over the place. I think he's going to be a 3-ish annual WAR, middle-of-the-order anchor. <em>(Alternate site, MLB)</em>","l3xPPnRQA7o","sa917929"
"Matt Manning","DET","SP","AA",18,0,,"60",2021,"High","23.0527777","6' 6""","215","R","R",2016,"Draft","DET",3505800,"Sheldon HS (CA)","A large part of the reason Manning ranked first on last year's Tigers list was because he had neither Casey Mize's injury red flags nor Tarik Skubal's relief risk. Then in late August, he was shut down with a forearm strain, the first real blemish on what had been an immaculate track record of arm health (his 2018 IL stint was due to an oblique injury). Manning has publicly downplayed the severity of that injury and has been healthy and throwing all offseason without issue. I'd rather he have been totally healthy, but this injury doesn't seem severe enough to alter his stock. 
All of the physical components that many front-end arms have while they're in high school were present when Manning was an amateur -- shooting guard frame, premium arm strength and athleticism, a breaking ball -- and remain so today. He has pretty good feel for location and balance for a young 6-foot-6 guy who takes such a gargantuan stride off the mound, and that should continue improving with time and reps. Manning starts on the extreme first base side of the rubber and has a cross-bodied, drop-and-drive style delivery that creates flat angle on his fastball, which gets on hitters quickly. And Manning goes right at hitters with that fastball (60% in-zone rate in 2019), which has the cut/carry traits typical of a power pitcher's fastball. His arm slot is much different now than it was in high school, a testament to Detroit's dev group and Manning's ability to make adjustments without a drop off in on-field performance. Since entering pro ball, his walks have come down, Manning's changeup has gotten better, and he started working with two different fastballs and was clearly manipulating the shape of his spike curveball depending on the hitter and situation in 2019. Now he's working on a second breaking ball. Assuming the forearm issues are behind him, Manning has front-end starter ceiling and will likely make his big league debut in 2021. <em>(Alternate site)</em>","k-sipbEctAU","sa917924"
"Bobby Witt Jr.","KCR","SS","R",19,0,,"60",2023,"High","20.675","6' 1""","190","R","R",2019,"Draft","KCR",7789900,"Coleyville Heritage HS (TX)","How much contact does Bobby Witt Jr. need to make to be a star? He swung and missed a lot during his showcase summer but Witt's subsequent fall and spring were strong enough to make him the second overall pick of the 2019 draft class. His skillset compares quite closely to Trevor Story's. There are going to be some strikeouts but Witt is a big, athletic specimen who is very likely to not only stay at shortstop but be quite good there. He also has a swing geared for pullside lift (he can bend at the waist to go down and yank balls away from him, too) and the power to hit balls out even when he swings a little flat-footed. He is the son of a former big leaguer and carries himself like one, which has endeared him to scouts and coaches during the course of a high-profile amateur career laden with very high expectations. His debut statline lacked power on the surface, but the batted ball data suggests we shouldn't worry. <em>(Alternate site)</em>","t9XYmBesagk","sa3011225"
"Julio Rodriguez","SEA","RF","A+",20,0,,"60",2022,"High","20.1333333","6' 3""","225","R","R",2017,"J2","SEA",1750000,"Dominican Republic","I think it makes more sense to draw conclusions from Rodríguez's stint with Escogido rather than whatever he did at the Mariners' alternate site after he returned from his broken wrist (suffered in mid-July, Julio's second fracture in his left hand/wrist area), where he saw the same handful of pitchers over and over again in a non-competitive environment (I didn't get an instructs look). His approach in Dominicana was bad, and his swing's front foot variability, which I wrote about last year, was gone. Julio is now a bucket strider: he strides open like he's trying to pull everything. Some hitters can do this and still manage to really get their arms extended to cover the outer half of the plate (Eddie Rosario, Kirilloff), and Rodríguez absolutely has the strength to do damage the other way if he turns out to be this kind of hitter. But he swung inside an awful lot of well-located sliders in LIDOM. Not nasty sliders -- a bunch of fringe big leaguers and indy ball guys pitch in LIDOM -- just well-located ones, something there's no shortage of in the big leagues. He either needs to be in position to dive and spoil some of these, or just do a better job of laying off them entirely. The calling card power and makeup are still present, and Rodríguez's 35-plus homer, All-Star slugger ceiling remain the same, but to me his 2020 was an indication that adjustments might slow his ascent through the system and that I was overconfident in stuffing him in last year's top 10. <em>(Alternate site, Fall Instructional League, LIDOM)</em>","fm1zz74sRbc","sa3005720"
