TM,Location,PITCHERS,IP,SO vlhp,BB vlhp,HIT v lhp,OB v lhp,TB v lhp,HR v lhp,BP v lhp,DP vlhp,SO v rhp,BB v rhp,HIT v rhp,OB v rhp,TB v rhp,HR v rhp,BP v rhp,DP v rhp,HO,ENDURANCE,FIELD,BK,WP,BAT-B,STL,SPD
ARN,,"Young,A*",129,18,13,10.8,23.8,17.9,1.8,3,9,20,6,22.7,28.7,48.7,4.3,8,8,1,S(4) R(3),3- 0,0,4,1WL-D,E,10
ATN,,"Anderson,I",89,35,14,7.3,21.3,9,0.4,0,0,23,14,9.7,23.7,18,1,0,0,-2,S(6),4-44,0,20,1WR-C,E,10
ATN,,"Dayton,G*",75,34,7,6.9,13.9,11.7,0.6,1,0,34,9,12.8,21.8,21.7,2.8,5,0,1,R(2),4- 0,0,0,1WL-C,E,10
ATN,,"Erlin,R*",74,19,5,36.8,41.8,77.3,10.6,8,0,22,0,16.9,16.9,40.2,3.8,7,0,1,S(4) R(3),2- 0,0,7,1WR-C,E,10
ATN,,"Fried,M*",155,27,7,16.9,23.9,34.1,0.2,0*,12,29,10,13.6,23.6,20.5,0.2,0,12,-4,S(5),1-26,7,3,1WL-B,E,14
ATN,,"Greene,S",76,32,5,21.3,26.3,32,3.4,6,7,18,6,10.4,16.3,17.7,0.8,0,12,1,R(1),2- 0,0,0,1WR-C,E,10
ATN,,"Jackson,L",73,15,18,20.6,38.6,25.1,0,0,4,24,8,29.4,37.4,32,0,0,4,-1,R(2),3- 0,0,20,1WR-C,E,10
ATN,,"Martin,C",50,47,0,2.5,2.5,6.4,0.8,1*,0,27,0,11.1,11.1,16.2,1.6,2,0,-1,R(1) C(2),4-51,0,0,1WR-C,E,10
ATN,,"Matzek,T*",80,43,10,9.7,19.6,15.4,1.2,2,0,36,16,9.7,25.7,15.6,0.6,0,0,0,R(2),5-48,0,7,1WL-B,E,10
ATN,,"Melancon,M",63,13,1,31.9,32.8,34.8,0,0,4,19,0,15,15,27.6,3.8,7,4,-1,R(1) C(5),3- 0,0,9,1WR-C,E,10
ATN,,"Milone,T*",108,26,3,16.4,19.4,48.5,6.8,8,0,19,0,29,29,53.1,3.6,4,0,0,S(4),3- 0,0,4,1WL-C,E,10
ATN,,"Minter,A*",60,40,5,19.1,24.1,26.1,0,0,8,37,9,11.3,20.3,20,0,0,11,-1,R(1),3- 0,0,11,1WL-C,E,10
ATN,,"Newcomb,S*",38,18,3,32.4,35.4,66.6,10.5,8,0,16,15,19.6,34.6,32.6,3,4,0,1,S(4),3- 0,0,13,1WL-C,E,10
ATN,,"O'Day,D",45,30,11,3.9,14.9,8.4,0.4,0*,0,38,6,4.8,10.8,10.6,0.8,1*,0,9,R(1),4-51,0,0,1WR-C,E,10
ATN,,"Smith,W*",44,53,0,5.6,5.6,21.5,5.3,8*,10,36,11,10.5,21.5,42,10.5,8*,12,-1,R(1),2- 0,0,0,1WR-B,E,10
ATN,,"Soroka,M",38,6,5,29.6,34.6,37.7,1.4,1,12,19,14,7.5,21.5,8.3,0,0,12,-1,S(4),2- 0,0,16,1WR-B,E,12
ATN,,"Tomlin,J",109,25,0,19.1,19.1,35,3.6,6,11,16,0,22.3,22.3,38.9,3.4,5,13,7,S(4) R(3),4- 0,0,5,1WR-C,E,10
ATN,,"Toussaint,T",68,25,21,17.1,38.1,44.1,4.5,8*,0,32,15,14.3,29.3,26.5,3.6,6,0,2,S(4) R(3),5-51,0,16,1WR-B,E,10
ATN,,"Webb,J",28,33,21,6.1,27,14.2,1.2,2*,12,26,7,18.3,25.3,29.6,1.2,2,13,4,R(2),5-51,0,0,1WR-C,E,10
ATN,,"Wilson,B",44,19,7,33.2,40.2,50.1,1.2,1,0,25,14,13.9,27.9,30.5,2.6,4,0,-1,S(4) R(3) C(0),3- 0,0,0,1WR-D,E,10
ATN,,"Wright,K",105,14,16,22.5,38.5,42.5,3.6,6,8,21,18,6.2,24.2,12.8,2.2,4,12,9,S(4),4- 0,0,5,1WR-D,E,10
ATN,,"Ynoa,H",60,14,25,15.9,40.9,25.4,1,1,12,23,12,22.8,34.8,41.5,2.4,4,10,9,S(4) R(3),3- 0,14,19,1WR-C,E,10
BAA,,"Akin,K*",72,24,12,15.5,27.5,28.7,2.2,2,0,30,16,15,31,32.8,2.4,3,0,-1,S(4) R(3),2- 0,15,0,1WL-C,E,10
BAA,,"Armstrong,S",42,25,16,4.3,20.3,8.5,0,0*,12,31,6,11.4,17.4,27.2,2.2,3*,12,9,R(2),4-51,0,20,1WR-C,E,10
BAA,,"Cobb,A",146,13,6,19.6,25.5,33,2.8,3,12,9,6,16.5,22.5,32.8,3.2,3,12,-2,S(5),3-51,0,3,1WR-C,E,10
BAA,,"Eshelman,T",96,0,3,28.7,31.7,50,4,5,11,9,4,18.5,22.5,34.3,3.4,3,11,-1,S(4) R(4),2- 0,0,6,1WR-C,E,10
BAA,,"Fry,P*",62,30,8,16.8,24.8,42,6.7,8,1,31,14,9.9,23.9,11.3,0,0,2,0,R(1),4- 0,0,20,1WL-C,E,10
BAA,,"Fulmer,C",29,33,14,8.3,22.3,14,0,0,0,19,13,12.1,25,25.8,2,1,0,-1,R(1),3- 0,0,20,1WR-C,E,10
BAA,,"Harvey,H",24,25,11,10.1,21.1,17.9,1.6,2,5,17,9,11.6,20.6,31,5.3,6,4,-1,R(1),4- 0,0,20,1WR-C,E,10
BAA,,"Kremer,D",52,23,16,11.8,27.8,29.4,1.4,2*,0,25,17,17,34,41.5,1.2,0*,0,-1,S(5),3- 0,0,0,1WR-C,E,10
BAA,,"Lakins,T",72,22,16,9,25,24.3,3,5*,4,16,14,17.6,31.6,30,0.2,0,4,3,R(2) C(0),4- 0,0,20,1WR-C,E,10
BAA,,"Leblanc,W*",63,7,17,14.9,31.9,33.3,3.2,4,0,7,5,24.5,29.5,43.5,4.8,6,0,0,S(4),3- 0,16,0,1WL-B,E,10
BAA,,"Lopez,J",109,17,6,23.2,29.2,42.7,4.5,7,5,15,6,22.8,28.8,29.6,1.8,1,7,-2,S(5) R(4),3- 0,0,20,1WR-B,E,10
BAA,,"Means,J*",122,33,0,13.9,13.9,34.6,4,6,3,14,3,12.5,15.5,29.5,5.3,6,2,-2,S(5),3- 0,0,10,1WL-B,E,10
BAA,,"Phillips,E",40,27,24,8.2,32.2,12.1,1.2,1,0,34,18,15.7,33.8,20.7,1.6,1,0,9,R(1),3- 0,20,13,1WR-C,E,10
BAA,,"Scott,T*",58,36,23,0,23,0,0,0*,6,38,10,8.9,19,17.6,0,0,6,-1,R(1) C(0),4-51,0,20,1WR-C,E,10
BAA,,"Sulser,C",64,26,15,9.9,24.9,22.3,0.8,1*,13,22,23,11.4,34.3,26.9,2.2,2,11,5,R(2) C(4),3- 0,0,9,1WR-C,E,10
BAA,,"Tate,D",47,6,15,17.5,32.5,28.8,3.4,5,6,21,6,7.2,13.2,13.9,1.4,0,6,-1,R(2),5- 0,20,15,1WR-C,E,10
BAA,,"Valdez,C",40,5,0,18.8,18.8,45.9,1.6,1*,0,23,4,9.3,13.3,23.5,1.2,0*,0,3,R(2) C(3),3- 0,0,18,1WR-C,E,10
BAA,,"Wojciechowski,A",103,18,10,20.8,30.8,50.5,6.5,8,7,19,10,21.5,31.5,44.6,5.5,7,9,1,S(4) R(3),3- 0,0,0,1WR-C,E,10
BOA,,"Barnes,M",64,42,26,2.7,28.7,2.7,0,0,1,41,12,7.9,19.9,23.1,4.8,8,3,9,R(1) C(4),4- 0,0,20,1WR-C,E,10
BOA,,"Brasier,R",70,20,18,19.2,37.2,35.5,1.6,3,0,38,1,11.8,12.8,20.4,1.8,2,0,-1,R(1),3- 0,20,8,1WR-C,E,14
BOA,,"Brewer,C",71,22,15,11.9,26.9,24.9,3,5,0,15,14,23.4,37.4,38.6,2.2,3,0,8,S(4) R(3),3- 0,0,7,1WR-C,E,10
BOA,,"Brice,A",55,17,21,23.7,44.7,52.7,4.1,7,3,43,13,8,21,16,0.8,1,5,7,R(1),3- 0,0,10,1WR-C,E,10
BOA,,"Covey,D",39,10,7,29.5,36.5,42.3,1.8,4,6,16,0,25.4,25.4,34.2,2.4,4,6,-1,R(2),3- 0,0,16,1WR-C,E,10
BOA,,"Eovaldi,N",133,29,5,13,18,29.3,3,6,13,25,0,28.6,28.6,43.8,2.6,4,11,-3,S(5),2- 0,0,9,1WR-D,E,10
BOA,,"Godley,Z",79,17,11,22.2,33.2,45.2,4,7,0,18,13,23.6,36.7,43.8,5,8,0,0,S(4) R(3),4- 0,0,20,1WR-D,E,10
BOA,,"Hall,M*",24,2,30,35.5,65.5,52.3,2.8,4,0,23,16,24,40,35.7,1.6,3,0,9,S(4) R(3),2- 0,0,0,1WL-C,E,10
BOA,,"Hart,K*",31,13,17,33.7,50.7,49.3,5,8,0,11,17,32.9,49.9,52.9,4,7,0,-1,S(4) R(3),3- 0,20,0,1WL-C,E,10
BOA,,"Hernandez,D*",23,45,27,3.8,30.9,9.1,1,1*,0,40,29,2.1,31.1,2.7,0,0*,0,-1,R(2),4- 0,0,20,1WL-C,E,10
BOA,,"Houck,T",47,19,19,9.3,28.3,16.2,0.8,1,12,31,17,5.2,22.2,9.6,1.2,2,10,-1,S(5),3- 0,0,15,1WR-C,E,10
BOA,,"Kickham,M*",39,11,6,19.7,25.7,36.6,3.8,6,0,24,3,28.1,31.1,51.3,5.8,8,0,-1,S(4) R(3),3- 0,0,0,1WL-C,E,10
BOA,,"Mazza,C",82,12,9,25.5,34.5,41.2,2.6,5,0,19,12,21,33,32.6,1,1,0,9,S(4) R(3),2-47,0,20,1WR-D,E,10
BOA,,"Perez,M*",172,9,7,15.6,22.6,26.5,2.2,3,12,14,13,18.3,31.3,31.1,1.8,2,12,-2,S(5),3- 0,0,7,1WL-D,E,10
BOA,,"Pivetta,N",45,21,11,22.3,33.3,41.4,4.5,7,8,30,7,16.8,23.8,32.9,2.8,4,10,3,S(4) R(3),4- 0,0,13,1WR-D,E,13
BOA,,"Springs,J*",57,26,8,29.4,37.3,46.7,3.4,6,0,35,7,20,27,46.5,4.3,7,0,1,R(2),2- 0,0,19,1WL-C,E,10
BOA,,"Stock,R",37,26,25,17.9,42.8,30.4,0,0,3,25,17,26.9,44,30.1,0.8,1,2,-1,R(2),3- 0,0,20,1WL-C,E,10
BOA,,"Taylor,J*",20,23,20,8.3,28.4,17.8,1.2,1,0,22,13,11.1,24.1,28.7,4.8,8,0,-1,R(1),4-51,0,0,1WL-C,E,10
BOA,,"Triggs,A",23,19,17,7.5,24.5,9.4,0.6,0,0,14,13,22.7,35.7,53.5,10.3,8,0,9,S(4) R(3),4- 0,0,0,1WR-C,E,10
BOA,,"Valdez,P",83,20,18,16.4,34.3,21.9,0.2,0,5,19,10,24.8,34.8,31.9,1.4,2,5,2,R(2),2-47,0,0,1WR-C,E,10
BOA,,"Walden,M",37,24,4,32.7,36.7,68.1,6.5,8,3,0,24,21.3,45.3,44.7,4.3,8,9,4,R(1) C(1),3- 0,0,13,1WR-C,E,10
BOA,,"Weber,R",119,3,11,17.6,28.6,40.8,4.1,7,12,11,1,26.6,27.6,42.1,2,2,13,-1,S(4) R(3),2- 0,0,4,1WR-C,E,10
CHA,,"Bummer,A*",26,35,0,16.2,16.2,18.4,0,0,6,42,26,1.1,27.1,1.1,0,0,3,-1,R(1),4-51,0,0,1WL-C,E,10
CHA,,"Burdi,Z",20,27,15,14.1,29.1,18.3,1.4,0,0,25,11,27.5,38.5,67.9,12.8,8,0,-1,R(1),3- 0,0,20,1WR-C,E,10
CHA,,"Cease,D",160,9,16,18,34,38.5,3.8,5,13,26,16,10.1,26.1,25.3,2.6,4,8,2,S(5),3- 0,0,3,1WR-C,E,10
CHA,,"Cishek,S",55,33,25,12.8,37.8,23.8,1.2,1,0,15,6,21,27,39.9,4.5,6,0,-1,R(1),3- 0,0,0,1WR-C,E,10
CHA,,"Colome,A",62,40,8,1.4,9.4,2.8,0,0*,6,0,10,18,28,30.8,1,0,6,6,R(1) C(6),3- 0,0,0,1WR-C,E,10
CHA,,"Cordero,J",74,11,13,34.7,47.7,46.4,1.6,2,7,21,3,13.7,16.7,19.3,0.6,0,7,4,R(1),3-51,0,20,1WR-B,E,10
CHA,,"Crochet,G*",17,41,5,10.1,15.1,16.7,2.2,2,0,36,7,8.1,15.1,12.9,1.6,2,0,-1,R(1),4- 0,0,0,1WL-C,E,10
CHA,,"Detwiler,R*",54,13,0,16.3,16.3,19.2,0.8,1,12,18,6,24.5,30.5,40.4,3,5,11,-1,R(2),2- 0,0,11,1WR-C,E,10
CHA,,"Dunning,D",93,20,12,18,30,28.2,2.6,3,0,21,10,10,20,16.6,2.2,2,0,6,S(4),2-42,0,20,1WR-C,E,10
CHA,,"Foster,M",78,28,8,12.3,20.4,25.8,1,1,2,35,10,7.5,17.5,19.4,2.2,2*,2,-1,S(1) R(1),2- 0,0,0,1WR-C,E,10
CHA,,"Fry,J*",54,38,12,12.6,24.6,24,0,0,9,36,19,11.1,30.1,20.1,3,5,0,-1,R(1),4-51,0,11,1WL-C,E,10
CHA,,"Giolito,L",199,43,12,7.7,19.7,18.4,2.2,2,7,41,10,9.6,19.6,18.7,1.8,2,5,-3,S(6*),4-20,0,9,1WR-C,E,10
CHA,,"Gonzalez,G*",87,23,17,17.5,34.5,25.1,1.2,2,2,22,15,22.5,37.5,36.1,3.4,4,2,-1,S(4) R(4),2- 0,0,12,1WR-B,E,10
CHA,,"Heuer,C",65,23,10,9.6,19.6,16.5,1,1,3,23,8,8.6,16.6,13.1,1.2,2,3,-1,R(1) C(0),3- 0,0,0,1WR-C,E,10
CHA,,"Keuchel,D*",174,20,6,15.1,21.1,19.6,0.6,0,10,11,7,17.5,24.5,25,1,0,10,-1,S(5),2- 0,0,0,1WL-C,E,10
CHA,,"Lopez,R",73,13,19,12.2,31.2,26.4,3.6,5,4,27,6,23.7,29.7,56.3,7.8,8,4,0,S(4),2- 0,0,7,1WR-D,E,10
CHA,,"Marshall,E",63,34,12,2.8,14.8,4.6,0,0*,0,28,9,18,27,33.6,3.2,5,0,-1,R(1) C(0),3- 0,0,20,1WR-C,E,10
CHA,,"Rodon,C*",21,12,12,27.3,39.3,63,4.3,5*,12,22,13,21,34,40.7,1.6,2,8,9,S(4) R(3),3- 0,0,20,1WL-C,E,10
CHN,,"Adam,J",38,26,20,6,26,13.3,1,2*,0,46,14,13.5,27.5,34.7,2.2,4*,0,9,R(1),4-51,0,0,1WR-C,E,10
CHN,,"Alzolay,A",60,31,21,13.8,34.8,25,1.2,2,1,37,19,7.1,26,19.1,1.8,2*,2,7,S(4) R(3),3- 0,0,10,1WR-D,E,10
CHN,,"Chafin,A*",27,30,7,19.3,26.3,31.5,3,5,0,44,11,14.6,25.6,35.6,3.6,6*,0,-1,R(1) C(0),3- 0,0,0,1WR-C,E,10
CHN,,"Chatwood,T",53,34,10,28.4,38.4,44.5,0,0,0,25,22,9.6,31.6,17.8,2.4,4,0,9,S(4),3- 0,0,11,1WR-B,E,14
CHN,,"Darvish,Y",213,30,1,17.6,18.6,27.5,1.4,3,12,51,6,9.8,15.8,15.2,0.4,0,5,1,S(6*),2-18,0,9,1WR-D,E,10
CHN,,"Hendricks,K",227,26,0,15.4,15.4,25.5,1.8,3,12,9,0,23.1,23.1,33.6,2.2,4,12,-5,S(6*),1- 0,0,2,1WR-B,E,14
CHN,,"Jeffress,J",66,12,6,11.6,17.6,14.1,0.6,1,13,26,18,9.4,27.5,20.3,2,3,6,-1,R(1) C(4),3- 0,0,0,1WR-C,E,10
CHN,,"Kimbrel,C",43,43,19,8.2,27.2,24.4,2.8,6*,0,48,26,2.9,28.9,7,0,0*,0,4,R(1) C(3),4- 0,0,20,1WR-C,E,10
CHN,,"Lester,J*",171,18,7,24.8,31.8,40.3,1.2,3,0,14,5,19.4,24.4,32.6,3,5,0,2,S(5),3-23,0,6,1WL-D,E,12
CHN,,"Mills,A",174,6,7,28.3,35.3,55.2,5.5,8,8,27,8,6.8,14.8,14.4,1.8,2*,8,-3,S(6),1- 0,7,0,1WR-C,E,10
CHN,,"Osich,J*",52,30,0,10.8,10.8,23,4,6,0,22,10,21.3,31.3,35.7,4.5,8,0,-1,R(1),3- 0,0,0,1WL-B,E,10
CHN,,"Quintana,J*",28,35,0,29.6,29.6,55,5,8,0,25,10,17,27,28.4,1.4,2,12,-1,S(4) R(3),3- 0,0,20,1WR-A,E,12
CHN,,"Rea,C",39,15,2,16.1,18.1,24.4,1.8,3,0,2,8,20.8,28.8,39.7,5.5,8,0,5,S(4) R(3),5- 0,0,0,1WR-B,E,10
CHN,,"Ryan,K*",44,3,16,14.6,30.6,35.5,6.3,8,12,25,11,21,32,33.4,3.6,7,9,4,R(1) C(0),2- 0,0,0,1WL-C,E,10
CHN,,"Tepera,R",58,34,18,11.4,29.4,24.4,1.8,4,4,41,13,12.4,25.4,21,1.2,2,4,-1,R(1),4- 0,0,10,1WR-C,E,10
CHN,,"Underwood,D",58,31,7,26,33,55.3,6.3,8,0,33,7,26.4,33.3,46.3,3.2,6,0,9,R(2),3- 0,0,20,1WR-C,E,10
CHN,,"Wick,R",49,18,12,22.9,34.9,32,0.6,1,3,39,5,15.4,20.5,32.7,1.4,1,5,3,R(1) C(4),4- 0,0,0,1WL-C,E,10
CHN,,"Winkler,D",52,19,33,6.9,39.9,14.6,0.1,0,8,25,15,9.6,24.6,20.7,3.6,6*,11,-1,R(1),3- 0,20,0,1WR-B,E,10
CIN,,"Antone,T",101,23,14,13.8,27.8,35.5,4,4*,11,35,13,6.5,19.5,17.8,2.4,2*,12,3,S(4) R(3),2- 0,0,13,1WR-C,E,10
CIN,,"Bauer,T",210,43,6,7.2,13.1,20.3,3.8,4*,5,43,7,5.7,12.6,11.6,0,0*,5,6,S(6),2- 0,0,10,1WR-B,E,10
CIN,,"Bradley,A",53,36,7,7.1,14.2,12.9,0,0,12,26,7,22.6,29.6,37.4,2.4,3,11,-1,R(1) C(4),3- 0,0,0,1WR-C,E,10
CIN,,"Castillo,L",202,33,12,14.1,26.1,31,2.2,2,5,39,6,8.6,14.6,12.8,0,0,6,0,S(6),2- 0,0,2,1WR-D,E,14
CIN,,"Desclafani,A",96,12,13,23.3,36.3,44.2,3.6,5,0,21,4,16.2,20.2,30.5,3.4,3,0,6,S(4) R(3),3- 0,0,5,1WR-D,E,10
CIN,,"Garrett,A*",53,55,21,1,22,4.1,1,0*,0,40,9,9.1,18,26.8,5.3,6*,8,2,R(1) C(0),4-51,0,0,1WR-C,E,10
CIN,,"Gray,S",161,34,12,7.9,19.9,15.6,0.8,0,8,39,11,9.2,20.2,18.1,1.6,0,5,-1,S(5),2-24,7,20,1WR-A,E,13
CIN,,"Iglesias,R",67,38,0,13.6,13.6,24.4,1.8,2,0,50,8,4.7,12.6,13.3,2.2,1*,0,1,R(1) C(4),3- 0,17,0,1WR-C,E,10
CIN,,"Jones,N",54,32,6,17.9,23.9,36.8,5.5,6,0,28,8,23.5,31.5,37.5,3,3,0,2,R(1),4- 0,0,20,1WR-C,E,10
CIN,,"Lorenzen,M",96,23,10,16.1,26.1,21.4,0.8,0,0,22,13,10.5,23.5,26.9,3.4,3,0,3,S(4) R(3),2- 0,11,12,1WR-C,E,15
CIN,,"Mahle,T",137,27,16,9,25,22.6,3.2,3,0,37,5,12.6,17.6,22.3,1.8,1,0,0,S(4) R(3),2- 0,8,9,1WR-A,E,13
CIN,,"Miley,W*",41,13,9,1.3,10.3,4.9,1.2,1*,12,17,17,21.9,38.9,37.8,1.8,1,12,4,S(4) R(3),3- 0,20,0,1WL-C,E,10
CIN,,"Sims,L",74,52,17,4.1,21.1,16.4,4.1,3*,1,33,14,5.7,19.6,15.1,1.6,0*,9,-1,R(2),3- 0,0,0,1WR-C,E,10
CIN,,"Stephenson,R",29,29,17,16.5,33.5,66,16.5,8*,0,46,8,13.4,21.4,51.9,12.6,8*,0,-1,R(1),2- 0,0,0,1WR-C,E,10
CIN,,"Thornburg,T",20,34,18,13.4,31.4,25.5,0.8,0,0,33,20,9.9,29.9,22.3,1.4,0,0,9,R(1),3- 0,0,20,1WR-C,E,10
CLA,,"Allen,L*",29,18,14,14.1,28.1,23,1.6,2,11,13,20,26.2,46.2,41.8,1.8,2,11,7,R(3),3- 0,0,19,1WR-C,E,10
CLA,,"Bieber,S",209,49,4,12.3,16.3,20.6,1.4,1,2,48,3,10.5,13.5,17.7,1.6,2,2,-1,S(6*),2-19,0,16,1WR-C,E,10
CLA,,"Carrasco,C",184,34,13,15.5,28.5,27,2.4,3,7,38,4,15.1,19.1,25.4,1.6,3,10,0,S(6),3-21,0,20,1WR-C,E,10
CLA,,"Cimber,A",31,19,10,21.3,31.3,48.8,2.2,3*,0,0,2,30.6,32.7,44.6,1.6,1,0,9,R(1),3- 0,0,0,1WR-C,E,10
CLA,,"Civale,A",200,23,5,21,26,36.2,1,0,12,17,0,30.6,30.6,51,4,7,12,5,S(6*),3-20,5,0,1WR-D,E,10
CLA,,"Hand,B*",60,55,4,6.7,10.7,14,0,0*,1,45,6,11.6,17.5,23.8,0,0*,1,-1,R(1) C(6),4- 0,0,11,1WL-C,E,10
CLA,,"Hill,C",50,22,7,11.4,18.4,26.8,4.3,6,6,31,5,7.9,12.9,19.9,4,6,6,-1,R(1) C(0),3- 0,0,0,1WR-C,E,10
CLA,,"Karinchak,J",73,45,22,5.6,27.6,11.3,0,0,0,55,19,2.4,21.4,4.8,0,0*,0,1,R(1) C(0),4- 0,0,20,1WR-C,E,10
CLA,,"Leone,D",26,20,18,30.7,48.7,44.3,3.2,4,0,34,12,18.6,30.6,41,4.8,8,0,-1,R(1),2- 0,0,20,1WR-C,E,10
CLA,,"Maton,P",59,42,1,23.6,24.6,30.3,1.4,2,0,41,7,19.6,26.6,35,1.6,1,3,2,R(1),3- 0,0,9,1WR-C,E,10
CLA,,"McKenzie,T",90,23,5,17.8,22.8,35.4,3.4,6,1,36,11,8.7,19.7,17.7,2.6,4,0,0,S(4) R(3),3- 0,0,0,1WR-C,E,10
CLA,,"Perez,O*",49,19,0,14.4,14.4,24.5,2.4,3,12,36,2,16.7,18.7,28.7,0,0,10,-1,R(1) C(0),3- 0,0,0,1WL-C,E,10
CLA,,"Plesac,Z",150,22,4,16.3,20.3,27.9,2.6,4,0,24,2,16.9,18.9,30.9,2.4,3,0,-4,S(7),1- 0,0,0,1WR-B,E,10
CLA,,"Plutko,A",75,0,6,28.4,34.4,44.8,1.6,1,13,19,4,23.1,27.1,46.4,4.5,7,11,1,S(4) R(3) C(0),2- 0,0,0,1WR-C,E,10
CLA,,"Quantrill,C",89,23,8,21.1,29.1,28.6,1.2,1,10,20,0,21.1,21.1,35.4,4,6,11,4,S(4) R(3) C(0),4-51,0,0,1WL-D,E,12
CLA,,"Wittgren,N",64,27,0,15,15,27,1.6,2,10,39,2,15.4,17.4,34.9,3.6,6,6,-1,R(1),5- 0,0,0,1WR-C,E,10
CON,,"Almonte,Y",76,18,9,23.2,32.2,31.5,0.4,0,11,26,6,16,22,32.8,1.4,2*,12,7,R(1) C(0),3- 0,0,0,1WS-C,E,10
CON,,"Bard,D",68,29,12,17.3,29.3,25.8,2,3,9,25,8,12.8,20.8,19.2,0.2,0,12,4,R(1) C(5),5-51,0,8,1WR-C,E,10
CON,,"Castellani,R",119,6,20,13.4,33.4,35.3,5,8,9,11,21,12.1,33.2,27.4,4,6,7,0,S(4) R(3),3- 0,0,4,1WR-C,E,10
CON,,"Diaz,J",55,19,17,14.9,31.9,35.7,4.5,7,8,20,14,34,48,51.3,0,0,3,-1,R(1) C(4),4- 0,0,18,1WR-C,E,10
CON,,"Estevez,C",66,22,6,26,32,51.2,3.2,4,0,31,9,19.6,28.6,34.8,2.4,3,0,0,R(1) C(0),3- 0,0,16,1WR-C,E,10
CON,,"Freeland,K*",195,24,5,19.5,24.4,29.9,3.2,4,13,8,9,21,30,32.6,1.4,2,12,0,S(6),2-20,0,0,1WL-A,E,13
CON,,"Givens,M",63,29,10,11.8,21.8,37.3,5.5,8,2,43,15,6.4,21.5,16.8,2,1*,0,5,R(1) C(2),3-51,0,20,1WR-C,E,10
CON,,"Gonzalez,C",54,10,17,25.8,42.8,44.1,2,3,8,19,12,17,29,33,2.6,4,9,-1,S(4) R(3),3- 0,0,20,1WR-D,E,10
CON,,"Goudeau,A",23,7,2,33.3,35.3,57.3,8,8,14,1,10,48.8,58.8,80.4,8.1,8*,10,-1,R(2),3- 0,0,20,1WR-C,E,10
CON,,"Gray,J",107,14,7,17.6,24.6,37.5,3.6,5,5,12,4,22,26,30.4,0,0,5,-2,S(5),3- 0,10,10,1WR-C,E,12
CON,,"Hoffman,J",59,25,7,31.3,38.3,43.5,1,0,8,18,10,25.3,35.3,52,3,5,7,5,R(2) C(0),2- 0,0,20,1WR-A,E,14
