Class,Rank,Top 100,Trend,Name,Pos,Age,Ht,Wt,B,T,School,College Commit,FV,Risk,Report,Video,playerId
2021,"11",,,"Henry Davis","C","21.7083333","6' 2""","195","R","R","Louisville",,"45+","High","The sample size is too small to be useful, but Davis' 2020 exit velocities are pretty ridiculous, as nearly half the balls he put in play were 95 mph or above. He has considerable power driven by strength in his forearms and wrists, as well as a power-first angle of attack with his bat, rather than whippy, upper-body rotation. It works great for Davis, who also has a 7 arm, a trait that will likely be of greater importance than receiving once this draft class reaches the big leagues.",,
2021,"12",,,"Sal Frelick","2B","21.1305555","5' 10""","175","L","R","Boston College",,"45+","High","A Massachusetts multi-sport prep standout (he was the Gatorade POY in football as a quarterback, as well as a lauded hockey player), Frelick emerged last spring playing outfield and putting up huge numbers for Boston College. He has several catalytic qualities already and might hit for more in-game power later as his swing and approach evolve. Right now Frelick is a slap-and-slash hitter who'll occasionally show you low-ball power. He has good vertical plate coverage and can catch pitches near the top of the zone. It takes projecting on some elements of Frelick's offense to see him as an impact regular, but so much of his skillset is either new or changing (he's also played some second base) and I'm betting on late development here because of the multi-sport, Northeast background and time lost due to a 2019 knee injury/surgery.","IsWJYCo_Gl0",
2021,"13",,,"Max Ferguson","2B","21.7861111","6' 1""","180","L","R","Tennessee",,"45+","High","Ferguson had a quiet freshman year, then had a very loud fall/winter before his sophomore season, with reports indicating he had the foundation of a first round talent. Ferguson has a broad-shouldered, flat-backed, projectable frame and really smooth hitting hands in the box. He's also a good hands and feet athlete capable of making tough plays in on the grass. He's a promising middle infield stick.",,
2021,"14",,,"Ian Moller","C","18.6111111","6' 1""","197","R","R","Wahlert HS",,"45","High","High school catching is notoriously risky; from the last decade or so, only Austin Hedges has come from the prep catching ranks and seized an everyday job. The beating catchers take on their way to the big leagues often dilutes their offensive ability or slows their progress, but Moller has the requisite athleticism and arm strength to catch, and he's also one of the more well-rounded high school hitters in the class, regardless of position. He has incredible hitting hands, which generate a combo of contact (because he's so short to the ball) and impact with lift. His offensive footwork is often ill-timed, but that's a minor, correctable blemish on an otherwise exciting all-around profile.",,
2021,"15",,,"Izaac Pacheco","3B","18.55","6' 4""","200","L","R","Friendswood HS",,"45","Med","Of the non-first base high school infielders near the top of the 2021 draft class, Pacheco has the most obvious route to in-game power production. His swing has natural lift and looks an awful lot like that of Cardinals prospect Nolan Gorman, and Pacheco has low-ball proclivity and barrel accuracy in the bottom of the zone. His frame has sizable power projection, though adding 20-plus pounds probably mean he's likely a third baseman long-term, though he's playing shortstop for now.","vymFfGwMcSo",
2021,"16",,,"Cody Morissette","SS","21.3888888","6' 0""","175","L","R","Boston College",,"45","Med","A sweet-swinging, multi-positional infielder, Morissette bears an eerie resemblance to Rays infielder Joey Wendle. Like Wendle, Morissette's bat-to-ball skills and approach are what will likely carry him to the big leagues; he's currently ranked behind similar hitters who have more power projection.",,
2021,"17",,,"Adrian Del Castillo","C","21.6916666","5' 11""","205","L","R","Miami",,"45","Med","The best college catcher in the country typically comes off the board in the top 15 picks, and that projects to be either Henry Davis or Adrian Del Castillo in 2021. Del Castillo had more walks than strikeouts as a freshman while slugging 12 homers, 22 doubles, and playing some third base and right field in addition to catching. He followed that up with a good summer on Cape Cod and start to his COVID-shortened 2020 sophomore year. He's a contact-oriented hitter who peppers the opposite baseline with flares and line drives, so while he has the power to punish mistakes, Del Castillo projects to have a hit-tool driven profile. His receiving and throwing are okay, enough that he'll likely remain a catcher, but he doesn't project as an impact defender.",,
2021,"18",,,"Alex Binelas","3B","21.0277777","6' 3""","210","L","R","Louisville",,"45","Low","Binelas' triple slash line as a freshman (.291/.383/.612) put him in this draft class' first round mix, even though he doesn't have premium physical tools. His peripherals (a 20% strikeout rate, twice his walk rate) were not as dominant, and I was eager to see if Binelas could repeat or improve upon his 2019, but a wrist injury and COVID-19 limited him to just two games. Binelas has ultra-short levers and he's very difficult to beat with velocity. He doesn't have an especially projectable frame and he has middling present power, but if he ends up a 6 or better bat, that's still an everyday third baseman. At the very least, he projects into a strong corner platoon role.",,
2021,"19",,,"Andrew Painter","SP","18.1555555","6' 6""","210","R","R","Calvary Christian HS",,"45","High","Painter is a prototypical prep arm with an XXL frame, premium arm strength, and nascent feel for spin, and like many high schoolers of this ilk, he has a mid-rotation shot if everything comes together. Painter's fastball velocity climbed throughout the summer, and he wrapped sitting 94-97 during his last abbreviated showcase outing. He has three other pitches: a mid-80s changeup, a mid-70s curveball, and a mid-80s slider that has cuttery, horizontal action right now, but for which Painter has good arm-side feel. You could point to Tyler Kolek and argue there's some elevated risk in taking a kid this large in the first round.",,
2021,"20",,,"Joshua Baez","RF","17.9388888","6' 3""","210","R","R","Dexter Southfield HS",,"45","High","Baez is a prototypical right field prospect with big present power as well as frame-based projection, a big arm, and strikeouts that threaten to torpedo his profile. He has a long-levered swing that cuts through the middle of the zone. He plays both ways and is from the Northeast, so it's possible the feel for contact is still coming.",,
2021,"21",,,"Jordan Wicks","SP","21.7638888","6' 3""","220","L","L","Kansas State",,"45","Low","Wicks has arguably the best changeup in the 2021 draft and his fastball, while not all that hard, has traits that enable it to play at the top of the strike zone, though Wicks hasn't yet worked up there with it. His breaking stuff is mediocre but workable so long as those pitches are located well, which Wicks' general feel for strike-throwing suggests they will be. Arizona gave high school lefty Avery Short, a similarly-built pitcher with a similar delivery, just shy of $1 million to sign him away from Louisville because his fastball had traits similar to Wicks'. Wicks has that, throws a little harder, has a much better secondary weapon in his changeup, and a track record of college performance, so he's in line for well above $1 million if he holds his stuff in 2021.",,
2021,"22",,,"Benny Montgomery","CF","18.7416666","6' 3""","185","R","R","Red Land HS",,"45","High","Montgomery is similar to Orioles 2020 overslot draftee Coby Mayo, in that he's a big-framed young guy who runs well underway and has a rare combination of bat speed and hand-eye coordination dressed in an ugly swing. His long speed gives him a chance to stay up the middle. He bears a resemblance to Bubba Starling with the present swing.",,
2021,"23",,,"Harry Ford","C","18.2916666","5' 10""","180","R","R","North Cobb HS",,"40+","High","Ford is a very explosive, high-upside catching prospect with plus-plus bat speed. He looks incredible during BP but has raw in-game feel to hit.",,
2021,"24",,,"Ethan Wilson","LF","21.5805555","6' 2""","205","L","L","South Alabama",,"40+","High","Wilson is a small school hitter with strikeout issues, which is a bit scary, but he also has monster power that he's gotten to in games throughout his college career despite his strikeouts.",,
2021,"25",,,"Thatcher Hurd","RHP","18.4916666","6' 4""","205","R","R","Mira Costa HS",,"40+","High","Hurd checks all the proverbial boxes. He has a big, projectable PAC-12 quarterback frame, he throws pretty hard and might throw harder as he fills out, he has feel for one good breaking ball and another that needs refining, and he has nascent changeup feel. Were his delivery a bit more graceful, his release a bit more consistent, he'd be ranked ahead of Painter.",,
2021,"26",,,"Drew Gray","LHP","18.075","6' 3""","180","L","L","IMG Academy",,"40+","High","Gray is an athletic, projectable two-way player. He gets way down the mound and is very balanced over his lead leg as he delivers home with big extension and flat angle. He also has feel for a loopy breaking ball that lefty hitters struggle with because  of Gray's length. He has some young Josh Hader traits.",,
2021,"27",,,"Tyree Reed","CF","18.4083333","6' 2""","181","L","L","American Canyon HS",,"40+","High","Like Marcelo Mayer, Reed is a West Coast prospect who didn't travel to 2020 summer showcase events being held in the Southeast, likely because of the pandemic. He's made consistent contact in the games he's been seen in, though, often to the opposite field. From a tools perspective, Reed is a typical prep center field prospect with high-end speed and a frame on which to dream. He doesn't have the track record of the first round center field types of the last couple years but could grow into significantly more power than the likes of Corbin Carroll or Pete Crow-Armstrong and explode during his senior year.",,
2021,"28",,,"Levi Usher","CF","20.9472222","6' 1""","195","L","R","Louisville",,"40+","High","While in high school, Usher was a prominent prospect on the national showcase circuit. He went to an Iowa junior college for a year before heading to Louisville, where he began 2020 on a tear. Speed, arm strength, and pull power are the carrying tools here, while stiffness in the swing limits his in-game power impact and might make it hard for the hit tool to play consistently in pro ball, causing some to consider him a tweener fourth outfield type. But the tools are loud enough that if the swing ends up working (something we'll hopefully know more about after a full season against good pitching), Usher will be an everyday player.",,
2021,"29",,,"Jackson Jobe","RHP","18.85","6' 2""","180","R","R","Heritage Hill HS",,"40+","High","Jobe was an upper-80s/breaking ball feel prospect until 2020, when he had a significant velo spike and was parked in the mid-90s during the summer. He also generates elite spin on a plus-flashing slider and will flash an above-average changeup. Jobe's fastball has tailing action, so its ability to miss bats is going to be more velo/location dependent than those of his backspinning peers, but there's still a shot for three 55-grade (or better) pitches here.",,
2021,"30",,,"Josh Hartle","LHP","18.2","6' 5""","175","L","L","Reagan HS",,"40+","High","Hartle is a lanky lefty with 40 present stuff but huge projection. He has fairly advanced feel for locating but there's arm deceleration on the changeup.",,
2021,"31",,,"Richard Fitts","MIRP","21.4694444","6' 3""","185","R","R","Auburn",,"40+","High","Up to 93 and flashing a plus breaking ball as a freshman walk-on, Fitts pitched out of the bullpen during most of his first two seasons before experiencing a huge velo spike during COVID quarantine. He was up to 98 in Fall practice. His delivery is reliever-ish, or at least it was before his velo spike. He'll need to hold that stuff deep in spring 2021 games as a starter to profile as one long-term.",,
2021,"32",,,"Malakhi Knight","CF","18.7083333","6' 3""","190","R","R","Archbishop Murphy HS",,"40+","High","Knight is a multi-sport developmental project with a skinny, broad-shouldered frame and fairly strong raw power projection. He has limited bat control and feel to hit, but he's also played less baseball relative to his peers. ",,
2021,"33",,,"Colton Cowser","RF","21.2111111","6' 3""","190","L","R","Sam Houston State",,"40+","Low","Cowser has average speed and arm strength with fringe raw power but a standout bat. He fits as a tweener but he may hit enough to go on Day 1.",,
2021,"34",,,"Gunnar Hoglund","SP","21.4694444","6' 5""","210","L","R","Ole Miss",,"40+","High","Hoglund was many scout's favorite non-first round prep projection arm for 2018: up to 96 with average off-speed stuff but a clean delivery and frame with room to grow. He didn't sign as a comp round pick of the Pirates. He had growing pains as a freshman, but looks crisp in the Fall before 2020, sitting in the low-90s, flashing an above average curve and average slider, with the changeup still behind but flashing average. He was the same early in 2020. He's a solid athlete who will hit some for the Rebels as well.","hPsKzBvxiho",
2021,"35",,,"Robby Martin","RF","21.8027777","6' 3""","200","L","R","Florida State",,"40+","High","I've had scouts tell me they think Martin is a hit-over-power bat and I think it's because they're looking at data and seeing low exit velos that are a result of him failing to square balls rather than him lacking raw power. My visual evaluation of Martin is that he projects to have plus raw but has swing-and-miss risk, which is harrowing for a corner outfielder.","oXfUgI4hPlE",
2021,"36",,,"Braden Montgomery","SP","18.1388888","6' 2""","201","S","R","Madison Central HS",,"40+","High","He has above-average bat speed from both sides of the plate but Montgomery's swing elements are raw from both sides, especially the left. There's more bat control from the right side but general concerns about swing playability cause one to prefer him on the mound. There he was 89-92, with a really gorgeous delivery, and a breaking ball that has shape but not bite yet. He's a dev project with a chance for growth based on considerable athleticism.",,
2021,"37",,,"Bubba Chandler","SP","18.7277777","6' 4""","195","S","R","North Oconee HS",,"40+","High","Chandler is a multi-sport athlete who's committed to Clemson to play quarterback. He's an ultra-smooth, athletic righty with a backspinning fastball, curveball and changeup. There's not much velo right now but you can go nuts projecting on the whole package because of the athleticism and the possibility that the secondaries progress with a focus on baseball.",,
2021,"38",,,"Michael Braswell","SS","18.7694444","6' 1""","175","R","R","Campbell HS",,"40+","Med","Braswell is a plus athlete with a plus frame, he's a lock at shortstop, and he has hit in games. He also has good general feel and baseball acumen. There's a chance all the components become average or better if the frame actualizes, but Braswell's a little old for the class so there's a bit more risk that since it hasn't yet, it simply won't.",,
2021,"39",,,"Noah Smith","SS","18.5805555","6' 2""","185","R","R","Marist HS",,"40+","Med","He's not especially athletic nor explosive but Smith is a smooth, fundamentally sound infield defender who'll likely play second base if he can't stay at shortstop. His carrying tool is the bat-to-ball skills. He has excellent barrel control and feel to hit, as well as a fairly projectable frame that might enable him to grow into power. He could end up in a shift-aided infield role if his body is thicker than I anticipate it will be at maturity, but if that's true he's probably also outgrown my power projections, which will be fine.",,
2021,"40",,,"Jonathan Cannon","SP","20.8805555","6' 6""","205","R","R","Georgia",,"40+","Med","A sophomore-eligible sinker/slider guy with a workhorse build, Cannon has been up to 97 but mostly sits 92-94. He has a four-pitch mix, and just needs a full season of innings for scouts to see changeup and curveball quality, which he lacked in 2020 due to the pandemic. His stuff ticked up during the 2020 summer but he'll be entering 2021 having just recovered from mono, so he shouldn't be dismissed even if he comes out of the gate slowly.",,
2021,"41",,,"Christian MacLeod","SP","21.15","6' 3""","215","L","L","Mississippi State",,"40+","Med","One of three Mississippi State pitchers who could go in this range, MacLeod is a deceptive pitchability lefty, wielding a sneaky low-90s fastball. His out pitch is a curveball.",,
2021,"42",,,"Kevin Abel","SP","22.2972222","6' 1""","195","R","R","Oregon State",,"40+","Med","Abel dominated as a freshman in the College World Series clinching game for the Beavers with an ordinary average fastball/breaker but a plus changeup and plus feel. He was doing well in his sophomore year before blowing out and needing Tommy John surgery. He's back for 2021.",,
2021,"43",,,"McCade Brown","SP","21.0583333","6' 6""","225","R","R","Indiana",,"40+","Med","Brown enjoyed a velocity uptick between his freshman and sophomore year and has retained it, sitting 92-96 in the Fall of 2020. He has a viable four-pitch mix and starter's control despite some mechanical violence.",,
2021,"44",,,"Joe Mack","C","18.4416666","6' 1""","203","L","R","Williamsville East HS",,"40+","High","Mack is a lefty-hitting catcher with a big frame, above-average bat speed, and an upright, kind of stiff swing. He might catch and play some 3B/2B.",,
2021,"45",,,"Steven Hajjar","SP","20.8305555","6' 4""","205","R","L","Michigan",,"40+","Med","Hajjar missed freshman year with a torn ACL suffered while playing pickup basketball and sat 87-91 in 2020, but has a very deceptive delivery, his slider breaks very late, and he is arguably still projectable due to his frame, injury, and cold weather background.",,
2021,"46",,,"Shane Panzini","SP","19.6","6' 2""","205","R","R","Red Bank Catholic HS",,"40+","Low","He's old for the class and not at all projectable, but Panzini has real stuff, including a mid-90s fastball that plays at the letters and the makings of two good breaking balls.",,
2021,"47",,,"Alex Mooney","SS","18.9166666","6' 1""","170","R","R","Orchard Lake St. Mary's Prep HS",,"40+","Med","Mooney is old for the class, but he's also a well-balanced player with above average potential tools across the board.",,
2021,"48",,,"Gage Jump","MIRP","18.15","5' 11""","170","L","L","JSerra Catholic HS",,"40+","High","Jump is coming along at an opportune time, when his underlying fastball traits are more desired than ever across the industry. His fastball has near perfect backspin and a flat approach angle, which enables it to miss bats at the top of the zone with impunity even though he only sits about 92, à la Colin Poche, Kris Bubic and (again, this is just an arm stroke/fastball traits/angle comp) Clayton Kershaw. He also has a biting 12-6 curveball, and a slider and changeup that aren't switched on just yet. Jump struggles to throw strikes. He lacks overt physical projection but he could have an elite fastball if he can develop even just a bit more velocity. He has a big ceiling, and a realistic fastball-dominant relief low-end outcome. ",,
2021,"49",,,"Jose Torres","SS","21.6888888","6' 0""","165","R","R","North Carolina State",,"40+","High","Torres was of interest as a high school prospect but his age and rawness pushed him to NC State. He had a strong, surface-level performance as a hitter in the shortened 2020 season but also struck out in nearly a third of his plate appearances. He's a lock to stay at shortstop, with a chance to hit for power so long as the whiffs aren't as much of a problem as they seem. He's played very little for a college player his age.",,
2021,"50",,,"Cody Schrier","SS","18.2583333","6' 1""","175","R","R","JSerra Catholic HS",,"40+","Med","Schrier is a very athletic swinger with a smaller frame and infield athleticism. He's the classic underrated type without overt frame-based projection, but a hit tool that will carry him.",,
2021,"51",,,"Troy Melton","SP","20.5083333","6' 4""","195","R","R","San Diego State",,"40+","Med","Melton's fastball averaged about 90 mph in 2020 and yet he pitched well, striking out 26 in 22 innings before the shutdown. Then he arrived in the Fall and was 92-96. His slider is also much, much harder now, in the 84-88 range rather than hovering around 80. Melton's delivery comps to Casey Mize's, which isn't necessarily good. He's a pre-draft breakout candidate. He's also one of the youngest juniors in the country.",,
2021,"52",,,"Eric Cerantola","SIRP","21.0944444","6' 5""","222","R","R","Mississippi State",,"40+","High","Cerantola is a lanky, late-blooming Canadian arm who had a velo spike in the Fall before his freshman year in Starkville, and is now up to 97. He mostly pitched 92-95 before the 2020 shutdown and worked heavily with his fastball, though he has a plus curveball, as well. His cross-bodied delivery creates quite a bit of reliever risk but he has starter-quality stuff.",,
2021,"53",,,"Luke Leto","1B","18.2805555","6' 2""","190","L","R","Portage Central HS",,"40+","High","Leto is a very stiff, first base-only prospect with a strong hit and power combination.","YOmkDJnKVwU",
2021,"54",,,"Hunter Goodman","1B","21.6611111","6' 0""","205","R","R","Memphis",,"40","High","Goodman had a big freshman year and has plus raw power, an aggressive approach, some stiffness, and little chance to catch.",,
2021,"55",,,"Bryce Miller","SIRP","22.7861111","6' 2""","190","R","R","Texas A&M",,"40","High","Miller spent his freshman year at Blinn College then pitched out of the Aggies bullpen as a sophomore and junior. He was passed over in the 2020 draft despite sitting 94-97 in outings that were often seen by decision-makers in to scout Asa Lacy and Christian Roa. Now he'll move into the Aggies rotation and has a chance to blow up if he shows he can hold his velocity deep into games as a starter. He'll also need to show a starter's pitch mix. He could be a very signable, early underslot pick.",,
2021,"56",,,"Chase Silseth","SP","21.05","6' 0""","200","R","R","Arizona",,"40","High","Silseth pitched for the College of Southern Nevada in 2020. There he was up to 96, flashed a plus splitter and slider, but wasn't drafted and ended up at Arizona. He's still touching 96 but is now working with two breaking balls, which blend but flash 55/60 on the scale. He's a 2021 breakout candidate likely to be the Wildcats Friday night starter.",,
2021,"57",,,"Zack Gelof","3B","21.6305555","6' 3""","210","R","R","Virginia",,"40","Low","Gelof has a very intense swing and hit for significantly more power during his very short sophomore year than he did as a freshman. He's a well-rounded third base prospect whose hit/power combination has to carry him.",,
2021,"58",,,"Ryan Cusick","SIRP","21.5666666","6' 6""","215","R","R","Wake Forest",,"40","High","Cusick has had issues with walks (he walked nearly a batter per inning in a shortened 2020) but he also has nasty, late-inning stuff (he K'd nearly two batters per inning). He'll touch 99 and his low-80s power slurve is plus when it's located. He's tracking like a power reliever.",,
2021,"59",,,"Sean Burke","SP","22.4666666","6' 6""","230","R","R","Maryland",,"40","High","Burke is a really athletic (he was a good high school hooper) 6-foot-6 righty who had TJ near the end of his senior year in high school, then missed his entire true freshman season rehabbing. The start of his sophomore year (22 innings, 35 strikeouts) was electric, as Burke was up to 95 and has a vertically-oriented fastball/curveball combo. Though he was often seen on the high school showcase circuit, he lacks any sort of extended track record with his more mature physicality.  ",,
2021,"60",,,"Mason Pelio","SIRP","20.8916666","6' 3""","230","R","R","Boston College",,"40","High","Pelio has been up to 98 over the winter after sitting about 91 in 2020. He also has a plus changeup, but his breaking balls rely on his low-ish arm slot to play.","fooHCS5zSIY",
2021,"61",,,"Mason Black","SIRP","21.4888888","6' 3""","210","R","R","Lehigh",,"40","High","Black has mostly been seen during summer ball, both on the 2019 Cape (he pitched well enough there to start the All-Star Game) and in the 2020 South Florida Collegiate Baseball League, where he won Pitcher of the Year. He missed a huge chunk of his freshman year due to an appendectomy, then only made a handful of collegiate 2020 starts due to the pandemic. He shortened his arm swing over the summer but his arm action is still pretty long, and Black has an intense, demonstrative mound presence that I think fits in a bullpen. He'll sit in the mid-90s with tail on his two-seamer, movement that pairs well with a changeup, though the rest of his repertoire is a work in progress. How his four-seamer, utility knuckle curve and slider look in 2021 may dictate whether teams project him as a starter.",,
2021,"62",,,"Tommy Mace","SP","22.5694444","6' 6""","210","R","R","Florida",,"40","Med","Mace has a prototypical frame and a four-pitch mix that, based on his 2020 look, needed a little tweaking. Mostly, his breaking balls need more varied shape and vertical depth to be more effective. If he can show an ability to locate more slider/curveball breaking stuff (rather than cutter/slider) to his arm side, then he'll likely go toward the back of the first round.","k_zjkZW86Do",
2021,"63",,,"Noah Cardenas","C","21.7388888","6' 1""","190","R","R","UCLA",,"40","Low","Cardenas is a glove-oriented catcher whose hit tool might carry enough weight to make him a regular, but he's more likely a high-probability backup.",,
2021,"64",,,"Doug Nikhazy","SP","21.8194444","5' 11""","205","L","L","Ole Miss",,"40","Low","Nikhazy only sits 88-90 or so, but his fastball has sneaky carry because of its angle and spin axis. He commands the hell out of it, as well as two above-average breaking balls.","Z6Vh6fG9myM",
2021,"65",,,"Mike Vasil","SP","21.2138888","6' 4""","201","L","R","Virginia",,"40","High","Vasil was a big time high school prospect who, at his best, was 93-96 with plus breaking stuff. He got hurt in the middle of his senior spring and only came back a short time before the draft. Though he had returned to form, he decided to go to Virginia (the school is good at convincing kids to matriculate) and his body and stuff had backed up for his freshman year there. He's basically been living in the low-90s since then, with a backend starter's four-pitch mix. But the possibility of a return to the mid-90s looms ahead of his draft year. ","m2OcV1yoX7M",
2021,"66",,,"Mitchell Bratt","SP","17.925","6' 4""","175","L","L","New Market HS",,"40","High","A gangly trebuchet, Bratt only throws in the mid-80s right now but he's a wispy 6-foot-4 and has unusual feel for both a 12-6 curveball and a changeup.",,
2021,"67",,,"Joshua Stewart","SP","18.1361111","6' 2""","180","R","R","St. Dominic Savio HS",,"40","High","One of a few prep arms in Texas with a shot to really blow up, Stewart sits 92-95 with a tight arm action and feel for two breaking balls. He's quite athletic and relatively projectable.",,
2021,"68",,,"John Rhodes","3B","20.8083333","6' 0""","200","R","R","Kentucky",,"40","High","Rhodes became eligible when the draft date moved due to COVID. He was a high school catcher who was told never to catch again due to a broken bat. He has a well-rounded collection of tools but basically no track record of performance due to a shortened freshman season.",,
2021,"69",,,"Michael McGreevy","SP","20.9111111","6' 4""","100","R","R","UC Santa Barbara",,"40","High","A converted infielder with a huge frame, McGreevy has added significant velocity over the last year. He sat 90-92 throughout most of 2020 but was into the mid-90s during the Fall. He was working with four pitches in 2020 and has feel for spinning both breaking balls. There are obvious late-bloomer traits here.",,
